
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2006 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	12	104	160	30	356	46	29	98	76	12	256	773	1,430	508	779						
NEW ENGLAND	2	13	33	4	30	-	0	1	-	-	1	40	76	8	32						
Conn.	2	3	13	2	5	-	0	0	-	-	-	8	25	3	5						
Maine	-	1	4	-	1	N	0	0	N	N	-	3	8	-	3						
Mass.	-	5	22	2	20	-	0	1	-	-	1	20	38	5	19						
N.H.	-	0	3	-	-	-	0	1	-	-	-	2	12	-	2						
R.I.	-	0	3	-	-	-	0	1	-	-	-	0	12	-	-						
Vt.	-	1	7	-	4	-	0	0	-	-	-	1	10	-	3						
MID. ATLANTIC	-	18	40	8	22	-	2	8	-	2	15	91	185	39	97						
N.J.	N	0	0	N	N	-	0	6	-	1	-	14	45	-	23						
N.Y. (Upstate)	-	12	24	8	5	-	0	2	-	-	5	23	56	6	7						
N.Y. City	-	0	3	-	1	-	0	2	-	-	-	23	43	5	32						
Pa.	-	7	22	-	16	-	1	6	-	1	10	30	61	28	35						
E.N. CENTRAL	-	2	19	1	2	1	0	3	1	-	20	91	243	49	95						
Ill.	-	1	4	-	1	-	0	1	-	-	-	29	160	-	23						
Ind.	-	0	3	-	-	-	0	1	-	-	-	9	71	-	-						
Mich.	-	0	4	1	-	-	0	1	-	-	2	17	35	7	29						
Ohio	-	0	13	-	1	1	0	3	1	-	18	22	52	40	26						
Wis.	-	0	3	-	-	-	0	1	-	-	-	15	45	2	17						
W.N. CENTRAL	1	7	23	1	3	-	1	16	-	1	28	40	90	41	44						
Iowa	1	1	10	1	1	-	0	2	-	-	-	7	18	1	11						
Kans.	-	1	5	-	-	-	0	2	-	-	-	7	17	-	7						
Minn.	-	1	5	-	-	-	0	1	-	-	8	10	31	8	1						
Mo.	-	1	7	-	2	-	1	14	-	1	20	14	40	32	17						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	8	-	5						
N. Dak.	-	0	4	-	-	-	0	0	-	-	-	0	5	-	2						
S. Dak.	-	1	6	-	-	-	0	2	-	-	-	2	11	-	1						
S. ATLANTIC	8	30	49	14	266	45	13	94	74	8	128	252	516	236	234						
Del.	-	0	0	-	-	-	0	2	-	-	-	2	9	1	2						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	-	-						
Fla.	4	0	4	4	201	-	0	1	-	2	55	99	230	95	89						
Ga.	-	5	9	-	14	-	1	8	-	-	-	31	86	20	44						
Md.	-	6	16	-	12	1	1	7	1	1	15	14	40	19	18						
N.C.	4	9	19	10	16	43	5	87	72	5	53	26	114	90	65						
S.C.	-	0	2	-	1	1	1	6	1	-	5	19	146	11	14						
Va.	-	10	18	-	22	-	1	10	-	-	-	19	66	-	2						
W. Va.	-	0	13	-	-	-	0	2	-	-	-	2	13	-	-						
E.S. CENTRAL	1	2	9	1	1	-	4	25	1	1	11	52	134	27	39						
Ala.	1	1	5	1	1	-	0	9	-	-	11	12	39	17	10						
Ky.	-	0	3	-	-	-	0	1	-	-	-	6	28	1	2						
Miss.	-	0	1	-	-	-	0	2	-	-	-	13	66	-	6						
Tenn.	-	1	3	-	-	-	3	19	1	1	-	14	40	9	21						
W.S. CENTRAL	-	14	42	1	25	-	1	32	-	-	14	55	139	16	36						
Ark.	-	0	3	1	5	-	0	32	-	-	5	12	67	6	7						
La.	-	0	0	-	-	-	0	2	-	-	-	13	42	-	22						
Okla.	-	1	7	-	2	-	0	23	-	-	9	7	26	9	1						
Tex.	-	12	39	-	18	-	0	7	-	-	-	25	82	1	6						
MOUNTAIN	-	5	19	-	5	-	0	8	-	-	3	48	110	9	46						
Ariz.	-	3	11	-	4	-	0	8	-	-	-	13	28	-	16						
Colo.	-	0	2	-	-	-	0	1	-	-	-	10	45	5	15						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	-	3						
Mont.	-	0	3	-	-	-	0	1	-	-	1	2	16	2	1						
Nev.	-	0	2	-	-	-	0	0	-	-	-	2	7	-	4						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	4	11	-	3						
Utah	-	0	5	-	-	-	0	2	-	-	1	6	31	1	2						
Wyo.	-	0	2	-	1	-	0	1	-	-	1	1	12	1	2						
PACIFIC	-	3	14	-	2	-	0	2	-	-	36	99	188	83	156						
Alaska	-	0	1	-	-	-	0	0	-	-	5	1	5	6	3						
Calif.	-	3	14	-	2	-	0	1	-	-	29	75	148	71	132						
Hawaii	-	0	0	-	-	-	0	0	-	-	2	5	33	3	13						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	7	23	3	8						
Wash.	U	0	0	U	U	-	0	0	-	-	-	9	31	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	1	2	4	1	2	N	0	0	N	N	-	8	23	-	6						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

