
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending October 20, 2007 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	16	46	256	1,848	1,955	6	9	35	342	317	101	201	310	8,206	7,689						
NEW ENGLAND	-	2	12	86	102	-	0	3	10	3	3	5	13	207	166						
Conn.	-	2	5	50	77	-	0	2	4	-	-	0	10	25	36						
Maine	-	0	2	9	6	-	0	2	1	1	-	0	2	9	8						
Mass.	-	0	0	-	-	-	0	0	-	-	3	3	8	127	101						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	3	23	10						
R.I.	-	0	4	14	9	-	0	1	3	-	-	0	5	21	9						
Vt.	-	0	2	13	10	-	0	1	2	2	-	0	1	2	2						
MID. ATLANTIC	-	2	9	101	114	-	0	5	21	17	21	28	44	1,227	929						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	8	160	139						
N.Y. (Upstate)	-	1	5	35	36	-	0	4	7	8	1	3	14	112	124						
N.Y. City	-	0	0	-	-	-	0	0	-	-	18	17	34	756	443						
Pa.	-	2	6	66	78	-	0	2	14	9	2	4	10	199	223						
E.N. CENTRAL	9	9	40	436	404	4	2	7	64	66	3	15	27	629	715						
Ill.	-	0	4	15	21	-	0	1	2	6	1	7	13	290	346						
Ind.	5	2	31	118	107	2	0	5	22	17	-	1	6	43	74						
Mich.	-	0	1	2	15	-	0	1	1	2	1	2	9	94	93						
Ohio	4	5	38	301	261	2	1	5	39	41	1	3	10	156	146						
