
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2013 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	12,158	26,613	30,376	247,477	298,882	10	238	546	367	4,143	39	129	279	780	1,176						
NEW ENGLAND	728	945	1,349	9,669	9,936	-	0	1	1	-	-	6	17	15	57						
Conn.	230	250	569	2,564	2,664	N	0	0	N	N	-	1	3	3	7						
Maine	-	60	101	462	652	N	0	0	N	N	-	0	2	3	5						
Mass.	398	476	706	4,849	4,633	-	0	0	-	-	-	2	8	6	28						
N.H.	1	59	83	492	694	-	0	1	1	-	-	1	4	1	10						
R.I.	99	81	160	902	1,027	-	0	1	-	-	-	0	3	-	-						
Vt.	-	28	104	400	266	N	0	0	N	N	-	1	6	2	7						
MID. ATLANTIC	1,992	3,505	4,494	37,977	37,986	-	0	1	-	3	6	12	41	87	104						
N.J.	209	539	641	5,502	6,045	N	0	0	N	N	-	0	4	-	8						
N.Y. (Upstate)	767	722	1,697	7,156	7,027	N	0	0	N	N	3	3	16	22	15						
N.Y. City	189	1,132	1,266	11,412	13,122	N	0	0	N	N	-	2	8	9	18						
Pa.	827	1,063	1,991	13,907	11,792	-	0	1	-	3	3	7	21	56	63						
E.N. CENTRAL	1,010	4,241	4,740	33,598	47,491	2	1	4	7	11	11	28	110	164	322						
Ill.	39	1,292	1,443	6,368	14,723	N	0	0	N	N	-	3	8	3	32						
Ind.	204	568	838	5,219	6,180	N	0	0	N	N	-	3	8	14	39						
Mich.	274	913	1,304	8,273	10,163	-	0	2	3	6	-	4	40	31	65						
Ohio	283	1,034	1,200	9,048	11,310	2	0	2	2	4	9	10	28	70	108						
Wis.	210	467	552	4,690	5,115	-	0	1	2	1	2	9	43	46	78						
W.N. CENTRAL	278	1,559	1,801	12,665	17,837	-	2	8	-	18	4	17	41	88	144						
Iowa	10	210	255	1,824	2,597	N	0	0	N	N	-	5	22	17	51						
Kans.	45	210	256	1,958	2,510	N	0	0	N	N	1	2	5	6	25						
Minn.	1	342	436	1,809	3,813	-	1	7	-	16	-	0	0	-	-						
Mo.	202	544	657	5,068	5,955	-	0	1	-	2	1	4	12	34	29						
Nebr.	-	127	188	893	1,533	-	0	1	-	-	-	2	10	10	10						
N. Dak.	-	49	73	391	607	-	0	0	-	-	-	0	3	4	6						
S. Dak.	20	76	108	722	822	N	0	0	N	N	2	2	6	17	23						
S. ATLANTIC	4,287	5,213	6,451	53,028	60,765	-	0	1	-	2	12	19	59	207	228						
Del.	103	86	322	1,315	801	-	0	1	-	-	-	0	2	1	6						
D.C.	-	134	281	1,584	1,488	-	0	0	-	-	N	0	0	N	N						
Fla.	856	1,522	1,774	15,812	16,564	N	0	0	N	N	6	8	24	56	86						
Ga.	760	913	1,179	9,121	11,875	N	0	0	N	N	6	4	15	57	54						
Md.	288	479	1,238	3,462	4,046	-	0	1	-	2	-	1	5	11	25						
N.C.	1,258	889	1,771	7,889	10,652	N	0	0	N	N	-	0	29	41	4						
S.C.	-	527	908	5,331	6,143	N	0	0	N	N	-	1	4	17	20						
Va.	899	628	934	7,446	8,139	N	0	0	N	N	-	3	6	20	32						
W. Va.	123	90	149	1,068	1,057	N	0	0	N	N	-	0	3	4	1						
E.S. CENTRAL	680	1,937	2,559	16,534	23,117	-	0	0	-	-	-	4	14	36	58						
Ala.	-	572	862	5,174	6,480	N	0	0	N	N	-	2	6	14	24						
Ky.	388	334	787	3,707	3,275	N	0	0	N	N	-	1	4	8	8						
Miss.	61	376	766	2,761	5,871	N	0	0	N	N	-	0	4	7	8						
Tenn.	231	616	784	4,892	7,491	N	0	0	N	N	-	1	5	7	18						
W.S. CENTRAL	789	3,309	4,576	30,929	34,548	-	0	1	1	-	1	9	29	60	79						
Ark.	351	327	394	3,571	3,597	N	0	0	N	N	-	0	5	1	3						
La.	181	512	2,034	2,972	1,835	-	0	1	1	-	-	3	7	35	14						
Okla.	257	91	999	2,179	2,370	N	0	0	N	N	1	1	6	7	15						
Tex.	-	2,449	3,684	22,207	26,746	N	0	0	N	N	-	4	26	17	47						
MOUNTAIN	881	1,753	2,071	13,451	19,815	-	171	441	71	2,879	2	12	46	47	93						
Ariz.	-	564	872	969	6,344	-	168	439	54	2,823	1	1	4	3	4						
Colo.	565	414	544	4,459	4,796	N	0	0	N	N	-	1	7	4	11						
Idaho	196	82	158	1,088	1,019	N	0	0	N	N	-	3	25	13	13						
Mont.	72	75	108	771	813	-	0	1	-	-	-	1	4	3	15						
Nev.	34	210	325	1,805	1,969	-	1	6	9	31	-	0	2	2	2						
N. Mex.	-	225	463	2,987	2,713	-	0	3	2	10	-	1	5	3	27						
Utah	14	148	179	1,217	1,758	-	1	4	5	13	1	2	22	17	14						
Wyo.	-	33	63	155	403	-	0	1	1	2	-	0	4	2	7						
PACIFIC	1,513	4,169	4,935	39,626	47,387	8	68	99	287	1,230	3	11	27	76	91						
Alaska	-	105	150	1,148	1,261	N	0	0	N	N	-	0	1	-	-						
Calif.	918	3,210	4,124	30,952	36,583	8	68	99	287	1,229	1	6	14	46	43						
Hawaii	-	119	148	808	1,309	N	0	0	N	N	-	0	1	-	2						
Oreg.	238	260	368	2,851	3,091	-	0	1	-	1	-	4	11	20	39						
Wash.	357	462	632	3,867	5,143	-	0	0	-	-	2	1	22	10	7						
Amer. Samoa	-	12	59	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	154	108	307	1,267	1,536	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	29	-	145	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


