
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2003 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	272	382	38	14	20	5	4,093	5,224	86,626	104,531											
NEW ENGLAND	17	31	4	1	-	1	282	502	2,082	2,467											
Maine	1	1	-	-	-	-	35	53	21	24											
N.H.	5	2	-	-	-	-	13	16	36	38											
Vt.	-	1	-	-	-	-	19	31	28	32											
Mass.	6	17	-	1	-	1	138	258	828	1,067											
R.I.	1	3	-	-	-	-	33	35	294	290											
Conn.	4	7	4	-	-	-	44	109	875	1,016											
MID. ATLANTIC	16	30	-	-	5	2	750	1,155	8,547	12,457											
Upstate N.Y.	9	24	-	-	4	-	235	288	2,136	2,432											
N.Y. City	3	-	-	-	-	-	322	472	2,301	3,713											
N.J.	4	6	-	-	-	-	56	134	1,721	2,419											
Pa.	N	N	-	-	1	2	137	261	2,389	3,893											
E.N. CENTRAL	63	113	8	1	5	-	632	899	17,561	21,100											
Ohio	16	18	8	1	5	-	239	253	4,634	6,408											
Ind.	8	8	-	-	-	-	-	-	1,828	2,267											
Ill.	11	32	-	-	-	-	135	248	5,622	6,331											
Mich.	16	24	-	-	-	-	180	259	3,972	4,376											
Wis.	12	31	-	-	-	-	78	139	1,505	1,718											
W.N. CENTRAL	40	53	4	4	5	-	402	496	4,772	5,385											
Minn.	14	15	3	3	-	-	133	186	712	955											
Iowa	3	11	-	-	-	-	61	72	246	338											
Mo.	15	14	N	N	N	N	108	133	2,518	2,607											
N. Dak.	1	-	-	-	1	-	9	6	12	18											
S. Dak.	2	1	-	-	-	-	15	19	46	74											
Nebr.	4	7	1	1	-	-	44	39	445	437											
Kans.	1	5	-	-	4	-	32	41	793	956											
S. ATLANTIC	35	32	10	5	-	-	769	766	22,532	26,773											
Del.	-	2	N	N	N	N	14	14	392	524											
Md.	1	1	-	-	-	-	32	30	2,464	2,680											
D.C.	1	-	-	-	-	-	13	14	551	870											
Va.	3	6	-	-	-	-	79	47	2,494	3,317											
W. Va.	1	-	-	-	-	-	7	9	262	311											
N.C.	8	8	-	-	-	-	N	N	3,984	4,698											
S.C.	-	-	-	-	-	-	26	11	2,286	2,445											
Ga.	9	10	2	4	-	-	326	219	4,737	5,242											
Fla.	12	5	8	1	-	-	272	422	5,362	6,686											
E.S. CENTRAL	12	15	-	-	-	-	91	92	7,815	9,156											
Ky.	2	3	-	-	-	-	N	N	1,071	1,059											
Tenn.	6	9	-	-	-	-	38	39	2,398	2,738											
Ala.	3	1	-	-	-	-	53	53	2,403	3,298											
Miss.	1	2	-	-	-	-	-	-	1,943	2,061											
W.S. CENTRAL	14	11	6	-	3	1	63	34	12,195	14,811											
Ark.	2	1	-	-	-	-	35	34	1,053	1,325											
La.	-	-	-	-	-	-	3	-	2,915	3,496											
Okla.	1	1	-	-	-	-	25	-	970	1,335											
Tex.	11	9	6	-	3	1	-	-	7,257	8,655											
MOUNTAIN	29	33	5	1	2	1	342	348	2,810	3,462											
Mont.	-	7	-	-	-	-	13	18	29	37											
Idaho	9	1	3	-	-	-	45	16	27	26											
Wyo.	-	1	-	1	-	-	5	4	17	20											
Colo.	8	4	1	-	2	1	91	125	681	1,156											
N. Mex.	-	3	1	-	-	-	13	39	164	464											
Ariz.	8	5	N	N	N	N	67	48	1,256	1,134											
Utah	4	6	-	-	-	-	79	61	115	54											
Nev.	-	6	-	-	-	-	29	37	521	571											
PACIFIC	46	64	1	2	-	-	762	932	8,312	8,920											
Wash.	15	6	-	-	-	-	48	81	872	917											
Oreg.	7	23	1	2	-	-	84	122	291	269											
Calif.	24	29	-	-	-	-	581	672	6,730	7,374											
Alaska	-	1	-	-	-	-	25	21	165	191											
Hawaii	-	5	-	-	-	-	24	36	254	169											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	4	1	31	4											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


