
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2007 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A† current week
Hepatitis (Viral Acute), Type A† previous 52 weeks median 
Hepatitis (Viral Acute), Type A† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A† cummulative for 2007
Hepatitis (Viral Acute), Type A† cummulative for 2006
Hepatitis (Viral Acute), Type B† current week
Hepatitis (Viral Acute), Type B† previous 52 weeks median 
Hepatitis (Viral Acute), Type B† previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B† cummulative for 2007
Hepatitis (Viral Acute), Type B† cummulative for 2006
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2007
Legionellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	28	62	95	267	586	31	86	219	387	546	15	49	107	196	194						
NEW ENGLAND	-	2	20	2	46	-	2	4	4	33	1	1	12	3	11						
Conn.	-	1	2	1	4	-	0	3	-	15	1	0	9	2	2						
Maine	-	0	2	-	2	-	0	2	-	3	-	0	2	-	1						
Mass.	-	0	4	-	28	-	0	2	-	11	-	0	4	-	7						
N.H.	-	0	16	1	7	-	0	1	-	3	-	0	1	-	-						
R.I.	-	0	2	-	1	-	0	4	4	1	-	0	6	-	-						
Vt.	-	0	2	-	4	-	0	1	-	-	-	0	2	1	1						
MID. ATLANTIC	3	7	19	30	48	1	8	17	41	78	4	15	53	47	59						
N.J.	-	1	5	3	14	-	2	6	8	28	-	2	11	10	10						
N.Y. (Upstate)	3	1	11	9	5	-	1	8	6	3	3	6	30	11	11						
N.Y. City	-	2	11	12	18	-	2	6	5	17	-	2	18	3	15						
Pa.	-	1	4	6	11	1	3	7	22	30	1	5	19	23	23						
E.N. CENTRAL	3	6	13	33	44	4	8	16	54	55	1	8	26	41	35						
Ill.	-	1	4	10	10	-	1	7	-	10	-	0	2	-	7						
Ind.	1	0	9	1	3	1	0	9	2	1	-	0	5	2	3						
Mich.	-	2	8	12	15	-	3	8	23	27	-	3	10	14	7						
Ohio	2	1	4	10	12	3	2	10	26	15	1	4	19	24	11						
Wis.	-	1	4	-	4	-	0	3	3	2	-	1	3	1	7						
W.N. CENTRAL	-	2	8	8	25	-	3	9	18	18	-	1	15	10	6						
Iowa	-	0	1	1	1	-	0	2	3	3	-	0	3	1	-						
Kans.	-	0	2	-	15	-	0	2	1	3	-	0	2	-	-						
Minn.	-	0	7	-	-	-	0	5	-	-	-	0	11	1	-						
Mo.	-	1	3	4	5	-	1	6	11	11	-	0	2	6	4						
Nebr.	-	0	2	1	2	-	0	3	2	1	-	0	2	1	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	3	2	2	-	0	1	1	-	-	0	1	1	-						
S. ATLANTIC	7	9	26	58	90	14	23	42	126	150	3	9	23	54	46						
Del.	-	0	2	-	2	-	1	4	3	5	-	0	2	1	1						
D.C.	-	0	5	5	1	-	0	2	-	1	-	0	5	-	-						
Fla.	3	3	13	26	32	3	8	16	47	63	2	3	10	23	19						
Ga.	-	1	5	11	5	3	3	8	15	15	1	1	5	9	1						
Md.	1	1	6	4	15	1	2	7	13	32	-	2	8	12	15						
N.C.	-	0	11	1	28	5	0	23	21	19	-	0	5	3	4						
S.C.	-	0	3	2	4	-	2	5	8	9	-	0	2	2	-						
Va.	3	1	7	9	3	1	2	5	15	4	-	1	5	3	5						
W. Va.	-	0	3	-	-	1	0	7	4	2	-	0	4	1	1						
E.S. CENTRAL	2	2	8	8	20	3	7	23	25	53	2	2	9	10	7						
Ala.	-	0	3	1	1	-	2	13	10	19	-	0	2	1	2						
Ky.	-	0	5	2	7	-	1	5	1	14	-	1	5	4	1						
Miss.	-	0	1	1	1	-	0	4	-	5	-	0	2	-	-						
Tenn.	2	1	5	4	11	3	3	7	14	15	2	1	7	5	4						
W.S. CENTRAL	-	6	20	3	27	3	18	109	41	71	2	1	12	6	2						
Ark.	-	0	9	1	2	1	1	4	5	8	-	0	1	-	1						
La.	-	0	4	2	1	-	1	5	5	3	-	0	2	-	-						
Okla.	-	0	3	-	1	1	0	14	2	-	-	0	6	-	-						
Tex.	-	4	15	-	23	1	14	90	29	60	2	1	12	6	1						
MOUNTAIN	4	5	12	34	65	-	3	8	14	30	1	2	9	15	9						
Ariz.	3	3	9	29	41	-	0	2	-	7	1	1	4	4	-						
Colo.	1	1	3	4	9	-	0	4	2	7	-	0	2	2	2						
Idaho	-	0	2	-	3	-	0	2	2	4	-	0	3	1	2						
Mont.	-	0	3	-	1	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	1	1	3	-	0	4	6	7	-	0	2	2	3						
N. Mex.	-	0	2	-	4	-	0	2	3	3	-	0	1	2	-						
Utah	-	0	2	-	4	-	0	5	1	2	-	1	6	4	2						
Wyo.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
PACIFIC	9	15	53	91	221	6	11	33	64	58	1	1	10	10	19						
Alaska	-	0	0	-	-	-	0	3	2	-	-	0	0	-	-						
Calif.	8	13	48	84	205	3	8	24	45	45	1	1	10	10	19						
Hawaii	-	0	2	-	5	-	0	1	-	-	-	0	0	-	-						
Oreg.	-	1	4	5	6	2	1	5	14	10	-	0	0	-	-						
Wash.	1	1	4	2	5	1	1	8	3	3	-	0	0	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	1	11	4	6	1	1	9	4	2	-	0	1	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for Hepatitis C viral, acute are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


