
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2012 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	8	9	92	47	35	13	22	98	81	65	-	2	11	5	13						
NEW ENGLAND	-	0	1	2	1	1	4	28	30	25	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	-	1	0	3	8	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	5	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	5	7	1	-	0	1	-	-						
R.I.	-	0	1	2	1	-	0	15	14	18	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	-	1	5	4	3	12	6	52	39	5	-	0	2	1	1						
N.J.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	-	0	4	3	1	12	3	52	34	3	-	0	2	1	1						
N.Y. City	-	0	2	1	2	-	1	5	5	2	-	0	0	-	-						
Pa.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	-	4	-	7	62	3	23	-	1	6	-	7						
Ill.	-	0	4	-	2	-	0	2	3	-	-	0	0	-	2						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	2						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	1						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	1	-	1	-	7	61	-	23	-	0	4	-	2						
W.N. CENTRAL	1	2	17	6	4	-	0	6	-	2	-	0	6	-	1						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Minn.	-	0	0	-	-	-	0	0	-	1	-	0	0	-	-						
Mo.	1	1	17	6	4	-	0	5	-	1	-	0	6	-	1						
Nebr.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
S. ATLANTIC	6	4	34	30	21	-	1	6	5	8	-	0	2	2	1						
Del.	-	0	2	2	2	-	0	1	-	-	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	5	2	-	0	3	-	-	-	0	0	-	-						
Ga.	-	0	3	6	4	-	0	1	2	3	-	0	1	1	1						
Md.	1	0	3	3	4	-	0	2	-	1	-	0	1	1	-						
N.C.	5	0	17	9	5	-	0	6	1	4	-	0	0	-	-						
S.C.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
Va.	-	1	13	5	4	-	0	3	2	-	-	0	1	-	-						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
E.S. CENTRAL	-	1	8	2	2	-	0	2	3	2	-	0	3	1	1						
Ala.	-	0	2	-	-	-	0	1	2	1	N	0	0	N	N						
Ky.	-	0	3	-	-	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
Tenn.	-	0	5	2	2	-	0	1	1	1	-	0	3	1	1						
W.S. CENTRAL	1	0	30	3	-	-	0	3	1	-	-	0	0	-	-						
Ark.	1	0	13	2	-	-	0	3	-	-	-	0	0	-	-						
La.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	25	-	-	-	0	1	-	-	-	0	0	-	-						
Tex.	-	0	1	1	-	-	0	2	1	-	-	0	0	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	2						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
