
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 12, 2002 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2002
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2002
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2002
Hepatitis (Viral), Type C; Non-A, Non-B cummulative for 2001

tab delimited data:
test
UNITED STATES	-	13	1	1	116	407	42	133	12	214											
NEW ENGLAND	-	1	-	-	5	17	-	3	-	2											
Maine	-	-	-	-	1	-	-	-	-	-											
N.H.	-	-	-	-	-	1	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	-	1	-	-	1	10	-	-	-	2											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	3	6	-	3	-	-											
MID. ATLANTIC	-	1	-	-	9	49	3	40	-	84											
Upstate N.Y.	-	-	-	-	-	4	1	-	-	-											
N.Y. City	-	1	-	-	2	19	-	13	-	-											
N.J.	-	-	-	-	-	25	-	25	-	84											
Pa.	-	-	-	-	7	1	2	2	-	-											
E.N. CENTRAL	-	1	-	-	11	131	16	14	2	14											
Ohio	-	-	-	-	5	6	5	4	1	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	1	-	-	1	97	-	-	-	8											
Mich.	-	-	-	-	5	25	11	10	1	6											
Wis.	-	-	-	-	-	3	-	-	-	-											
W.N. CENTRAL	-	-	-	-	13	21	2	11	6	50											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	5	-	1	-	-	-											
Mo.	-	-	-	-	-	8	-	9	6	50											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	1	-	-	1	-	-											
Nebr.	-	-	-	-	-	11	-	1	-	-											
Kans.	-	-	-	-	7	2	1	-	-	-											
S. ATLANTIC	-	2	-	-	55	25	16	12	1	-											
Del.	-	-	-	-	-	-	-	-	1	-											
Md.	-	-	-	-	6	10	1	4	-	-											
D.C.	-	-	-	-	4	1	1	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	14	-	3	6	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	2	-	-	31	14	11	2	-	-											
Fla.	-	-	-	-	-	-	-	-	-	-											
E.S. CENTRAL	-	-	-	-	1	6	-	7	-	4											
Ky.	-	-	-	-	-	1	-	1	-	-											
Tenn.	-	-	-	-	-	4	-	1	-	1											
Ala.	-	-	-	-	-	1	-	1	-	-											
Miss.	-	-	-	-	1	-	-	4	-	3											
W.S. CENTRAL	-	-	-	-	2	96	2	8	-	58											
Ark.	-	-	-	-	1	2	1	1	-	-											
La.	-	-	-	-	-	6	-	7	-	12											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	1	88	1	-	-	46											
MOUNTAIN	-	1	1	1	4	15	1	8	1	-											
Mont.	-	-	-	-	1	2	-	-	-	-											
Idaho	-	-	-	-	-	1	-	1	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	-	-	-	2	10	-	5	1	-											
N. Mex.	-	1	1	1	1	1	1	2	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	1	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	-	7	-	-	16	47	2	30	2	2											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	-	-	-	9	-	2	1	2	-											
Calif.	-	6	-	-	7	43	-	27	-	2											
Alaska	-	-	-	-	-	4	-	1	-	-											
Hawaii	-	1	-	-	-	-	-	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	1	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	4	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


