
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2007 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	275	831	1,336	8,011	8,949	37	75	179	573	617	189	258	528	3,204	2,924						
NEW ENGLAND	4	18	82	162	831	1	2	16	23	106	-	2	14	23	126						
Conn.	-	0	68	68	503	-	0	5	5	84	-	0	8	8	67						
Maine	-	2	14	29	23	1	0	8	11	3	-	0	5	12	-						
Mass.	-	0	53	-	267	-	0	9	-	16	-	0	11	-	54						
N.H.	4	4	26	27	11	-	0	4	4	-	-	0	2	2	-						
R.I.	-	2	15	25	19	-	0	2	1	1	-	0	3	1	4						
Vt.	-	1	6	13	8	-	0	4	2	2	-	0	2	-	1						
MID. ATLANTIC	38	99	194	1,096	1,066	3	8	62	68	73	1	13	48	137	261						
N.J.	-	19	50	54	211	-	1	16	1	21	-	3	34	13	78						
N.Y. (Upstate)	27	28	93	354	210	3	3	14	30	21	1	3	43	35	76						
N.Y. City	2	24	50	277	293	-	0	4	5	8	-	5	14	68	77						
Pa.	9	30	67	411	352	-	3	47	32	23	-	1	6	21	30						
E.N. CENTRAL	39	103	198	945	1,284	5	9	59	70	97	6	23	68	164	304						
Ill.	-	26	61	120	369	-	1	7	5	15	-	10	50	19	106						
Ind.	7	15	55	146	140	-	1	8	5	11	2	2	17	20	42						
Mich.	6	18	35	184	221	1	1	6	14	21	-	2	5	10	72						
Ohio	26	23	56	308	326	4	3	18	35	24	4	4	14	79	51						
Wis.	-	17	27	187	228	-	2	39	11	26	-	3	10	36	33						
W.N. CENTRAL	25	46	109	637	595	5	11	45	78	81	64	42	76	660	242						
Iowa	1	8	26	94	105	-	2	38	12	13	-	2	14	18	9						
