
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 1998 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	262	353	6	24	27	51	288	421	2	12	3										
NEW ENGLAND	26	21	-	-	-	9	61	157	-	-	-										
Maine	1	1	-	-	-	1	1	4	-	-	-										
N.H.	1	2	U	-	-	U	5	17	U	-	-										
Vt.	1	-	-	-	-	3	13	58	-	-	-										
Mass.	10	13	-	-	-	5	42	78	-	-	-										
R.I.	3	1	-	-	-	-	-	-	-	-	-										
Conn.	10	4	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	21	23	-	1	3	6	17	19	2	10	1										
Upstate N.Y.	4	2	-	1	-	6	17	12	2	10	-										
N.Y. City	3	4	-	-	-	-	-	3	-	-	1										
N.J.	14	5	-	-	1	-	-	1	-	-	-										
Pa.	-	12	-	-	2	-	-	3	-	-	-										
E.N. CENTRAL	37	63	2	3	4	2	21	48	-	-	2										
Ohio	26	26	2	3	2	2	18	25	-	-	-										
Ind.	5	9	-	-	2	-	-	-	-	-	-										
Ill.	-	17	-	-	-	-	-	3	-	-	-										
Mich.	3	4	-	-	-	-	3	14	-	-	-										
Wis.	3	7	-	-	-	-	-	6	-	-	2										
W.N. CENTRAL	17	33	-	-	-	4	11	8	-	-	-										
Minn.	-	2	-	-	-	4	6	1	-	-	-										
Iowa	2	9	-	-	-	-	3	4	-	-	-										
Mo.	7	14	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	3	1	-	-	-	-	-	1	-	-	-										
Nebr.	1	2	-	-	-	-	2	1	-	-	-										
Kans.	4	5	-	-	-	-	-	1	-	-	-										
S. ATLANTIC	51	55	2	9	1	7	34	21	-	1	-										
Del.	-	2	-	-	-	-	-	-	-	-	-										
Md.	7	4	-	2	-	-	6	20	-	-	-										
D.C.	-	2	-	-	-	-	-	-	-	-	-										
Va.	7	3	-	-	-	-	-	-	-	-	-										
W. Va.	2	1	-	-	-	-	-	-	-	-	-										
N.C.	4	9	1	4	-	2	23	-	-	1	-										
S.C.	5	15	-	2	-	-	-	1	-	-	-										
Ga.	16	11	-	-	-	-	-	-	-	-	-										
Fla.	10	8	1	1	1	5	5	-	-	-	-										
E.S. CENTRAL	9	33	-	-	4	1	10	11	-	-	-										
Ky.	-	7	-	-	-	-	-	2	-	-	-										
Tenn.	9	12	-	-	1	-	2	3	-	-	-										
Ala.	-	9	-	-	1	1	8	4	-	-	-										
Miss.	-	5	U	-	2	U	-	2	U	-	-										
W.S. CENTRAL	17	4	1	3	3	5	12	4	-	1	-										
Ark.	2	2	-	-	-	1	6	2	-	-	-										
La.	4	-	-	-	-	-	-	-	-	-	-										
Okla.	11	1	-	-	-	-	-	-	-	-	-										
Tex.	-	1	1	3	3	4	6	2	-	1	-										
MOUNTAIN	25	23	-	1	3	13	102	107	-	-	-										
Mont.	1	1	-	-	-	-	1	-	-	-	-										
Idaho	-	2	-	-	-	11	55	71	-	-	-										
Wyo.	1	-	-	-	-	-	-	3	-	-	-										
Colo.	11	1	-	-	1	1	10	22	-	-	-										
N. Mex.	3	6	N	N	N	1	31	6	-	-	-										
Ariz.	8	7	-	1	-	-	-	4	-	-	-										
Utah	1	3	-	-	1	-	4	-	-	-	-										
Nev.	-	3	U	-	1	U	1	1	U	-	-										
PACIFIC	59	98	1	7	9	4	20	46	-	-	-										
Wash.	8	7	-	-	-	3	5	4	-	-	-										
Oreg.	23	29	N	N	N	1	8	3	-	-	-										
Calif.	28	62	-	1	5	-	7	38	-	-	-										
Alaska	-	-	-	2	-	-	-	1	-	-	-										
Hawaii	-	-	1	4	4	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	1	-	-	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


