
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 20, 2002 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	2	3	3,730	89,589	103,790	519	526	4	9												
NEW ENGLAND	-	-	426	2,272	1,887	36	18	-	1												
Maine	-	-	51	22	43	1	1	-	-												
N.H.	-	-	16	37	40	4	-	-	-												
Vt.	-	-	31	29	27	3	-	-	-												
Mass.	-	-	184	1,066	854	19	15	-	1												
R.I.	-	-	35	266	227	-	-	-	-												
Conn.	-	-	109	852	696	9	2	-	-												
MID. ATLANTIC	-	-	782	9,283	11,009	88	80	1	-												
Upstate N.Y.	-	-	294	2,447	2,284	44	17	1	-												
N.Y. City	-	-	341	3,421	3,828	26	22	-	-												
N.J.	-	-	-	651	1,387	10	35	-	-												
Pa.	-	-	147	2,764	3,510	8	6	-	-												
E.N. CENTRAL	1	2	687	15,060	21,972	67	79	1	1												
Ohio	1	2	256	2,678	6,063	39	26	-	1												
Ind.	-	-	-	2,200	2,038	16	13	-	-												
Ill.	-	-	97	4,684	6,852	-	29	-	-												
Mich.	-	-	243	4,376	5,224	7	4	1	-												
Wis.	-	-	91	1,122	1,795	5	7	-	-												
W.N. CENTRAL	-	-	454	4,193	4,827	17	17	-	1												
Minn.	-	-	192	836	797	13	8	-	-												
Iowa	-	-	72	134	331	1	-	-	-												
Mo.	-	-	127	2,199	2,398	2	8	-	-												
N. Dak.	-	-	6	13	11	-	-	-	-												
S. Dak.	-	-	19	77	66	-	-	-	-												
Nebr.	-	-	-	118	403	-	1	-	1												
Kans.	-	-	38	816	821	1	-	-	-												
S. ATLANTIC	-	-	675	25,109	27,468	141	164	-	1												
Del.	-	-	12	524	483	-	-	-	-												
Md.	-	-	30	2,395	2,632	33	38	-	-												
D.C.	-	-	14	792	961	-	-	-	-												
Va.	-	-	47	3,363	2,760	8	9	-	-												
W. Va.	-	-	9	276	155	2	4	-	1												
N.C.	-	-	-	4,698	5,354	13	20	-	-												
S.C.	-	-	11	2,437	4,222	3	4	-	-												
Ga.	-	-	246	4,741	5,181	54	45	-	-												
Fla.	-	-	306	5,883	5,720	28	44	-	-												
E.S. CENTRAL	-	1	92	8,793	9,713	19	26	1	-												
Ky.	-	1	-	1,031	1,023	2	1	-	-												
Tenn.	-	-	39	2,573	2,946	11	11	-	-												
Ala.	-	-	53	3,275	3,348	5	13	1	-												
Miss.	-	-	-	1,914	2,396	1	1	-	-												
W.S. CENTRAL	-	-	14	14,080	15,609	21	16	-	1												
Ark.	-	-	14	873	1,599	1	-	-	-												
La.	-	-	-	3,502	3,559	1	2	-	-												
Okla.	-	-	-	1,342	1,424	19	13	-	-												
Tex.	-	-	-	8,363	9,027	-	1	-	1												
MOUNTAIN	1	-	339	2,880	3,047	74	70	1	2												
Mont.	-	-	18	37	31	-	-	-	-												
Idaho	-	-	16	28	27	1	1	-	-												
Wyo.	-	-	2	20	17	1	-	-	-												
Colo.	1	-	120	1,035	1,006	14	16	-	-												
N. Mex.	-	-	39	368	292	13	10	-	-												
Ariz.	-	-	48	782	1,065	35	35	1	1												
Utah	-	-	61	127	26	8	1	-	-												
Nev.	-	-	35	483	583	2	7	-	1												
PACIFIC	-	-	261	7,919	8,258	56	56	-	2												
Wash.	-	-	81	930	937	1	1	-	-												
Oreg.	-	-	122	253	374	30	6	-	-												
Calif.	-	-	-	6,393	6,639	9	32	-	2												
Alaska	-	-	22	196	103	1	1	-	-												
Hawaii	-	-	36	147	205	15	16	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	208	213	-	-	-	-												
V.I.	-	-	-	17	6	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	5	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


