
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2006 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	147	299	1,337	1,227	1,757	11	24	64	229	297											
NEW ENGLAND	3	50	232	64	149	-	1	12	8	11											
Conn.	3	9	154	41	6	-	0	10	1	-											
Maine	-	2	26	7	10	-	0	1	1	-											
Mass.	-	18	164	1	115	-	0	4	5	8											
N.H.	-	3	17	14	16	-	0	1	-	2											
R.I.	-	0	12	-	1	-	0	2	-	1											
Vt.	-	0	5	1	1	-	0	2	1	-											
MID. ATLANTIC	135	170	915	833	1,136	-	5	15	29	74											
N.J.	-	25	309	109	377	-	0	7	-	18											
N.Y. (Upstate)	132	66	859	472	190	-	1	10	7	14											
N.Y. City	-	0	0	-	-	-	3	8	14	35											
Pa.	3	61	464	252	569	-	1	2	8	7											
E.N. CENTRAL	-	13	157	32	75	2	2	6	31	24											
Ill.	-	0	6	-	1	-	0	2	7	7											
Ind.	-	0	4	-	2	-	0	3	5	3											
Mich.	-	1	7	6	1	-	0	2	4	7											
Ohio	-	1	5	5	14	2	0	3	11	3											
Wis.	-	10	148	21	57	-	0	3	4	4											
W.N. CENTRAL	5	12	99	31	41	-	0	5	5	9											
Iowa	-	1	8	1	5	-	0	1	1	2											
Kans.	-	0	3	-	2	-	0	1	-	1											
Minn.	5	8	96	28	34	-	0	3	2	1											
Mo.	-	0	2	1	-	-	0	3	1	5											
Nebr.	-	0	2	1	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	-	34	125	195	313	-	6	15	79	63											
Del.	-	9	37	71	112	-	0	1	1	1											
D.C.	-	0	2	5	1	-	0	2	-	1											
Fla.	-	1	8	11	9	-	1	6	10	13											
Ga.	-	0	1	-	1	-	1	6	22	9											
Md.	-	16	87	97	150	-	1	9	21	20											
N.C.	-	0	5	8	14	-	0	8	9	8											
S.C.	-	0	3	2	4	-	0	2	3	3											
Va.	-	3	21	1	22	-	0	9	12	7											
W. Va.	-	0	42	-	-	-	0	2	1	1											
E.S. CENTRAL	-	0	4	-	5	1	1	2	6	7											
Ala.	-	0	1	-	-	1	0	1	3	2											
Ky.	-	0	1	-	1	-	0	2	1	2											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	4	-	0	2	2	3											
W.S. CENTRAL	-	1	7	1	18	1	1	21	9	31											
Ark.	-	0	2	-	-	-	0	2	-	2											
La.	-	0	1	-	2	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	1	2											
Tex.	-	1	7	1	16	1	1	20	8	26											
MOUNTAIN	-	0	4	2	2	-	1	6	13	16											
Ariz.	-	0	4	2	-	-	0	4	1	2											
Colo.	-	0	1	-	-	-	0	3	4	8											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	1	1	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	1	-	0	2	7	4											
Wyo.	-	0	1	-	1	-	0	1	-	1											
PACIFIC	4	4	19	69	18	7	4	12	49	62											
Alaska	-	0	1	-	1	-	0	1	3	2											
Calif.	4	2	19	69	15	4	3	10	35	52											
Hawaii	N	0	0	N	N	-	0	4	-	4											
Oreg.	-	0	3	-	2	-	0	2	4	2											
Wash.	-	0	3	-	-	3	0	5	7	2											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


