
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 12, 2004 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	887	866	9	11	47	63	97	104	2,363	2,737											
NEW ENGLAND	82	62	1	1	4	5	3	3	409	119											
Maine	7	2	-	-	-	-	-	1	8	3											
N.H.	12	6	-	-	2	-	-	-	7	7											
Vt.	5	6	-	-	-	-	1	-	6	4											
Mass.	34	34	1	1	-	5	2	1	350	60											
R.I.	2	3	-	-	-	-	-	1	9	11											
Conn.	22	11	-	-	2	-	-	-	29	34											
MID. ATLANTIC	184	159	-	-	3	2	26	22	276	588											
Upstate N.Y.	64	54	-	-	3	2	3	6	38	48											
N.Y. City	41	27	-	-	-	-	9	5	92	220											
N.J.	25	34	-	-	-	-	2	5	57	90											
Pa.	54	44	-	-	-	-	12	6	89	230											
E.N. CENTRAL	130	147	-	1	10	4	19	28	208	255											
Ohio	60	39	-	-	2	-	10	7	24	44											
Ind.	28	22	-	-	4	2	1	-	15	20											
Ill.	20	59	-	-	-	-	6	16	78	79											
Mich.	10	9	-	1	4	2	1	-	73	83											
Wis.	12	18	-	-	-	-	1	5	18	29											
W.N. CENTRAL	52	60	2	-	3	6	4	6	88	76											
Minn.	21	22	1	-	3	6	-	1	23	20											
Iowa	1	-	1	-	-	-	-	-	24	15											
Mo.	15	26	-	-	-	-	2	5	25	22											
N. Dak.	3	1	-	-	-	-	-	-	1	-											
S. Dak.	-	1	-	-	-	-	-	-	2	-											
Nebr.	5	-	-	-	-	-	-	-	7	5											
Kans.	7	10	-	-	-	-	2	-	6	14											
S. ATLANTIC	220	166	-	-	12	7	18	11	448	616											
Del.	8	-	-	-	-	-	2	-	4	4											
Md.	35	38	-	-	2	4	-	-	64	59											
D.C.	-	-	-	-	-	-	-	-	4	20											
Va.	19	16	-	-	-	-	1	4	42	36											
W. Va.	10	7	-	-	-	-	3	-	2	8											
N.C.	30	13	-	-	4	-	-	-	33	32											
S.C.	2	2	-	-	-	-	-	-	17	23											
Ga.	57	34	-	-	-	-	11	4	165	246											
Fla.	59	56	-	-	6	3	1	3	117	188											
E.S. CENTRAL	33	43	-	1	-	2	7	4	75	76											
Ky.	-	3	-	-	-	1	-	-	11	13											
Tenn.	23	24	-	-	-	1	5	3	45	41											
Ala.	10	16	-	1	-	-	2	1	6	11											
Miss.	-	-	-	-	-	-	-	-	13	11											
W.S. CENTRAL	34	43	1	1	3	6	1	3	188	284											
Ark.	1	4	-	-	-	1	-	-	38	18											
La.	7	15	-	-	-	2	1	3	11	24											
Okla.	25	23	-	-	3	3	-	-	16	5											
Tex.	1	1	1	1	-	-	-	-	123	237											
MOUNTAIN	116	99	3	5	12	15	14	12	215	185											
Mont.	-	-	-	-	-	-	-	-	3	2											
Idaho	5	2	-	-	-	-	2	1	10	9											
Wyo.	-	1	-	-	-	-	-	-	2	1											
Colo.	25	16	-	-	-	-	3	4	21	26											
N. Mex.	23	13	-	-	4	3	3	1	5	8											
Ariz.	46	55	-	5	7	7	1	4	142	104											
Utah	9	7	2	-	-	2	3	2	27	13											
Nev.	8	5	1	-	1	3	2	-	5	22											
PACIFIC	36	87	2	2	-	16	5	15	456	538											
Wash.	3	3	2	-	-	2	1	1	26	30											
Oreg.	23	21	-	-	-	-	1	2	35	30											
Calif.	3	39	-	2	-	14	2	7	384	469											
Alaska	2	18	-	-	-	-	1	5	4	5											
Hawaii	5	6	-	-	-	-	-	-	7	4											
Guam	-	-	-	-	-	-	-	-	-	1											
P.R.	-	-	-	-	-	-	-	-	7	38											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


