
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 1997 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	1,700	1,622	6	270	302	64	2,100	1,445	15	39	98										
NEW ENGLAND	106	62	-	7	-	-	455	309	-	-	23										
Maine	10	8	-	-	-	-	6	10	-	-	-										
N.H.	9	1	-	-	-	-	58	17	-	-	-										
Vt.	2	3	-	-	-	-	160	7	-	-	2										
Mass.	57	21	-	2	-	-	214	272	-	-	19										
R.I.	7	7	-	4	-	-	12	-	-	-	-										
Conn.	21	22	-	1	-	-	5	3	-	-	2										
MID. ATLANTIC	147	175	2	26	46	3	163	99	-	4	5										
Upstate N.Y.	42	39	-	4	11	-	52	51	-	2	3										
N.Y. City	24	26	-	-	13	1	40	16	-	2	1										
N.J.	31	35	-	-	2	-	5	4	-	-	1										
Pa.	50	75	2	22	20	2	66	28	-	-	-										
E.N. CENTRAL	233	238	1	30	77	3	157	204	-	2	3										
Ohio	98	81	1	13	27	2	65	69	-	-	-										
Ind.	30	33	-	4	5	-	22	12	-	-	-										
Ill.	67	71	-	7	15	1	24	53	-	-	1										
Mich.	20	27	-	6	29	-	26	12	-	-	2										
Wis.	18	26	-	-	1	-	20	58	-	2	-										
W.N. CENTRAL	122	123	-	9	4	7	115	61	-	-	-										
Minn.	12	14	-	3	1	7	74	40	-	-	-										
Iowa	26	25	-	4	-	-	15	2	-	-	-										
Mo.	63	52	-	-	1	-	16	12	-	-	-										
N. Dak.	1	2	-	-	2	-	2	-	-	-	-										
S. Dak.	4	4	-	-	-	-	1	1	-	-	-										
Nebr.	5	12	-	2	-	-	2	2	-	-	-										
Kans.	11	14	-	-	-	-	5	4	-	-	-										
S. ATLANTIC	315	247	1	40	34	7	189	122	11	13	12										
Del.	4	2	-	-	-	-	-	11	-	-	-										
Md.	31	27	-	4	15	-	69	53	-	-	-										
D.C.	1	6	-	-	-	-	2	-	-	-	1										
Va.	27	30	-	4	3	-	19	5	-	1	-										
W. Va.	12	10	-	-	-	1	4	2	-	-	-										
N.C.	54	40	1	7	-	5	40	24	10	10	-										
S.C.	40	33	-	9	5	-	8	1	-	1	1										
Ga.	63	72	-	4	2	-	7	7	-	-	-										
Fla.	83	27	-	12	9	1	40	19	1	1	10										
E.S. CENTRAL	131	121	1	15	11	1	36	130	-	-	-										
Ky.	34	19	-	2	-	-	2	112	-	-	-										
Tenn.	45	36	-	3	1	-	14	11	-	-	-										
Ala.	36	34	1	6	3	1	12	4	-	-	-										
Miss.	16	32	U	4	7	U	8	3	U	-	N										
W.S. CENTRAL	170	187	-	29	24	-	32	43	-	4	7										
Ark.	24	26	-	-	-	-	5	2	-	-	-										
La.	29	35	-	7	10	-	7	4	-	-	1										
Okla.	22	18	-	-	-	-	5	4	-	-	-										
Tex.	95	108	-	22	14	-	15	33	-	4	6										
MOUNTAIN	104	101	-	34	13	25	648	155	2	4	5										
Mont.	8	4	-	-	-	1	6	5	-	-	-										
Idaho	7	12	-	2	-	15	480	56	1	1	2										
Wyo.	-	3	-	1	-	-	4	-	-	-	-										
Colo.	30	15	-	3	1	2	111	26	-	-	1										
N. Mex.	18	20	N	N	N	6	31	29	-	-	-										
Ariz.	23	26	-	22	1	-	10	11	1	3	1										
Utah	12	9	-	4	2	1	4	5	-	-	-										
Nev.	6	12	U	2	9	U	2	23	U	-	1										
PACIFIC	372	368	1	80	93	18	305	322	2	12	43										
Wash.	49	48	1	11	9	5	159	146	-	-	8										
Oreg.	80	69	-	1	-	1	16	30	-	-	1										
Calif.	240	245	-	57	68	12	123	135	2	7	32										
Alaska	1	4	-	2	2	-	1	1	-	-	-										
Hawaii	2	2	-	9	14	-	6	10	-	5	2										
Guam	-	1	U	1	4	U	-	-	U	-	-										
P.R.	8	8	-	4	1	-	-	2	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	1	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


