
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 4, 2005 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	3,651	5,088	80	104	10,587	11,692	-	42	-												
NEW ENGLAND	105	158	8	11	394	1,478	-	-	-												
Maine	6	9	-	-	103	44	-	-	-												
N.H.	4	7	-	-	75	-	-	-	-												
Vt.	-	-	-	-	24	348	-	-	-												
Mass.	71	88	6	10	192	31	-	-	-												
R.I.	6	17	-	1	-	-	-	-	-												
Conn.	18	37	2	-	U	1,055	-	-	-												
MID. ATLANTIC	811	771	22	29	2,458	31	-	1	-												
Upstate N.Y.	101	95	3	2	-	-	-	-	-												
N.Y. City	412	390	5	10	-	-	-	-	-												
N.J.	187	162	7	11	-	-	-	-	-												
Pa.	111	124	7	6	2,458	31	-	1	-												
E.N. CENTRAL	521	458	4	11	3,526	3,700	-	1	-												
Ohio	105	79	-	2	816	914	-	-	-												
Ind.	55	54	-	-	120	N	-	-	-												
Ill.	255	221	1	5	17	1	-	-	-												
Mich.	71	74	1	3	2,339	2,343	-	1	-												
Wis.	35	30	2	1	234	442	-	-	-												
W.N. CENTRAL	194	163	1	3	74	126	-	2	-												
Minn.	77	64	1	2	-	-	-	-	-												
Iowa	17	15	-	-	N	N	-	-	-												
Mo.	52	47	-	1	3	2	-	1	-												
N. Dak.	2	3	-	-	10	70	-	-	-												
S. Dak.	5	4	-	-	61	54	-	1	-												
Nebr.	19	6	-	-	-	-	-	-	-												
Kans.	22	24	-	-	-	-	-	-	N												
S. ATLANTIC	819	1,036	11	9	910	1,338	-	1	-												
Del.	2	11	-	-	6	4	-	-	-												
Md.	95	88	2	2	-	-	-	-	-												
D.C.	27	4	-	-	16	17	-	-	-												
Va.	103	80	2	3	144	316	-	-	-												
W. Va.	8	10	-	-	567	732	-	-	N												
N.C.	81	96	2	2	-	N	-	-	-												
S.C.	88	83	-	-	177	269	-	-	-												
Ga.	123	279	2	-	-	-	-	-	-												
Fla.	292	385	3	2	-	-	-	1	-												
E.S. CENTRAL	213	224	1	4	-	-	-	-	-												
Ky.	44	37	1	2	N	N	-	-	-												
Tenn.	96	82	-	2	-	-	-	-	-												
Ala.	73	72	-	-	-	-	-	-	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	282	890	3	7	1,651	3,534	-	2	-												
Ark.	38	56	-	-	-	-	-	-	-												
La.	-	-	-	-	97	43	-	-	-												
Okla.	56	61	-	-	-	-	-	-	-												
Tex.	188	773	3	7	1,554	3,491	-	2	-												
MOUNTAIN	111	221	3	4	1,574	1,485	-	35	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	42	20	-	-	-												
Colo.	24	55	-	1	1,127	1,114	-	1	-												
N. Mex.	4	15	-	-	88	66	-	-	-												
Ariz.	73	93	1	2	-	-	-	34	-												
Utah	10	19	1	1	317	285	-	-	-												
Nev.	-	38	1	-	-	-	-	-	-												
PACIFIC	595	1,167	27	26	-	-	-	-	-												
Wash.	86	86	2	2	N	N	-	-	-												
Oreg.	41	37	2	-	-	-	-	-	-												
Calif.	406	981	19	18	-	-	-	-	-												
Alaska	13	14	-	-	-	-	-	-	-												
Hawaii	49	49	4	6	-	-	-	-	-												
Guam	-	30	-	-	-	65	-	-	-												
P.R.	-	21	-	-	76	232	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


