
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 2003 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	457	613	2	7	68	106	10	7	1,593	3,145											
NEW ENGLAND	37	41	-	-	1	4	2	2	52	124											
Maine	3	1	-	-	-	-	1	-	2	4											
N.H.	5	4	-	-	-	-	-	-	3	6											
Vt.	5	3	-	-	-	-	-	-	1	-											
Mass.	16	23	-	-	1	2	1	2	32	58											
R.I.	1	-	-	-	-	-	-	-	4	15											
Conn.	7	10	-	-	-	2	-	-	10	41											
MID. ATLANTIC	79	120	-	1	12	18	3	-	223	457											
Upstate N.Y.	31	45	-	1	6	7	-	-	32	53											
N.Y. City	13	33	-	-	4	7	-	-	105	210											
N.J.	16	30	-	-	2	3	-	-	36	62											
Pa.	19	12	-	-	-	1	3	-	50	132											
E.N. CENTRAL	52	119	1	1	9	21	-	-	170	376											
Ohio	20	38	-	-	5	5	-	-	31	92											
Ind.	13	16	-	-	1	5	-	-	12	17											
Ill.	14	40	-	-	3	7	-	-	52	135											
Mich.	5	6	1	1	-	-	-	-	63	79											
Wis.	-	19	-	-	-	4	-	-	12	53											
W.N. CENTRAL	32	18	-	-	4	1	2	2	59	119											
Minn.	15	13	-	-	4	1	-	1	14	15											
Iowa	-	1	-	-	-	-	-	-	15	26											
Mo.	11	3	-	-	-	-	2	1	13	25											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	-	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	5	1	-	-	-	-	-	-	13	43											
S. ATLANTIC	110	123	-	-	10	18	-	-	417	860											
Del.	-	-	-	-	-	-	-	-	3	6											
Md.	23	37	-	-	2	1	-	-	47	100											
D.C.	-	-	-	-	-	-	-	-	9	31											
Va.	9	9	-	-	3	2	-	-	21	28											
W. Va.	3	2	-	-	-	-	-	-	4	9											
N.C.	10	13	-	-	-	1	-	-	26	100											
S.C.	2	3	-	-	-	1	-	-	13	16											
Ga.	24	32	-	-	2	7	-	-	159	179											
Fla.	39	27	-	-	3	6	-	-	135	391											
E.S. CENTRAL	37	25	-	1	5	6	-	-	46	105											
Ky.	2	3	-	-	-	-	-	-	10	26											
Tenn.	21	12	-	-	3	3	-	-	23	42											
Ala.	12	5	-	1	1	2	-	-	9	12											
Miss.	2	5	-	-	1	1	-	-	4	25											
W.S. CENTRAL	24	24	-	2	3	4	-	-	95	210											
Ark.	4	1	-	-	1	-	-	-	2	13											
La.	5	2	-	-	-	-	-	-	12	17											
Okla.	15	19	-	-	2	4	-	-	4	12											
Tex.	-	2	-	2	-	-	-	-	77	168											
MOUNTAIN	61	77	1	2	17	17	2	2	122	189											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	18											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	13	14	-	-	4	2	-	-	12	27											
N. Mex.	8	13	-	-	3	4	-	-	7	5											
Ariz.	30	35	1	1	7	8	-	1	76	96											
Utah	6	10	-	1	3	2	-	-	10	12											
Nev.	4	3	-	-	-	1	2	1	15	24											
PACIFIC	25	66	-	-	7	17	1	1	409	705											
Wash.	3	1	-	-	2	1	1	-	15	49											
Oreg.	15	30	-	-	3	4	-	-	25	37											
Calif.	2	19	-	-	2	9	-	1	363	601											
Alaska	-	1	-	-	-	1	-	-	3	7											
Hawaii	5	15	-	-	-	2	-	-	3	11											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	6	47											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


