
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2012 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2012
Rabies, animal cummulative for 2011
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2012
Salmonellosis cummulative for 2011
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2012
Shiga toxin-producing E. coli(STEC)† cummulative for 2011

tab delimited data:
test
UNITED STATES	27	67	122	3,288	4,108	516	964	1,590	44,589	48,479	60	102	177	4,791	5,631						
NEW ENGLAND	1	7	16	350	323	-	33	73	1,712	2,009	1	3	12	190	205						
Conn.	-	3	8	165	185	-	8	17	409	450	-	1	5	52	53						
Maine	-	1	6	82	63	-	3	11	142	126	-	0	6	30	28						
Mass.	-	0	0	-	-	-	18	54	870	1,008	-	1	5	69	78						
N.H.	-	0	3	28	22	-	2	8	125	168	-	0	4	21	22						
R.I.	-	0	2	24	23	-	2	7	84	181	-	0	1	1	8						
Vt.	1	1	7	51	30	-	1	7	82	76	1	0	2	17	16						
MID. ATLANTIC	7	14	31	717	789	19	87	170	4,380	5,322	2	11	23	571	628						
N.J.	-	0	0	-	-	-	14	29	605	1,159	-	2	6	105	137						
N.Y. (Upstate)	7	7	20	404	351	4	23	64	1,206	1,312	1	4	14	214	206						
N.Y. City	-	0	1	-	12	4	19	49	1,101	1,071	-	1	7	75	86						
Pa.	-	7	15	313	426	11	27	76	1,468	1,780	1	3	11	177	199						
E.N. CENTRAL	-	2	13	153	193	26	91	210	4,625	4,904	5	16	63	926	978						
Ill.	-	1	6	63	51	-	27	79	1,666	1,610	-	3	12	164	232						
Ind.	-	0	2	7	28	-	13	39	664	613	-	2	22	157	126						
Mich.	-	0	5	44	65	-	15	45	800	816	-	3	41	257	146						
Ohio	-	0	7	39	49	26	23	53	1,237	1,137	5	3	20	222	173						
Wis.	N	0	0	N	N	-	5	16	258	728	-	2	13	126	301						
W.N. CENTRAL	-	4	18	197	182	15	50	115	2,587	2,857	2	15	30	711	984						
Iowa	-	0	5	29	23	-	9	30	581	433	1	2	15	173	184						
Kans.	-	1	4	52	31	1	9	19	450	445	-	2	7	85	104						
Minn.	-	0	2	-	54	-	0	16	-	687	-	0	7	-	283						
Mo.	-	0	3	30	28	14	20	48	1,081	856	1	6	20	310	267						
Nebr.	-	0	0	-	33	-	4	26	270	239	-	1	8	75	99						
N. Dak.	-	0	13	30	13	-	1	19	55	40	-	0	4	32	9						
S. Dak.	-	1	7	56	-	-	3	9	150	157	-	1	3	36	38						
S. ATLANTIC	15	19	45	896	1,069	289	278	540	13,843	14,351	33	12	66	658	584						
Del.	-	0	0	-	-	-	2	10	137	171	-	0	2	12	15						
D.C.	-	0	0	-	-	-	1	4	35	83	-	0	1	4	6						
Fla.	-	0	34	98	120	138	110	272	6,096	5,489	6	4	10	200	99						
Ga.	-	0	0	-	-	28	46	125	2,507	2,552	-	2	9	118	113						
Md.	-	5	16	253	285	8	18	43	877	962	2	1	5	71	66						
N.C.	-	0	0	-	-	107	30	166	2,109	2,398	25	1	60	151	149						
S.C.	N	0	0	N	N	-	17	61	924	1,505	-	0	7	18	18						
Va.	15	10	23	488	570	7	22	57	1,032	1,090	-	1	7	77	112						
W. Va.	-	1	6	57	94	1	2	52	126	101	-	0	2	7	6						
E.S. CENTRAL	-	1	5	67	156	19	63	201	3,795	4,087	2	5	14	256	276						
Ala.	-	1	5	52	78	10	19	52	1,016	1,189	-	1	5	55	71						
Ky.	-	0	3	15	16	-	8	47	526	573	-	1	9	69	69						
Miss.	-	0	0	-	-	-	21	87	1,228	1,340	-	0	3	23	33						
Tenn.	-	0	1	-	62	9	19	68	1,025	985	2	2	12	109	103						
W.S. CENTRAL	4	11	58	714	1,088	95	145	395	7,082	7,417	10	9	92	469	525						
