
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 30, 2007 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	50	235	1,480	3,578	6,635	37	94	168	2,021	2,440	10	29	211	526	705						
NEW ENGLAND	-	32	77	474	774	8	11	22	280	185	-	0	10	-	6						
Conn.	-	2	10	18	31	8	4	14	114	75	-	0	0	-	-						
Maine	-	2	15	36	24	-	2	8	38	45	N	0	0	N	N						
Mass.	-	21	46	369	493	-	0	0	-	-	-	0	1	-	5						
N.H.	-	2	9	30	125	-	1	4	20	15	-	0	0	-	1						
R.I.	-	0	31	1	22	-	0	3	18	14	-	0	9	-	-						
Vt.	-	1	9	20	79	-	2	13	90	36	-	0	0	-	-						
MID. ATLANTIC	10	34	155	561	826	-	13	38	303	219	-	1	6	25	29						
N.J.	-	4	16	60	153	-	0	0	-	-	-	0	4	-	17						
N.Y. (Upstate)	5	18	146	304	309	-	-	-	-	-	-	0	1	1	-						
N.Y. City	-	2	6	51	46	-	1	5	24	8	-	0	3	11	5						
Pa.	5	8	20	146	318	-	11	37	279	211	-	0	3	13	7						
E.N. CENTRAL	16	41	80	739	964	2	2	18	74	48	-	0	9	8	27						
Ill.	-	7	23	73	251	-	0	7	21	10	-	0	4	1	16						
Ind.	-	2	45	25	105	1	0	2	6	3	-	0	1	2	3						
Mich.	-	9	39	124	191	-	0	5	21	23	-	0	1	2	-						
Ohio	16	14	54	402	300	1	0	12	26	12	-	0	4	3	7						
Wis.	-	3	20	115	117	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	3	16	151	242	680	10	6	19	126	139	4	3	13	81	70						
Iowa	-	4	16	71	173	-	0	7	16	21	-	0	1	3	2						
Kans.	3	3	14	79	137	1	2	8	72	38	-	0	1	-	-						
Minn.	-	0	119	-	102	4	0	6	10	22	-	0	2	1	1						
Mo.	-	3	10	37	183	3	1	6	12	19	4	3	12	71	58						
Nebr.	-	1	4	15	66	-	0	0	-	-	-	0	5	4	9						
N. Dak.	-	0	18	4	4	2	0	6	11	13	-	0	0	-	-						
S. Dak.	-	0	6	36	15	-	0	2	5	26	-	0	1	2	-						
S. ATLANTIC	17	18	163	451	539	11	40	63	954	1,097	6	14	67	280	429						
