
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	12	43	191	506	110	175	-	1	-	-	1	-									
NEW ENGLAND	1	-	2	10	1	9	-	-	-	-	-	-									
Maine	-	-	1	1	-	-	-	-	-	-	-	-									
N.H.	-	-	1	-	-	-	-	-	-	-	-	-									
Vt.	1	-	-	-	1	-	-	-	-	-	-	-									
Mass.	-	-	-	6	-	5	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	-	3	-	4	-	-	-	-	-	-									
MID. ATLANTIC	2	8	2	28	1	25	-	-	-	-	-	-									
Upstate N.Y.	2	2	-	1	-	-	-	-	-	-	-	-									
N.Y. City	-	5	2	19	1	7	-	-	-	-	-	-									
N.J.	-	1	-	6	-	5	-	-	-	-	-	-									
Pa.	-	-	-	2	-	13	-	-	-	-	-	-									
E.N. CENTRAL	2	11	42	150	22	22	-	1	-	-	1	-									
Ohio	2	6	18	28	5	5	-	-	-	-	-	-									
Ind.	-	-	-	-	-	-	-	-	-	-	-	-									
Ill.	-	5	-	30	-	-	-	-	-	-	-	-									
Mich.	-	-	24	92	17	15	-	1	-	-	1	-									
Wis.	-	-	-	-	-	2	-	-	-	-	-	-									
W.N. CENTRAL	1	1	28	32	7	12	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	1	-	-	-	-	-	-	-	-	-									
Mo.	1	-	27	30	7	8	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	U	-	U	-	-	-									
S. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
Nebr.	-	-	-	1	-	4	U	-	U	-	-	-									
Kans.	-	1	-	1	-	-	U	-	U	-	-	-									
S. ATLANTIC	5	10	13	30	15	25	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	4	10	4	13	4	8	-	-	-	-	-	-									
D.C.	-	-	-	2	-	-	-	-	-	-	-	-									
Va.	-	-	-	-	-	-	-	-	-	-	-	-									
W. Va.	-	-	-	-	-	-	-	-	-	-	-	-									
N.C.	1	-	9	4	11	16	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	-	-	-	11	-	1	-	-	-	-	-	-									
Fla.	-	-	-	-	-	-	U	-	U	-	-	-									
E.S. CENTRAL	-	2	9	19	3	8	-	-	-	-	-	-									
Ky.	-	1	-	4	-	-	U	-	U	-	-	-									
Tenn.	-	1	-	3	-	1	-	-	-	-	-	-									
Ala.	-	-	4	4	1	2	-	-	-	-	-	-									
Miss.	-	-	5	8	2	5	-	-	-	-	-	-									
W.S. CENTRAL	-	3	-	20	-	2	-	-	-	-	-	-									
Ark.	-	-	-	2	-	1	U	-	U	-	-	-									
La.	-	-	-	-	-	-	-	-	-	-	-	-									
Okla.	-	2	-	6	-	1	-	-	-	-	-	-									
Tex.	-	1	-	12	-	-	-	-	-	-	-	-									
MOUNTAIN	1	2	7	45	-	19	-	-	-	-	-	-									
Mont.	-	-	-	-	-	-	-	-	-	-	-	-									
Idaho	-	-	-	1	-	3	-	-	-	-	-	-									
Wyo.	-	1	-	1	-	-	-	-	-	-	-	-									
Colo.	-	-	-	14	-	7	U	-	U	-	-	-									
N. Mex.	-	1	-	3	-	4	-	-	-	-	-	-									
Ariz.	-	-	5	17	-	1	-	-	-	-	-	-									
Utah	1	-	2	3	-	-	-	-	-	-	-	-									
Nev.	-	-	-	6	-	4	U	-	U	-	-	-									
PACIFIC	-	6	88	172	61	53	-	-	-	-	-	-									
Wash.	-	-	-	2	-	-	-	-	-	-	-	-									
Oreg.	-	2	-	6	-	3	U	-	U	-	-	-									
Calif.	-	3	88	164	61	49	-	-	-	-	-	-									
Alaska	-	1	-	-	-	1	-	-	-	-	-	-									
Hawaii	-	-	-	-	-	-	U	-	U	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	-	-	-	-	-	1	-	-	-	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


