
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 3, 2011 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	11	7	109	520	517	10	16	42	379	1,367	2	1	13	69	73						
NEW ENGLAND	-	0	2	4	3	-	2	15	105	67	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	25	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	12	13	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	2	1	-	0	4	11	11	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	10	30	17	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	2	1	7	43	71	7	4	27	187	188	-	0	2	7	8						
N.J.	-	0	1	-	46	-	0	3	-	57	-	0	0	-	1						
N.Y. (Upstate)	2	0	7	39	19	7	3	25	161	121	-	0	2	7	5						
N.Y. City	-	0	1	4	5	-	0	5	24	10	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	2	-	-	0	1	-	2						
E.N. CENTRAL	-	0	3	21	36	-	1	9	10	425	2	0	4	33	40						
Ill.	-	0	2	11	12	-	0	1	3	5	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	2	0	3	26	14						
Mich.	-	0	2	4	2	-	0	1	-	2	-	0	2	3	-						
Ohio	-	0	1	6	6	-	0	1	4	2	-	0	1	1	-						
Wis.	-	0	1	-	16	-	0	9	3	416	-	0	1	1	23						
W.N. CENTRAL	-	1	17	132	113	-	1	20	26	620	-	0	11	14	8						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	6	-	0	1	1	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	609	-	0	11	-	-						
Mo.	-	0	17	129	106	-	0	7	23	10	-	0	7	13	8						
Nebr.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	1	-	-	0	0	-	-						
S. ATLANTIC	8	3	33	184	198	3	1	8	40	47	-	0	1	5	4						
Del.	-	0	2	14	16	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	13	8	3	0	1	7	2	-	0	0	-	-						
Ga.	-	0	3	16	19	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	19	18	-	0	2	3	12	-	0	0	-	2						
N.C.	8	0	17	55	68	-	0	6	17	19	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
Va.	-	1	13	66	63	-	0	2	5	9	-	0	1	3	1						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	1	0	7	56	76	-	0	2	10	18	-	0	1	6	8						
Ala.	-	0	1	-	10	-	0	1	3	7	N	0	0	N	N						
Ky.	-	0	2	9	12	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	0	-	2	-	0	0	-	1						
Tenn.	1	0	5	44	51	-	0	1	7	9	-	0	1	6	6						
W.S. CENTRAL	-	0	87	80	19	-	0	9	-	2	-	0	0	-	1						
Ark.	-	0	11	34	4	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	45	11	-	0	7	-	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	-	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	1	-	-	0	0	-	2						
