
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 2, 2009 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	55	101	226	2,131	2,343	9	35	102	641	729											
NEW ENGLAND	14	5	31	138	147	-	1	12	21	39											
Conn.	13	0	26	36	12	-	0	11	-	-											
Maine	-	0	3	8	12	-	0	1	-	1											
Mass.	1	3	10	60	92	-	1	3	15	31											
N.H.	-	0	4	21	16	-	0	1	4	7											
R.I.	-	0	8	4	8	-	0	2	-	-											
Vt.	-	0	3	9	7	-	0	1	2	-											
MID. ATLANTIC	15	18	36	398	494	2	4	25	91	87											
N.J.	-	1	9	2	91	-	1	4	11	28											
N.Y. (Upstate)	9	6	24	148	144	2	2	19	53	36											
N.Y. City	-	4	12	88	98	-	0	23	27	23											
Pa.	6	6	18	160	161	N	0	2	N	N											
E.N. CENTRAL	7	18	39	426	479	1	6	10	89	140											
Ill.	-	5	11	102	141	-	1	5	9	41											
Ind.	-	3	19	65	62	-	0	5	11	19											
Mich.	2	3	9	71	83	-	1	5	26	37											
Ohio	3	4	13	126	130	1	1	5	31	21											
Wis.	2	1	10	62	63	-	0	3	12	22											
W.N. CENTRAL	2	5	37	174	188	-	2	14	55	40											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	8	23	24	N	0	1	N	N											
Minn.	-	0	34	65	83	-	0	9	22	15											
Mo.	1	1	8	49	48	-	1	3	24	17											
Nebr.	1	1	3	25	16	-	0	1	2	3											
N. Dak.	-	0	2	2	7	-	0	3	3	1											
S. Dak.	-	0	2	10	10	-	0	2	4	4											
S. ATLANTIC	8	22	46	464	457	1	6	14	130	145											
Del.	-	0	1	7	6	-	0	0	-	-											
D.C.	-	0	2	-	1	N	0	0	N	N											
Fla.	-	6	12	114	102	-	1	6	30	24											
Ga.	3	5	13	111	97	1	2	6	38	40											
Md.	1	3	10	70	87	-	1	3	28	32											
N.C.	-	2	12	48	54	N	0	0	N	N											
S.C.	-	1	5	34	30	-	1	6	24	23											
Va.	2	3	9	62	62	-	0	3	3	22											
W. Va.	2	1	4	18	18	-	0	2	7	4											
E.S. CENTRAL	1	4	9	88	75	2	2	6	26	40											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	15	17	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	12											
Tenn.	1	3	8	73	58	2	1	6	26	28											
W.S. CENTRAL	5	9	72	192	191	1	6	43	118	95											
Ark.	-	0	2	9	4	-	0	3	11	4											
La.	-	0	2	6	8	-	0	3	12	3											
Okla.	4	2	13	74	52	1	1	7	25	34											
Tex.	1	6	59	103	127	-	4	34	70	54											
MOUNTAIN	3	10	22	193	264	2	4	16	98	126											
Ariz.	1	3	8	56	86	2	2	10	58	58											
Colo.	2	3	8	72	65	-	1	4	20	25											
Idaho	-	0	2	3	10	-	0	1	2	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	3	5	-	0	1	-	2											
N. Mex.	-	2	7	37	70	-	0	3	7	19											
Utah	-	1	6	21	25	-	0	4	11	20											
Wyo.	-	0	1	1	3	-	0	1	-	-											
PACIFIC	-	3	9	58	48	-	1	5	13	17											
Alaska	-	0	4	8	12	-	0	4	8	10											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	50	36	-	0	2	5	7											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	16	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


