
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	36	255	1,116	2,221	2,729	8	23	78	295	461	16	19	79	456	551						
NEW ENGLAND	14	37	350	139	334	-	1	7	12	25	1	1	3	20	22						
Conn.	14	9	227	62	73	-	0	3	-	1	1	0	2	4	6						
Maine	-	1	38	18	34	-	0	1	3	2	-	0	3	3	2						
Mass.	-	1	112	2	201	-	0	4	8	20	-	0	3	10	13						
N.H.	-	6	97	46	16	-	0	3	1	1	-	0	2	-	-						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	1	-						
Vt.	-	1	15	11	9	-	0	0	-	1	-	0	1	2	1						
MID. ATLANTIC	13	142	552	1,106	1,631	1	5	18	65	112	1	2	8	54	90						
N.J.	-	26	190	102	462	-	0	7	-	33	-	0	2	1	9						
N.Y. (Upstate)	-	52	392	348	669	-	1	7	16	9	-	1	2	14	18						
N.Y. City	-	3	23	6	22	-	3	9	40	58	-	1	4	16	33						
Pa.	13	39	223	650	478	1	1	4	9	12	1	0	5	23	30						
E.N. CENTRAL	-	6	162	25	254	2	3	10	36	54	1	3	8	61	85						
Ill.	-	1	16	4	12	-	1	6	10	20	-	0	3	13	25						
Ind.	-	0	3	1	2	-	0	2	1	6	-	0	4	14	10						
Mich.	-	1	5	7	3	-	0	2	7	8	-	0	3	13	14						
Ohio	-	0	5	3	15	2	0	2	11	14	1	1	3	15	24						
Wis.	-	5	154	10	222	-	0	3	7	6	-	0	2	6	12						
W.N. CENTRAL	7	5	188	63	75	-	1	12	19	20	1	1	5	30	33						
Iowa	-	1	8	8	25	-	0	1	2	1	-	0	3	7	9						
Kans.	1	0	3	7	1	-	0	2	1	-	-	0	1	1	1						
Minn.	6	2	188	41	46	-	0	12	11	14	1	0	3	9	7						
Mo.	-	0	3	7	-	-	0	1	2	3	-	0	3	8	10						
Nebr.	-	0	2	-	3	-	0	1	2	-	-	0	1	2	5						
N. Dak.	-	0	0	-	-	-	0	0	-	1	-	0	1	2	1						
S. Dak.	-	0	1	-	-	-	0	1	1	1	-	0	1	1	-						
S. ATLANTIC	-	44	134	808	404	2	5	14	70	118	-	3	11	65	95						
Del.	-	8	28	174	148	-	0	1	2	3	-	0	1	-	3						
D.C.	-	0	7	6	7	-	0	2	3	-	-	0	1	-	-						
Fla.	-	0	3	13	8	-	1	4	17	19	-	1	7	25	37						
Ga.	-	0	1	-	1	-	1	5	6	43	-	0	3	7	9						
Md.	-	23	106	478	213	-	1	4	20	20	-	0	2	14	6						
N.C.	-	0	4	6	9	2	0	4	7	11	-	0	6	6	15						
S.C.	-	0	2	5	3	-	0	2	1	4	-	0	2	6	11						
Va.	-	7	36	122	15	-	1	4	13	17	-	0	2	7	11						
W. Va.	-	0	14	4	-	-	0	1	1	1	-	0	2	-	3						
E.S. CENTRAL	-	1	4	11	2	1	0	3	12	9	-	1	4	25	21						
Ala.	-	0	3	2	1	-	0	2	1	4	-	0	2	6	4						
Ky.	-	0	2	-	-	1	0	1	3	1	-	0	2	4	5						
Miss.	-	0	1	-	-	-	0	1	1	2	-	0	4	4	3						
Tenn.	-	0	3	9	1	-	0	2	7	2	-	0	2	11	9						
W.S. CENTRAL	-	1	6	18	5	-	1	7	13	28	1	1	13	40	35						
Ark.	-	0	0	-	-	-	0	2	-	1	-	0	2	5	5						
La.	-	0	1	2	-	-	0	2	11	1	-	0	4	11	5						
Okla.	-	0	0	-	-	-	0	3	1	2	1	0	4	11	8						
Tex.	-	1	6	16	5	-	1	6	1	24	-	0	9	13	17						
MOUNTAIN	-	0	3	8	4	1	1	6	20	23	2	1	5	39	36						
Ariz.	-	0	1	-	3	-	0	3	4	7	-	0	3	10	10						
Colo.	-	0	0	-	-	-	0	2	9	7	1	0	2	14	13						
Idaho	-	0	2	2	-	-	0	1	-	-	-	0	1	2	1						
Mont.	-	0	1	1	-	-	0	1	1	1	-	0	1	1	2						
Nev.	-	0	2	5	-	-	0	1	1	-	-	0	1	3	3						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	0	1	1	1						
Utah	-	0	1	-	-	1	0	2	5	7	1	0	2	7	4						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	2						
PACIFIC	2	2	16	43	20	1	3	45	48	72	9	4	48	122	134						
Alaska	-	0	1	2	-	-	0	4	2	8	-	0	1	1	2						
Calif.	2	2	8	41	20	1	2	6	33	56	8	3	10	90	105						
Hawaii	N	0	0	N	N	-	0	1	2	2	-	0	1	2	4						
Oreg.	-	0	1	-	-	-	0	3	8	6	1	0	3	15	23						
Wash.	-	0	8	-	-	-	0	43	3	-	-	0	43	14	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	N	0	0	N	N	-	0	1	1	-	-	0	1	5	4						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
