
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 30, 2009 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	60	96	237	2,569	2,855	14	34	121	793	904											
NEW ENGLAND	-	5	29	151	214	-	1	12	21	44											
Conn.	-	0	21	43	54	-	0	11	-	-											
Maine	-	0	3	9	14	-	0	1	-	1											
Mass.	-	2	10	60	114	-	1	3	15	35											
N.H.	-	1	4	25	15	-	0	1	4	7											
R.I.	-	0	8	4	8	-	0	2	-	1											
Vt.	-	0	3	10	9	-	0	1	2	-											
MID. ATLANTIC	8	18	38	478	608	5	4	33	116	110											
N.J.	-	1	6	3	107	-	1	4	14	33											
N.Y. (Upstate)	4	6	25	178	190	2	2	17	61	45											
N.Y. City	-	4	12	95	118	3	0	31	41	32											
Pa.	4	6	18	202	193	N	0	2	N	N											
E.N. CENTRAL	5	17	43	517	569	2	6	18	115	162											
Ill.	-	5	12	138	164	-	1	5	14	48											
Ind.	-	3	23	82	74	-	0	13	11	17											
Mich.	1	3	10	83	105	1	1	5	34	44											
Ohio	4	4	13	143	152	1	1	6	42	30											
Wis.	-	1	10	71	74	-	0	3	14	23											
W.N. CENTRAL	6	6	37	218	219	-	2	11	66	40											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	5	32	25	N	0	1	N	N											
Minn.	-	0	34	84	101	-	0	7	28	9											
Mo.	2	1	8	58	56	-	1	4	28	20											
Nebr.	-	1	3	27	19	-	0	1	3	4											
N. Dak.	-	0	2	2	7	-	0	3	3	2											
S. Dak.	3	0	2	15	11	-	0	2	4	5											
S. ATLANTIC	20	22	46	568	555	1	7	16	166	175											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	6	N	0	0	N	N											
Fla.	5	6	12	136	127	1	1	6	36	31											
Ga.	3	5	13	139	117	-	2	6	47	51											
Md.	3	3	10	83	102	-	1	3	33	34											
N.C.	4	2	12	59	70	N	0	0	N	N											
S.C.	1	1	5	36	35	-	1	6	27	28											
Va.	4	3	9	86	73	-	0	4	15	27											
W. Va.	-	1	4	21	19	-	0	2	8	4											
E.S. CENTRAL	-	4	10	107	94	-	1	6	30	57											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	19	19	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	15											
Tenn.	-	3	8	88	75	-	1	6	30	42											
W.S. CENTRAL	15	10	75	235	225	4	6	46	145	134											
Ark.	-	0	2	9	6	-	0	4	16	8											
La.	-	0	2	6	10	-	0	3	12	6											
Okla.	2	2	16	82	57	1	1	7	28	42											
Tex.	13	6	59	138	152	3	4	34	89	78											
MOUNTAIN	6	9	22	230	312	2	4	16	119	155											
Ariz.	1	3	8	71	105	-	2	10	69	68											
Colo.	5	3	8	90	77	2	1	4	24	35											
Idaho	-	0	2	3	10	-	0	2	4	2											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	4	6	-	0	1	-	2											
N. Mex.	-	2	7	40	78	-	0	3	11	24											
Utah	-	1	6	21	31	-	0	4	11	23											
Wyo.	-	0	1	1	5	-	0	1	-	1											
PACIFIC	-	3	9	65	59	-	1	3	15	27											
Alaska	-	0	4	8	12	-	0	3	10	16											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	57	47	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	8	-	19	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


