
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	-	-	7,583	25,376	12	33	16	34	5	28											
NEW ENGLAND	-	-	630	569	-	1	2	5	2	4											
Maine	-	-	16	-	-	-	-	-	-	-											
N.H.	-	-	25	47	-	-	-	-	2	-											
Vt.	-	-	23	12	-	1	-	-	-	-											
Mass.	-	-	441	288	-	-	2	5	-	2											
R.I.	-	-	-	81	-	-	-	-	-	-											
Conn.	-	-	125	141	-	-	-	-	-	2											
MID. ATLANTIC	-	-	41	2,945	1	6	-	1	-	-											
Upstate N.Y.	-	-	N	N	1	-	-	1	-	-											
N.Y. City	-	-	-	1,715	-	5	-	-	-	-											
N.J.	-	-	41	432	-	-	-	-	-	-											
Pa.	-	-	-	798	-	1	N	N	-	-											
E.N. CENTRAL	-	-	2,013	3,814	1	9	3	13	-	5											
Ohio	-	-	242	1,539	-	2	1	11	-	2											
Ind.	-	-	229	395	-	-	-	-	-	1											
Ill.	-	-	676	968	-	1	-	-	-	1											
Mich.	-	-	355	438	1	1	2	2	-	-											
Wis.	-	-	511	474	-	5	N	N	-	1											
W.N. CENTRAL	-	-	276	1,207	1	2	2	6	1	4											
Minn.	-	-	22	314	-	1	-	1	-	2											
Iowa	-	-	1	10	-	-	-	3	-	1											
Mo.	-	-	185	541	1	1	2	-	1	1											
N. Dak.	-	-	-	31	-	-	-	-	-	-											
S. Dak.	-	-	55	55	-	-	-	-	-	-											
Nebr.	-	-	13	78	-	-	-	2	-	-											
Kans.	-	-	-	178	-	-	-	-	-	-											
S. ATLANTIC	-	-	1,508	6,260	-	1	1	3	-	5											
Del.	-	-	138	83	-	-	-	-	-	-											
Md.	-	-	120	564	-	1	-	1	-	-											
D.C.	-	-	52	N	-	-	-	-	U	U											
Va.	-	-	176	525	-	-	-	-	-	2											
W. Va.	-	-	-	67	-	-	-	-	-	1											
N.C.	-	-	829	771	-	-	1	2	-	2											
S.C.	-	-	135	1,790	-	-	-	-	-	-											
Ga.	-	-	58	1,320	-	-	-	-	U	U											
Fla.	-	-	-	1,140	-	-	-	-	-	-											
E.S. CENTRAL	-	-	244	1,333	-	-	1	2	-	1											
Ky.	-	-	98	193	-	-	-	-	U	U											
Tenn.	-	-	-	411	-	-	-	1	-	1											
Ala.	-	-	146	496	-	-	-	1	-	-											
Miss.	-	-	-	233	-	-	1	-	-	-											
W.S. CENTRAL	-	-	859	3,107	-	-	-	-	1	2											
Ark.	-	-	-	149	-	-	-	-	-	1											
La.	-	-	-	691	-	-	-	-	1	1											
Okla.	-	-	257	327	-	-	-	-	-	-											
Tex.	-	-	602	1,940	-	-	-	-	-	-											
MOUNTAIN	-	-	518	1,372	3	2	3	3	-	4											
Mont.	-	-	-	-	-	-	2	-	-	-											
Idaho	-	-	-	61	-	1	-	-	-	-											
Wyo.	-	-	22	19	-	-	1	-	-	1											
Colo.	-	-	68	212	-	-	-	2	-	1											
N. Mex.	-	-	-	299	-	-	-	-	-	-											
Ariz.	-	-	284	572	1	1	-	-	-	-											
Utah	-	-	144	77	2	N	-	1	-	2											
Nev.	-	-	-	132	-	-	-	-	-	-											
PACIFIC	-	-	1,494	4,769	6	12	4	1	1	3											
Wash.	-	-	494	471	N	N	-	-	1	2											
Oreg.	-	-	-	135	-	1	-	1	-	1											
Calif.	-	-	952	3,966	6	11	4	-	-	-											
Alaska	-	-	48	69	-	-	-	-	-	-											
Hawaii	-	-	-	128	-	-	-	-	-	-											
Guam	-	-	-	25	-	-	N	N	U	U											
P.R.	-	-	51	U	-	-	-	-	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


