
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 24, 2005 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	28,179	661,587	670,626	3,253	4,232	4,366	2,618													
NEW ENGLAND	778	962	23,645	22,047	-	-	199	140													
Maine	11	20	1,588	1,482	N	N	15	17													
N.H.	20	36	1,364	1,250	-	-	22	25													
Vt.	4	14	691	833	-	-	28	21													
Mass.	368	336	10,558	9,725	-	-	73	52													
R.I.	68	98	2,416	2,506	-	-	7	4													
Conn.	307	458	7,028	6,251	N	N	54	21													
MID. ATLANTIC	4,352	6,423	83,531	82,269	-	-	1,947	377													
Upstate N.Y.	800	731	16,416	16,572	N	N	1,663	87													
N.Y. City	2,327	3,648	26,766	25,259	-	-	77	97													
N.J.	574	1,091	13,521	13,053	N	N	35	39													
Pa.	651	953	26,828	27,385	N	N	172	154													
E.N. CENTRAL	1,938	2,416	103,245	119,076	7	11	824	823													
Ohio	312	465	24,978	29,727	N	N	482	182													
Ind.	236	264	14,717	13,412	N	N	47	64													
Ill.	983	1,107	31,759	34,844	-	-	52	132													
Mich.	322	459	18,226	27,360	7	11	71	120													
Wis.	85	121	13,565	13,733	N	N	172	325													
W.N. CENTRAL	463	601	41,348	41,110	5	6	434	301													
Minn.	123	148	7,885	8,595	3	N	94	103													
Iowa	50	47	5,131	5,027	N	N	83	62													
Mo.	198	255	16,360	15,106	1	3	204	57													
N. Dak.	5	15	837	1,328	N	N	-	9													
S. Dak.	10	7	2,050	1,819	-	-	16	23													
Nebr.	18	35	4,019	3,742	1	3	6	24													
Kans.	59	94	5,066	5,493	N	N	31	23													
S. ATLANTIC	6,473	8,664	129,163	126,481	1	-	455	386													
Del.	100	116	2,423	2,092	N	N	-	-													
Md.	812	988	13,582	13,980	1	-	27	15													
D.C.	467	523	2,839	2,582	-	-	9	13													
Va.	307	503	15,380	16,244	-	-	39	42													
W. Va.	36	63	1,938	2,070	N	N	11	5													
N.C.	531	422	23,831	21,309	N	N	57	57													
S.C.	386	533	15,632	13,935	-	-	12	17													
Ga.	1,103	1,162	22,102	23,715	-	-	87	138													
Fla.	2,731	4,354	31,436	30,554	N	N	213	99													
E.S. CENTRAL	1,093	1,419	49,646	43,374	-	5	129	109													
Ky.	135	157	6,657	4,107	N	N	83	31													
Tenn.	434	584	17,600	16,395	N	N	28	31													
Ala.	295	348	10,516	9,974	-	-	16	21													
Miss.	229	330	14,873	12,898	-	5	2	26													
W.S. CENTRAL	2,206	3,424	78,562	82,622	1	3	61	81													
Ark.	72	136	6,306	5,857	-	1	4	13													
La.	436	639	12,572	16,585	1	2	3	3													
Okla.	167	130	8,100	8,177	N	N	34	17													
Tex.	1,531	2,519	51,584	52,003	N	N	20	48													
MOUNTAIN	789	1,007	38,839	40,662	2,261	2,641	99	138													
Mont.	4	4	1,468	1,801	N	N	16	34													
Idaho	9	16	1,826	2,066	N	N	9	19													
Wyo.	2	13	813	775	3	2	2	3													
Colo.	163	225	9,543	10,414	N	N	35	48													
N. Mex.	72	148	4,171	6,543	9	18	3	13													
Ariz.	329	357	13,156	11,759	2,213	2,560	10	15													
Utah	33	51	3,140	2,717	5	16	15	4													
Nev.	177	193	4,722	4,587	31	45	9	2													
PACIFIC	2,313	3,263	113,608	112,985	978	1,566	218	263													
Wash.	229	289	13,525	12,882	N	N	34	33													
Oreg.	136	216	5,913	5,960	-	-	56	28													
Calif.	1,874	2,659	88,570	87,333	978	1,566	126	200													
Alaska	14	32	2,891	2,788	-	-	1	-													
Hawaii	60	67	2,709	4,022	-	-	1	2													
Guam	1	1	-	799	-	-	-	-													
P.R.	537	396	2,639	2,569	N	N	N	N													
V.I.	10	10	119	269	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


