
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending November 26, 2005 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	10,195	11,967	240	292	22,918	25,757	1,146	1,139	1,427												
NEW ENGLAND	310	395	23	21	2,227	3,089	9	-	4												
Maine	14	18	1	-	213	226	-	-	-												
N.H.	6	16	-	-	1,382	-	-	-	-												
Vt.	5	3	-	-	90	413	-	-	-												
Mass.	204	225	13	15	542	743	4	-	2												
R.I.	29	48	1	1	-	-	1	-	-												
Conn.	52	85	8	5	U	1,707	4	-	2												
MID. ATLANTIC	1,808	1,867	46	71	4,228	86	26	17	17												
Upstate N.Y.	227	262	5	10	-	-	-	5	-												
N.Y. City	885	923	20	29	-	-	10	2	4												
N.J.	425	416	13	17	-	-	2	1	2												
Pa.	271	266	8	15	4,228	86	14	9	11												
E.N. CENTRAL	1,095	1,047	22	34	5,777	11,348	233	66	115												
Ohio	219	178	2	6	1,359	1,291	46	11	15												
Ind.	118	113	1	-	482	N	10	8	1												
Ill.	509	470	8	16	72	5,750	130	29	88												
Mich.	181	205	6	9	3,502	3,689	36	13	5												
Wis.	68	81	5	3	362	618	11	5	6												
W.N. CENTRAL	390	418	6	8	536	169	141	86	417												
Minn.	163	159	5	4	-	-	16	13	27												
Iowa	38	42	-	-	N	N	12	13	18												
Mo.	93	111	-	2	394	5	17	27	13												
N. Dak.	2	4	-	-	55	82	12	2	74												
S. Dak.	13	8	-	-	87	82	35	6	197												
Nebr.	29	34	-	2	-	-	36	7	80												
Kans.	52	60	1	-	-	-	13	18	8												
S. ATLANTIC	2,214	2,535	48	43	2,092	2,098	30	65	22												
Del.	19	17	1	-	28	5	1	-	-												
Md.	236	250	11	12	-	-	4	10	1												
D.C.	47	75	-	-	37	23	-	1	-												
Va.	264	248	17	9	558	481	-	4	-												
W. Va.	24	21	-	-	1,016	1,194	-	-	N												
N.C.	248	299	5	8	-	N	2	3	2												
S.C.	199	163	-	-	453	395	5	-	-												
Ga.	343	516	3	4	-	-	9	14	7												
Fla.	834	946	11	10	-	-	9	33	12												
E.S. CENTRAL	503	583	6	8	-	48	63	60	38												
Ky.	97	103	2	3	N	N	5	1	-												
Tenn.	233	197	1	5	-	-	13	13	3												
Ala.	173	179	1	-	-	48	6	15	4												
Miss.	-	104	2	-	-	-	39	31	31												
W.S. CENTRAL	1,310	1,734	16	26	5,753	6,656	231	234	115												
Ark.	94	106	-	-	19	-	11	17	15												
La.	-	-	1	-	111	54	100	82	38												
Okla.	126	149	1	1	-	-	13	16	11												
Tex.	1,090	1,479	14	25	5,623	6,602	107	119	51												
MOUNTAIN	335	461	9	7	2,305	2,263	134	322	205												
Mont.	8	4	-	-	-	-	8	2	17												
Idaho	-	3	-	-	-	-	2	1	7												
Wyo.	-	4	-	-	52	55	6	2	6												
Colo.	51	112	5	2	1,655	1,797	19	41	72												
N. Mex.	19	32	-	-	153	U	20	31	13												
Ariz.	200	187	2	2	-	-	44	214	44												
Utah	26	35	1	1	445	411	21	6	31												
Nev.	31	84	1	2	-	-	14	25	15												
PACIFIC	2,230	2,927	64	74	-	-	279	289	494												
Wash.	222	203	5	6	N	N	-	-	-												
Oreg.	54	92	3	1	-	-	1	-	6												
Calif.	1,812	2,498	44	61	-	-	278	289	488												
Alaska	38	33	-	-	-	-	-	-	-												
Hawaii	104	101	12	6	-	-	-	-	-												
Guam	-	49	-	-	-	209	-	-	-												
P.R.	-	98	-	-	565	368	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


