
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2009 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2009
Pertussis cummulative for 2008
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2009
Rabies, animal cummulative for 2008
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2009
Rocky Mountain Spotted Fever cummulative for 2008

tab delimited data:
test
UNITED STATES	68	181	605	870	976	23	103	169	251	483	4	40	146	61	30						
NEW ENGLAND	-	9	26	23	156	4	6	20	18	17	-	0	2	-	1						
Conn.	-	0	4	-	12	1	3	17	9	9	-	0	0	-	-						
Maine	-	1	7	15	7	1	1	5	4	2	N	0	0	N	N						
Mass.	-	6	17	-	126	N	0	0	N	N	-	0	0	-	1						
N.H.	-	1	4	5	4	-	0	3	-	3	-	0	1	-	-						
R.I.	-	0	8	1	5	N	0	0	N	N	-	0	2	-	-						
Vt.	-	0	2	2	2	2	1	6	5	3	-	0	0	-	-						
MID. ATLANTIC	9	18	51	78	106	3	33	67	48	102	-	1	24	-	3						
N.J.	-	1	6	-	9	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	2	7	40	14	23	3	9	20	28	28	-	0	23	-	-						
N.Y. City	-	0	4	-	17	-	0	2	-	4	-	0	2	-	1						
Pa.	7	9	35	64	57	-	21	52	20	70	-	0	2	-	-						
E.N. CENTRAL	11	35	169	242	336	-	3	29	3	1	-	1	15	-	1						
Ill.	-	9	44	45	19	-	1	21	1	1	-	1	11	-	1						
Ind.	-	1	96	12	2	-	0	2	-	-	-	0	3	-	-						
Mich.	3	6	20	67	21	-	1	9	2	-	-	0	1	-	-						
Ohio	8	10	57	116	282	-	1	7	-	-	-	0	4	-	-						
Wis.	-	2	7	2	12	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	9	21	126	209	91	2	3	13	3	10	-	4	32	2	1						
Iowa	-	3	21	2	14	-	0	5	-	1	-	0	2	-	-						
Kans.	2	1	13	8	3	-	0	0	-	-	-	0	0	-	-						
Minn.	-	2	99	-	-	2	0	10	2	4	-	0	0	-	-						
Mo.	4	6	50	168	64	-	1	8	-	-	-	4	31	2	1						
Nebr.	3	2	33	29	8	-	0	0	-	-	-	0	4	-	-						
N. Dak.	-	0	1	-	-	-	0	7	-	2	-	0	0	-	-						
S. Dak.	-	0	7	2	2	-	0	2	1	3	-	0	1	-	-						
S. ATLANTIC	11	18	44	122	71	12	34	88	147	326	4	15	71	55	19						
Del.	-	0	3	4	-	-	0	0	-	-	-	0	5	-	-						
D.C.	-	0	1	-	2	-	0	0	-	-	-	0	2	-	-						
Fla.	6	6	20	47	11	7	0	3	15	139	-	0	3	-	-						
Ga.	-	1	8	1	3	-	6	47	61	34	-	1	8	1	2						
Md.	-	2	8	8	14	-	7	17	6	47	-	1	7	4	4						
N.C.	2	0	16	37	27	5	9	16	23	42	4	5	55	47	11						
S.C.	1	2	11	13	3	-	0	0	-	-	-	1	9	1	-						
Va.	-	3	24	10	11	-	11	24	37	57	-	2	15	2	1						
W. Va.	2	0	2	2	-	-	1	9	5	7	-	0	1	-	1						
E.S. CENTRAL	7	8	29	69	36	1	3	7	9	10	-	3	23	2	2						
Ala.	-	1	5	3	10	-	0	0	-	-	-	1	8	1	1						
Ky.	5	3	12	47	5	1	0	4	9	3	-	0	1	-	-						
Miss.	2	2	5	11	16	-	0	1	-	1	-	0	3	-	-						
Tenn.	-	2	14	8	5	-	2	6	-	6	-	2	19	1	1						
W.S. CENTRAL	1	31	161	39	34	-	1	11	3	5	-	2	41	1	2						
Ark.	-	1	20	1	12	-	0	6	2	5	-	0	14	1	-						
La.	-	1	7	7	-	-	0	0	-	-	-	0	1	-	1						
Okla.	1	0	29	5	1	-	0	10	1	-	-	0	26	-	-						
Tex.	-	26	154	26	21	-	0	1	-	-	-	1	6	-	1						
MOUNTAIN	5	15	34	49	90	1	1	8	11	5	-	1	3	1	1						
Ariz.	2	3	10	8	20	N	0	0	N	N	-	0	2	-	-						
Colo.	2	3	13	25	33	-	0	0	-	-	-	0	1	-	-						
Idaho	1	1	5	6	1	-	0	0	-	-	-	0	1	-	-						
Mont.	-	0	11	3	9	-	0	2	2	-	-	0	1	-	-						
