
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 31, 2002 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	600	364	9	16	2	-	23,524	24,965													
NEW ENGLAND	-	3	-	-	-	-	1,362	1,693													
Maine	-	-	-	-	-	-	96	140													
N.H.	-	1	-	-	-	-	84	127													
Vt.	-	-	-	-	-	-	47	54													
Mass.	-	2	-	-	-	-	757	987													
R.I.	-	-	-	-	-	-	101	80													
Conn.	-	-	-	-	-	-	277	305													
MID. ATLANTIC	36	16	4	7	-	-	2,776	3,351													
Upstate N.Y.	8	-	2	1	-	-	920	772													
N.Y. City	8	1	-	5	-	-	839	843													
N.J.	9	5	2	1	-	-	346	850													
Pa.	11	10	-	-	-	-	671	886													
E.N. CENTRAL	14	15	-	2	-	-	3,479	3,489													
Ohio	10	1	-	-	-	-	903	932													
Ind.	2	1	-	-	-	-	308	358													
Ill.	-	12	-	2	-	-	1,104	1,015													
Mich.	2	1	-	-	-	-	616	606													
Wis.	-	-	-	-	-	-	548	578													
W.N. CENTRAL	79	54	-	3	-	-	1,655	1,472													
Minn.	-	-	-	-	-	-	395	422													
Iowa	2	2	-	1	-	-	275	213													
Mo.	72	50	-	1	-	-	576	385													
N. Dak.	-	-	-	-	-	-	25	43													
S. Dak.	-	2	-	-	-	-	70	110													
Nebr.	4	-	-	-	-	-	116	111													
Kans.	1	-	-	1	-	-	198	188													
S. ATLANTIC	308	170	-	3	-	-	6,307	5,572													
Del.	2	3	-	-	-	-	51	60													
Md.	41	32	-	-	-	-	628	542													
D.C.	-	-	-	-	-	-	50	57													
Va.	21	16	-	-	-	-	651	926													
W. Va.	1	-	-	-	-	-	88	80													
N.C.	176	90	-	-	-	-	844	759													
S.C.	42	17	-	2	-	-	394	554													
Ga.	18	8	-	-	-	-	1,126	1,049													
Fla.	7	4	-	1	-	-	2,475	1,545													
E.S. CENTRAL	61	74	-	-	1	-	1,650	1,560													
Ky.	3	2	-	-	-	-	216	241													
Tenn.	44	50	-	-	1	-	440	390													
Ala.	14	12	-	-	-	-	470	425													
Miss.	-	10	-	-	-	-	524	504													
W.S. CENTRAL	85	23	2	-	-	-	1,694	3,024													
Ark.	24	5	-	-	-	-	562	479													
La.	-	2	-	-	-	-	196	526													
Okla.	61	16	-	-	-	-	301	279													
Tex.	-	-	2	-	-	-	635	1,740													
MOUNTAIN	12	9	-	-	-	-	1,344	1,443													
Mont.	1	1	-	-	-	-	64	50													
Idaho	-	1	-	-	-	-	89	95													
Wyo.	3	2	-	-	-	-	40	48													
Colo.	2	1	-	-	-	-	312	402													
N. Mex.	1	1	-	-	-	-	190	175													
Ariz.	-	-	-	-	-	-	385	406													
Utah	-	3	-	-	-	-	130	145													
Nev.	5	-	-	-	-	-	134	122													
PACIFIC	5	-	3	1	1	-	3,257	3,361													
Wash.	-	-	-	-	-	-	311	336													
Oreg.	2	-	-	-	-	-	241	197													
Calif.	3	-	3	-	-	-	2,474	2,565													
Alaska	-	-	-	-	-	-	42	28													
Hawaii	-	-	-	1	1	-	189	235													
Guam	-	-	-	-	-	-	-	19													
P.R.	-	-	-	3	-	-	131	659													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


