
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 2001 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	-	-	10,022	20,940	18	29	14	40	2	44											
NEW ENGLAND	-	-	603	886	3	-	4	2	-	7											
Maine	-	-	-	42	1	-	-	-	-	-											
N.H.	-	-	18	37	-	-	-	-	-	3											
Vt.	-	-	16	23	2	-	-	-	-	-											
Mass.	-	-	437	400	-	-	4	1	-	1											
R.I.	-	-	132	92	-	-	-	-	-	-											
Conn.	-	-	-	292	-	-	-	1	-	3											
MID. ATLANTIC	-	-	56	1,872	-	3	4	-	-	6											
Upstate N.Y.	-	-	N	N	-	1	4	-	-	5											
N.Y. City	-	-	-	888	-	1	-	-	-	-											
N.J.	-	-	56	493	-	-	-	-	-	-											
Pa.	-	-	-	491	-	1	N	N	-	1											
E.N. CENTRAL	-	-	1,866	3,932	3	7	1	11	-	4											
Ohio	-	-	172	1,132	2	-	1	1	-	1											
Ind.	-	-	303	301	-	-	-	-	-	1											
Ill.	-	-	668	1,451	-	2	-	5	-	-											
Mich.	-	-	579	355	1	2	-	4	-	1											
Wis.	-	-	144	693	-	3	-	1	-	1											
W.N. CENTRAL	-	-	257	1,220	-	1	3	9	-	11											
Minn.	-	-	-	308	-	-	-	-	-	4											
Iowa	-	-	1	29	-	-	-	1	-	-											
Mo.	-	-	-	490	-	-	2	5	-	5											
N. Dak.	-	-	-	15	-	1	-	1	-	-											
S. Dak.	-	-	56	54	-	-	1	-	-	-											
Nebr.	-	-	18	135	-	-	-	-	-	1											
Kans.	-	-	182	189	-	-	-	2	-	1											
S. ATLANTIC	-	-	2,590	2,943	2	-	1	1	-	4											
Del.	-	-	115	138	-	-	-	-	-	-											
Md.	-	-	311	303	1	-	-	-	-	1											
D.C.	-	-	59	106	1	-	-	-	U	U											
Va.	-	-	-	376	-	-	-	-	-	1											
W. Va.	-	-	-	75	-	-	-	-	-	-											
N.C.	-	-	443	-	-	-	1	1	-	-											
S.C.	-	-	902	695	-	-	-	-	-	-											
Ga.	-	-	-	584	-	-	-	-	-	1											
Fla.	-	-	760	666	-	-	-	-	-	1											
E.S. CENTRAL	-	-	1,302	742	-	2	-	-	-	-											
Ky.	-	-	143	194	-	-	-	-	-	-											
Tenn.	-	-	411	401	-	-	-	-	-	-											
Ala.	-	-	402	146	-	2	-	-	-	-											
Miss.	-	-	346	1	-	-	-	-	-	-											
W.S. CENTRAL	-	-	1,540	3,332	1	3	-	4	1	5											
Ark.	-	-	-	137	-	-	-	2	-	1											
La.	-	-	655	634	-	-	-	-	1	1											
Okla.	-	-	319	255	1	-	-	-	-	1											
Tex.	-	-	566	2,306	-	3	-	2	-	2											
MOUNTAIN	-	-	387	1,351	1	5	-	6	1	3											
Mont.	-	-	-	33	-	-	-	2	-	-											
Idaho	-	-	59	83	-	-	-	-	-	-											
Wyo.	-	-	17	21	-	-	-	1	-	1											
Colo.	-	-	-	231	-	2	-	2	-	1											
N. Mex.	-	-	-	156	1	-	-	-	-	-											
Ariz.	-	-	311	540	-	1	-	-	1	1											
Utah	-	-	-	145	-	2	-	-	-	-											
Nev.	-	-	-	142	-	-	-	1	-	-											
PACIFIC	-	-	1,421	4,662	8	8	1	7	-	4											
Wash.	-	-	376	496	N	N	-	-	-	3											
Oreg.	-	-	-	145	1	-	1	-	-	-											
Calif.	-	-	960	3,818	7	8	-	5	-	-											
Alaska	-	-	43	65	-	-	-	-	-	-											
Hawaii	-	-	42	138	-	-	-	2	-	1											
Guam	-	-	-	-	-	-	N	N	U	U											
P.R.	-	-	126	U	-	-	-	-	U	U											
V.I.	-	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


