
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 14, 2003 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	560	774	80	44	59	8	6,346	7,896	137,938	158,034											
NEW ENGLAND	31	63	10	10	6	1	441	707	2,997	3,570											
Maine	4	3	1	-	-	-	54	71	87	46											
N.H.	6	5	-	-	-	-	15	22	49	59											
Vt.	-	2	-	-	-	-	38	50	37	49											
Mass.	10	32	2	7	6	1	200	373	1,205	1,559											
R.I.	1	5	-	-	-	-	51	52	424	429											
Conn.	10	16	7	3	-	-	83	139	1,195	1,428											
MID. ATLANTIC	60	90	3	-	18	2	1,284	1,728	15,970	18,710											
Upstate N.Y.	25	36	1	-	10	-	371	469	3,322	3,722											
N.Y. City	3	6	-	-	-	-	468	660	5,449	5,677											
N.J.	5	16	-	-	-	-	112	202	3,552	3,499											
Pa.	27	32	2	-	8	2	333	397	3,647	5,812											
E.N. CENTRAL	123	196	9	10	8	1	1,044	1,324	28,707	33,277											
Ohio	35	31	9	4	8	1	360	355	9,247	9,751											
Ind.	17	17	-	-	-	-	-	-	2,860	3,288											
Ill.	18	67	-	4	-	-	234	397	8,267	11,065											
Mich.	27	31	-	2	-	-	287	359	5,876	6,498											
Wis.	26	50	-	-	-	-	163	213	2,457	2,675											
W.N. CENTRAL	80	92	8	5	9	-	654	744	7,261	7,962											
Minn.	29	27	7	4	-	-	257	260	1,099	1,382											
Iowa	11	19	-	-	-	-	97	102	532	551											
Mo.	23	17	N	N	1	-	158	202	3,716	3,879											
N. Dak.	2	3	-	-	2	-	13	11	23	33											
S. Dak.	4	7	-	-	-	-	22	28	87	111											
Nebr.	6	12	1	1	-	-	53	65	631	702											
Kans.	5	7	-	-	6	-	54	76	1,173	1,304											
S. ATLANTIC	51	67	25	10	-	-	1,055	1,163	35,144	40,505											
Del.	-	3	N	N	N	N	15	22	538	760											
Md.	-	5	-	-	-	-	51	43	3,494	3,960											
D.C.	1	-	-	-	-	-	17	19	968	1,229											
Va.	18	18	2	-	-	-	132	91	3,908	4,712											
W. Va.	1	2	-	-	-	-	14	16	385	451											
N.C.	5	9	6	-	-	-	N	N	6,789	7,596											
S.C.	-	-	-	-	-	-	49	30	3,645	4,077											
Ga.	10	19	2	5	-	-	390	359	7,398	7,724											
Fla.	16	11	14	5	-	-	387	583	8,019	9,996											
E.S. CENTRAL	27	35	-	-	4	-	146	142	11,705	13,691											
Ky.	9	9	-	-	4	-	N	N	1,593	1,572											
Tenn.	10	19	-	-	-	-	61	65	3,478	4,234											
Ala.	6	3	-	-	-	-	85	77	3,788	4,816											
Miss.	2	4	-	-	-	-	-	-	2,846	3,069											
W.S. CENTRAL	52	33	13	-	10	2	110	60	19,372	22,052											
Ark.	3	2	-	-	-	-	61	56	1,750	2,069											
La.	-	1	-	-	-	-	3	-	4,948	5,303											
Okla.	4	5	-	-	-	-	46	3	1,918	2,080											
Tex.	45	25	13	-	10	2	-	1	10,756	12,600											
MOUNTAIN	60	60	10	7	4	2	541	576	4,403	4,962											
Mont.	2	8	-	-	-	-	28	32	55	40											
Idaho	17	6	5	2	-	-	71	31	37	37											
Wyo.	2	2	-	1	-	-	7	10	24	27											
Colo.	17	15	1	3	4	2	153	193	1,024	1,584											
N. Mex.	1	4	3	1	-	-	19	71	521	682											
Ariz.	11	8	N	N	N	N	93	78	1,784	1,612											
Utah	9	9	1	-	-	-	121	102	190	93											
Nev.	1	8	-	-	-	-	49	59	768	887											
PACIFIC	76	138	2	2	-	-	1,071	1,452	12,379	13,305											
Wash.	19	15	1	-	-	-	85	173	1,300	1,336											
Oreg.	15	33	1	2	-	-	141	166	439	374											
Calif.	41	68	-	-	-	-	792	1,029	10,259	11,057											
Alaska	1	4	-	-	-	-	36	38	245	273											
Hawaii	-	18	-	-	-	-	17	46	136	265											
Guam	N	N	-	-	-	-	-	3	-	31											
P.R.	-	1	-	-	-	-	10	8	70	215											
V.I.	-	-	-	-	-	-	-	-	-	21											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


