
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 13, 1996 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	-	18	4	12	23	7	17	74	-	-	2										
NEW ENGLAND	-	2	-	-	-	1	1	6	-	-	-										
Maine	-	-	-	-	-	-	-	4	-	-	-										
N.H.	-	-	-	-	-	-	-	-	-	-	-										
Vt.	-	-	-	-	-	1	1	1	-	-	-										
Mass.	-	-	-	-	-	-	-	1	-	-	-										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	-	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	-	-	-	-	-	-	-	1	-	-	-										
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-	-										
N.Y. City	-	-	-	-	-	-	-	-	-	-	-										
N.J.	-	-	-	-	-	-	-	1	-	-	-										
Pa.	-	-	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	-	-	3	4	6	-	1	6	-	-	-										
Ohio	-	-	-	-	2	-	-	5	-	-	-										
Ind.	-	-	-	-	-	-	-	-	-	-	-										
Ill.	-	-	-	-	-	-	-	-	-	-	-										
Mich.	-	-	3	4	4	-	1	-	-	-	-										
Wis.	-	-	-	-	-	-	-	1	-	-	-										
W.N. CENTRAL	-	-	-	-	7	-	-	4	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	-	-	-	1	-	-	-	-	-	-										
Mo.	-	-	-	-	6	-	-	1	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	-	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	-	-	-	-										
Kans.	-	-	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	-	-	-	1	-	1	1	21	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	-	-	-	-	-	-	-	-	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	-	-	-	-	-	-	-	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	-	-	-	-	-	-	-	21	-	-	-										
S.C.	-	-	-	1	-	1	1	-	-	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	-	-	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	-	-	1	1	2	-	-	1	-	-	-										
Ky.	-	-	-	-	-	-	-	-	-	-	-										
Tenn.	-	-	-	-	-	-	-	-	-	-	-										
Ala.	-	-	1	1	1	-	-	1	-	-	-										
Miss.	-	-	-	-	1	-	-	-	N	N	N										
W.S. CENTRAL	-	-	-	-	-	-	-	-	-	-	-										
Ark.	-	-	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	-	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	-	-	-	-	-	-	-										
MOUNTAIN	-	16	-	6	1	1	5	27	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	-	-	U	-	-	U	-	8	U	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	-	14	-	-	-	-	-	8	-	-	-										
N. Mex.	-	2	N	N	N	1	2	-	-	-	-										
Ariz.	-	-	U	-	-	U	-	11	U	-	-										
Utah	-	-	-	-	-	-	-	-	-	-	-										
Nev.	-	-	-	6	1	-	3	-	-	-	-										
PACIFIC	-	-	-	-	7	4	9	8	-	-	2										
Wash.	-	-	-	-	-	-	-	-	-	-	-										
Oreg.	-	-	N	N	N	4	9	-	-	-	-										
Calif.	-	-	-	-	7	-	-	8	-	-	2										
Alaska	-	-	-	-	-	-	-	-	-	-	-										
Hawaii	-	-	-	-	-	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


