
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2007 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	972	804	1,435	10,114	12,449	-	1	178	-	3	-	1	399	-	1						
NEW ENGLAND	8	24	72	131	442	-	0	3	-	-	-	0	2	-	-						
Conn.	-	0	0	-	-	-	0	3	-	-	-	0	1	-	-						
Maine	-	2	17	-	88	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	1	-	92	-	0	1	-	-	-	0	1	-	-						
N.H.	4	5	47	46	92	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	4	11	66	85	170	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	91	104	192	1,386	1,583	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	91	104	192	1,386	1,583	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	199	237	587	3,146	5,007	-	0	43	-	-	-	0	33	-	-						
Ill.	-	0	7	2	23	-	0	23	-	-	-	0	23	-	-						
Ind.	-	0	0	-	-	-	0	7	-	-	-	0	12	-	-						
Mich.	62	97	258	1,252	1,464	-	0	11	-	-	-	0	2	-	-						
Ohio	137	128	449	1,666	3,091	-	0	11	-	-	-	0	3	-	-						
Wis.	-	13	64	226	429	-	0	2	-	-	-	0	2	-	-						
W.N. CENTRAL	95	29	131	573	638	-	0	36	-	-	-	0	79	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	4	-	-						
Kans.	-	7	52	258	103	-	0	3	-	-	-	0	3	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	35	16	82	211	506	-	0	14	-	-	-	0	2	-	-						
Nebr.	N	0	0	N	N	-	0	9	-	-	-	0	38	-	-						
N. Dak.	60	0	49	84	13	-	0	5	-	-	-	0	28	-	-						
S. Dak.	-	1	15	20	16	-	0	7	-	-	-	0	22	-	-						
S. ATLANTIC	152	96	176	1,274	1,261	-	0	2	-	-	-	0	7	-	-						
Del.	-	1	6	8	27	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	5	-	6	-	0	0	-	-	-	0	1	-	-						
Fla.	30	0	42	338	N	-	0	1	-	-	-	0	0	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	4	-	-						
Md.	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
N.C.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
S.C.	24	21	72	369	324	-	0	1	-	-	-	0	0	-	-						
Va.	60	29	142	191	396	-	0	0	-	-	-	0	2	-	-						
W. Va.	38	25	57	368	508	-	0	1	-	-	-	0	0	-	-						
E.S. CENTRAL	6	4	43	90	-	-	0	15	-	3	-	0	16	-	-						
Ala.	6	4	43	88	-	-	0	2	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
Miss.	-	0	2	2	-	-	0	10	-	3	-	0	16	-	-						
Tenn.	N	0	0	N	N	-	0	4	-	-	-	0	2	-	-						
W.S. CENTRAL	349	198	966	2,720	2,516	-	0	58	-	-	-	0	26	-	1						
Ark.	28	11	92	150	214	-	0	4	-	-	-	0	2	-	-						
La.	-	2	11	35	11	-	0	13	-	-	-	0	9	-	1						
Okla.	-	0	0	-	-	-	0	6	-	-	-	0	4	-	-						
Tex.	321	172	873	2,535	2,291	-	0	38	-	-	-	0	16	-	-						
MOUNTAIN	72	57	102	775	1,002	-	0	61	-	-	-	1	228	-	-						
Ariz.	-	0	0	-	-	-	0	9	-	-	-	0	15	-	-						
Colo.	49	23	51	316	562	-	0	10	-	-	-	0	51	-	-						
Idaho	N	0	0	N	N	-	0	30	-	-	-	0	157	-	-						
Mont.	-	0	26	87	N	-	0	3	-	-	-	0	8	-	-						
Nev.	-	0	3	-	1	-	0	9	-	-	-	0	16	-	-						
N. Mex.	-	4	21	70	186	-	0	1	-	-	-	0	1	-	-						
Utah	23	19	65	302	245	-	0	8	-	-	-	0	17	-	-						
Wyo.	-	0	11	-	8	-	0	7	-	-	-	0	10	-	-						
PACIFIC	-	0	9	19	-	-	0	15	-	-	-	0	51	-	-						
Alaska	-	0	9	19	N	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	0	-	N	-	0	15	-	-	-	0	37	-	-						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	2	-	-	-	0	14	-	-						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	2	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	19	12	30	127	98	-	0	0	-	-	-	0	0	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


