
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	9	14	-	3	1	-	128	188	2,692	4,358											
NEW ENGLAND	-	1	-	-	-	-	11	12	19	211											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	4											
Vt.	-	-	-	-	-	-	1	1	-	-											
Mass.	-	1	-	-	-	-	10	11	-	47											
R.I.	-	-	-	-	-	-	-	-	19	18											
Conn.	-	-	-	-	-	-	-	-	-	142											
MID. ATLANTIC	1	4	-	-	-	-	19	41	418	540											
Upstate N.Y.	-	-	-	-	-	-	4	1	40	14											
N.Y. City	-	-	-	-	-	-	-	17	192	166											
N.J.	-	2	-	-	-	-	6	11	90	168											
Pa.	1	2	-	-	-	-	9	12	96	192											
E.N. CENTRAL	3	8	-	-	1	-	27	39	343	1,363											
Ohio	2	1	-	-	1	-	21	19	5	430											
Ind.	-	-	-	-	-	-	-	-	75	127											
Ill.	-	-	-	-	-	-	-	10	110	571											
Mich.	1	2	-	-	-	-	6	4	138	144											
Wis.	-	5	-	-	-	-	-	6	15	91											
W.N. CENTRAL	-	1	-	-	-	-	6	18	101	279											
Minn.	-	-	-	-	-	-	2	-	-	58											
Iowa	-	-	-	-	-	-	4	9	-	7											
Mo.	-	1	-	-	-	-	-	7	96	148											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	5	-											
Nebr.	-	-	-	-	-	-	-	-	-	8											
Kans.	-	-	-	-	-	-	-	2	-	58											
S. ATLANTIC	1	-	-	2	-	-	45	33	810	700											
Del.	-	-	N	N	N	N	-	2	19	20											
Md.	-	-	-	-	-	-	1	4	143	97											
D.C.	-	-	-	-	-	-	-	-	-	55											
Va.	-	-	-	-	-	-	-	-	222	74											
W. Va.	-	-	-	-	-	-	-	-	19	10											
N.C.	-	-	-	2	-	-	N	N	284	129											
S.C.	-	-	-	-	-	-	-	-	-	42											
Ga.	-	-	-	-	-	-	24	19	10	73											
Fla.	1	-	-	-	-	-	20	8	113	200											
E.S. CENTRAL	-	-	-	-	-	-	2	4	416	357											
Ky.	-	-	-	-	-	-	N	N	-	61											
Tenn.	-	-	-	-	-	-	2	2	203	61											
Ala.	-	-	-	-	-	-	-	2	117	91											
Miss.	-	-	-	-	-	-	-	-	96	144											
W.S. CENTRAL	-	-	-	1	-	-	-	-	319	438											
Ark.	-	-	-	-	-	-	-	-	46	35											
La.	-	-	-	-	-	-	-	-	-	11											
Okla.	-	-	-	-	-	-	-	-	105	15											
Tex.	-	-	-	1	-	-	-	-	168	377											
MOUNTAIN	-	-	-	-	-	-	1	8	99	194											
Mont.	-	-	-	-	-	-	-	-	-	3											
Idaho	-	-	-	-	-	-	-	-	1	4											
Wyo.	-	-	-	-	-	-	-	2	-	-											
Colo.	-	-	-	-	-	-	-	5	-	60											
N. Mex.	-	-	-	-	-	-	-	-	4	28											
Ariz.	-	-	N	N	N	N	-	-	94	76											
Utah	-	-	-	-	-	-	1	-	-	2											
Nev.	-	-	-	-	-	-	-	1	-	21											
PACIFIC	4	-	-	-	-	-	17	33	167	276											
Wash.	-	-	-	-	-	-	-	-	37	21											
Oreg.	1	-	-	-	-	-	2	1	-	19											
Calif.	3	-	-	-	-	-	15	29	129	224											
Alaska	-	-	-	-	-	-	-	2	-	-											
Hawaii	-	-	-	-	-	-	-	1	1	12											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	1	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


