
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 25, 2006 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	51	102	160	663	1,225	-	34	99	262	125	306	869	1,899	5,305	5,513						
NEW ENGLAND	21	12	33	102	156	-	0	1	-	1	6	40	77	260	292						
Conn.	3	3	13	23	21	-	0	0	-	-	-	8	59	59	65						
Maine	2	1	4	13	11	N	0	0	N	N	-	3	8	11	18						
Mass.	13	4	22	49	106	-	0	1	-	-	6	20	41	163	167						
N.H.	2	0	3	4	2	-	0	1	-	-	-	2	12	16	16						
R.I.	-	0	4	1	2	-	0	0	-	1	-	0	15	9	11						
Vt.	1	1	7	12	14	-	0	0	-	-	-	1	10	2	15						
MID. ATLANTIC	-	18	40	124	150	-	1	7	3	7	40	93	237	483	662						
N.J.	N	0	0	N	N	-	0	2	-	-	-	17	41	42	126						
N.Y. (Upstate)	-	12	24	70	65	-	0	2	-	-	26	22	198	136	149						
N.Y. City	-	0	3	-	7	-	0	2	1	1	2	24	43	85	189						
Pa.	-	7	22	54	78	-	1	6	2	6	12	31	61	220	198						
E.N. CENTRAL	-	2	19	4	10	-	0	6	1	2	18	96	223	647	703						
Ill.	-	1	4	-	3	-	0	3	-	1	-	30	140	107	213						
Ind.	-	0	3	-	1	-	0	1	-	-	1	10	71	75	41						
Mich.	-	0	4	2	2	-	0	1	-	-	2	17	35	132	150						
Ohio	-	0	12	2	4	-	0	3	1	1	15	24	52	233	156						
Wis.	N	0	3	N	N	-	0	1	-	-	-	15	45	100	143						
W.N. CENTRAL	1	7	23	32	58	-	2	16	4	4	20	42	92	360	367						
Iowa	-	1	10	9	11	-	0	2	-	-	-	7	18	47	72						
Kans.	-	1	5	9	18	-	0	2	-	-	2	7	17	60	37						
Minn.	-	1	5	2	12	-	0	1	-	-	11	10	31	90	94						
Mo.	1	1	7	3	5	-	1	14	4	4	7	14	40	112	95						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	10	28	35						
N. Dak.	-	0	4	2	1	-	0	0	-	-	-	0	5	1	6						
S. Dak.	-	1	6	7	11	-	0	2	-	-	-	2	11	22	28						
S. ATLANTIC	21	32	54	315	554	-	17	95	247	89	91	257	507	1,522	1,442						
Del.	-	0	0	-	-	-	0	2	2	-	-	2	9	12	11						
D.C.	-	0	0	-	-	-	0	1	-	-	2	1	7	15	10						
Fla.	-	0	14	40	201	-	0	3	6	4	49	99	230	646	567						
Ga.	-	4	15	16	65	-	1	9	15	3	3	33	74	242	190						
Md.	6	6	16	50	70	-	2	7	13	5	6	14	39	106	110						
N.C.	15	8	19	70	92	-	5	87	206	70	30	32	114	318	275						
S.C.	-	0	0	-	5	-	1	6	3	6	-	21	146	59	116						
Va.	-	10	26	123	116	-	2	10	2	-	-	20	66	114	145						
W. Va.	-	0	13	16	5	-	0	2	-	1	1	2	13	10	18						
E.S. CENTRAL	-	3	9	36	24	-	5	24	4	4	4	56	134	284	315						
Ala.	-	1	5	13	17	-	0	9	1	1	3	13	39	113	94						
Ky.	-	0	3	4	-	-	0	1	-	-	-	7	26	48	34						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	39	44						
Tenn.	-	1	4	19	7	-	3	18	3	3	1	14	40	84	143						
W.S. CENTRAL	1	13	42	12	209	-	2	34	3	1	34	85	728	575	391						
Ark.	-	0	3	1	10	-	0	32	3	-	30	15	67	213	49						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	54	93						
