
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 4, 2004 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	36,750	39,919	11,028	21,466	4,117	5,202	1,884	1,816	646	665											
NEW ENGLAND	1,874	1,978	267	318	163	430	61	95	62	9											
Maine	85	127	5	6	8	27	2	-	3	-											
N.H.	130	131	9	8	19	29	-	-	N	N											
Vt.	57	68	3	7	8	19	9	6	3	5											
Mass.	1,052	1,161	166	213	107	190	31	N	47	N											
R.I.	128	122	19	19	21	15	19	10	9	4											
Conn.	422	369	65	65	-	150	-	79	U	U											
MID. ATLANTIC	5,127	4,605	1,073	2,220	665	879	129	124	110	95											
Upstate N.Y.	1,184	1,074	399	523	220	332	54	67	78	68											
N.Y. City	1,112	1,255	354	394	97	137	U	U	U	U											
N.J.	914	813	221	337	146	162	-	-	7	4											
Pa.	1,917	1,463	99	966	202	248	75	57	25	23											
E.N. CENTRAL	4,428	5,245	1,009	1,738	782	1,202	447	395	160	292											
Ohio	1,150	1,257	161	281	212	277	313	253	74	90											
Ind.	532	521	189	171	93	112	134	142	39	28											
Ill.	1,242	1,841	304	931	162	314	-	-	8	121											
Mich.	760	737	198	229	266	340	N	N	N	N											
Wis.	744	889	157	126	49	159	N	N	39	53											
W.N. CENTRAL	2,266	2,318	415	741	283	316	19	18	99	70											
Minn.	596	526	63	96	138	153	-	-	65	49											
Iowa	408	365	63	81	N	N	N	N	N	N											
Mo.	575	842	162	342	58	72	14	14	14	3											
N. Dak.	41	36	3	9	12	16	-	3	4	7											
S. Dak.	122	116	13	16	20	22	5	1	-	-											
Nebr.	175	159	37	86	14	25	-	-	7	5											
Kans.	349	274	74	111	41	28	N	N	9	6											
S. ATLANTIC	10,208	10,186	2,443	6,294	789	847	904	970	54	18											
Del.	81	96	6	161	3	6	4	1	N	N											
Md.	771	791	141	546	165	208	-	25	40	-											
D.C.	60	47	37	73	10	9	6	-	3	7											
Va.	1,128	997	156	407	68	94	N	N	N	N											
W. Va.	219	119	9	-	23	33	99	67	11	11											
N.C.	1,565	1,263	341	927	118	100	N	N	U	U											
S.C.	774	760	278	477	37	38	71	132	N	N											
Ga.	1,753	1,919	593	1,112	157	167	207	218	N	N											
Fla.	3,857	4,194	882	2,591	208	192	517	527	N	N											
E.S. CENTRAL	2,361	2,748	738	957	189	187	123	130	5	-											
Ky.	327	369	73	124	57	44	29	17	N	N											
Tenn.	523	706	327	346	132	143	93	113	N	N											
Ala.	684	715	291	318	-	-	-	-	N	N											
Miss.	827	958	47	169	-	-	1	-	5	-											
W.S. CENTRAL	3,184	5,730	2,503	5,517	236	261	62	72	115	116											
Ark.	542	764	74	100	16	6	10	20	8	7											
La.	753	825	261	433	2	2	52	52	26	25											
Okla.	377	441	442	797	60	82	N	N	43	55											
Tex.	1,512	3,700	1,726	4,187	158	171	N	N	38	29											
MOUNTAIN	2,253	2,099	788	1,179	490	488	38	8	39	65											
Mont.	181	108	4	2	-	1	-	-	-	-											
Idaho	145	169	13	32	9	19	N	N	N	N											
Wyo.	49	73	5	8	10	2	11	7	-	-											
Colo.	505	461	146	309	126	127	-	-	36	49											
N. Mex.	255	274	118	248	81	111	5	-	-	11											
Ariz.	716	642	396	471	218	193	N	N	N	N											
Utah	234	205	48	47	42	33	20	1	3	5											
Nev.	168	167	58	62	4	2	2	-	-	-											
PACIFIC	5,049	5,010	1,792	2,502	520	592	101	4	2	-											
Wash.	546	540	105	160	53	74	-	-	N	N											
Oreg.	384	409	75	207	N	N	N	N	N	N											
Calif.	3,724	3,758	1,562	2,080	344	388	N	N	N	N											
Alaska	56	93	6	11	-	-	-	-	N	N											
Hawaii	339	210	44	44	123	130	101	4	2	-											
Guam	-	43	-	34	-	-	-	-	-	-											
P.R.	290	678	8	27	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


