
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 1999 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	793	761	9,701	14,738	4,174	6,375	-	37	1	18	55	50									
NEW ENGLAND	59	49	142	197	67	131	-	6	-	4	10	3									
Maine	5	2	5	15	1	2	U	-	U	-	-	-									
N.H.	14	8	10	9	10	11	-	-	-	1	1	-									
Vt.	5	5	6	13	2	4	-	-	-	-	-	1									
Mass.	22	31	54	80	31	50	-	5	-	2	7	2									
R.I.	1	2	13	11	23	43	-	-	-	-	-	-									
Conn.	12	1	54	69	-	21	U	1	U	1	2	-									
MID. ATLANTIC	125	119	634	1,143	471	846	-	-	-	2	2	13									
Upstate N.Y.	61	39	166	232	130	163	U	-	U	2	2	2									
N.Y. City	28	35	162	396	139	292	-	-	-	-	-	-									
N.J.	35	38	57	229	40	152	U	-	U	-	-	8									
Pa.	1	7	249	286	162	239	U	-	U	-	-	3									
E.N. CENTRAL	126	131	1,860	2,256	415	939	-	1	-	1	2	15									
Ohio	46	42	453	228	66	53	-	-	-	-	-	1									
Ind.	20	31	74	105	32	76	U	1	U	-	1	3									
Ill.	51	48	340	528	-	162	-	-	-	-	-	-									
Mich.	9	5	967	1,246	316	285	-	-	-	1	1	10									
Wis.	-	5	26	149	1	363	U	-	U	-	-	1									
W.N. CENTRAL	59	69	502	1,063	217	268	-	-	-	-	-	-									
Minn.	24	54	45	90	30	30	-	-	-	-	-	-									
Iowa	6	2	92	368	27	45	-	-	-	-	-	-									
Mo.	21	8	282	483	123	158	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	8	21	1	1	-	-	-	-	-	-									
Nebr.	3	-	40	20	11	11	-	-	-	-	-	-									
Kans.	4	5	34	78	25	19	-	-	-	-	-	-									
S. ATLANTIC	187	139	1,292	1,226	798	667	-	1	1	4	5	8									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	48	43	243	267	118	97	-	-	-	-	-	1									
D.C.	4	-	37	42	14	9	U	-	U	-	-	-									
Va.	14	13	103	153	63	72	-	1	-	2	3	2									
W. Va.	6	5	26	3	17	5	-	-	-	-	-	-									
N.C.	28	22	103	74	147	149	-	-	-	-	-	-									
S.C.	3	3	28	22	53	25	U	-	U	-	-	-									
Ga.	49	30	314	356	105	122	U	-	U	-	-	2									
Fla.	35	23	436	306	281	188	-	-	1	2	2	2									
E.S. CENTRAL	51	42	280	274	312	333	-	-	-	-	-	2									
Ky.	5	7	50	22	29	33	-	-	-	-	-	-									
Tenn.	29	23	142	157	169	186	-	-	-	-	-	1									
Ala.	15	10	39	50	56	47	-	-	-	-	-	1									
Miss.	2	2	49	45	58	67	-	-	-	-	-	-									
W.S. CENTRAL	41	39	1,648	2,606	491	1,416	-	5	-	3	8	-									
Ark.	2	-	37	65	33	66	-	-	-	-	-	-									
La.	7	17	59	45	72	65	U	-	U	-	-	-									
Okla.	28	20	336	385	94	59	-	-	-	-	-	-									
Tex.	4	2	1,216	2,111	292	1,226	-	5	-	3	8	-									
MOUNTAIN	69	85	905	2,222	416	565	-	2	-	-	2	-									
Mont.	1	-	16	72	16	5	-	-	-	-	-	-									
Idaho	1	-	31	186	20	23	-	-	-	-	-	-									
Wyo.	1	1	4	27	9	3	U	-	U	-	-	-									
Colo.	10	17	156	186	62	69	-	-	-	-	-	-									
N. Mex.	18	4	33	108	136	221	-	-	-	-	-	-									
Ariz.	30	42	544	1,354	112	133	-	1	-	-	1	-									
Utah	6	3	35	138	24	51	-	1	-	-	1	-									
Nev.	2	18	86	151	37	60	-	-	-	-	-	-									
PACIFIC	76	88	2,438	3,751	987	1,210	-	22	-	4	26	9									
Wash.	3	6	217	742	44	65	-	-	-	-	-	1									
Oreg.	30	36	174	290	58	127	-	9	-	-	9	-									
Calif.	35	38	2,032	2,666	863	999	-	12	-	4	16	7									
Alaska	5	1	5	15	12	10	-	-	-	-	-	1									
Hawaii	3	7	10	38	10	9	-	1	-	-	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	107	46	100	173	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	3	-	45	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


