
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 1999 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 1999
Shigellosis NETSS cummulative for 1998
Shigellosis PHLIS cummulative for 1999
Shigellosis PHLIS cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998

tab delimited data:
test
UNITED STATES	6,050	9,011	2,525	5,421	3,223	3,577	4,220	5,032													
NEW ENGLAND	152	218	130	194	30	38	204	226													
Maine	3	7	-	-	-	1	11	5													
N.H.	7	7	6	11	-	1	4	6													
Vt.	4	4	3	-	2	3	-	1													
Mass.	95	136	82	129	19	23	118	118													
R.I.	14	18	9	12	1	-	20	30													
Conn.	29	46	30	42	8	10	51	66													
MID. ATLANTIC	395	1,326	190	1,114	128	120	1,074	1,160													
Upstate N.Y.	122	254	32	83	17	18	142	152													
N.Y. City	98	425	81	455	58	29	679	693													
N.J.	103	412	77	394	16	55	253	315													
Pa.	72	235	-	182	37	18	U	U													
E.N. CENTRAL	912	1,328	433	671	619	535	461	609													
Ohio	261	293	47	66	52	78	U	U													
Ind.	54	88	16	26	178	93	U	U													
Ill.	386	702	269	555	276	220	276	385													
Mich.	163	126	80	4	113	104	146	170													
Wis.	48	119	21	20	U	40	39	54													
W.N. CENTRAL	526	484	335	199	52	80	251	201													
Minn.	84	81	90	86	5	5	95	69													
Iowa	7	36	9	27	5	-	26	2													
Mo.	373	59	215	39	34	62	94	84													
N. Dak.	2	4	-	3	-	-	2	3													
S. Dak.	8	22	4	18	-	1	3	14													
Nebr.	30	265	-	15	4	4	12	5													
Kans.	22	17	17	11	4	8	19	24													
S. ATLANTIC	1,143	1,811	256	559	1,063	1,390	848	867													
Del.	7	9	2	2	4	15	12	17													
Md.	61	100	17	31	218	383	U	U													
D.C.	30	11	-	-	46	77	24	61													
Va.	42	72	12	32	89	89	121	144													
W. Va.	5	7	2	5	2	2	23	24													
N.C.	115	162	54	84	250	386	209	216													
S.C.	63	80	29	31	125	162	124	168													
Ga.	108	489	36	138	173	147	335	237													
Fla.	712	881	104	236	156	129	U	U													
E.S. CENTRAL	641	437	323	261	583	617	289	417													
Ky.	113	77	-	36	46	62	82	97													
Tenn.	423	73	303	101	331	298	U	U													
Ala.	59	255	19	122	130	142	151	201													
Miss.	46	32	1	2	76	115	56	119													
W.S. CENTRAL	889	1,765	569	1,950	492	470	760	1,103													
Ark.	51	102	21	20	38	63	82	54													
La.	76	138	53	169	121	162	U	U													
Okla.	267	123	82	30	111	26	69	87													
Tex.	495	1,402	413	1,731	222	219	609	962													
MOUNTAIN	368	562	182	331	112	128	78	144													
Mont.	6	3	-	3	-	-	5	12													
Idaho	6	11	3	8	1	-	-	7													
Wyo.	2	1	1	-	-	1	1	2													
Colo.	53	71	42	55	1	8	U	U													
N. Mex.	46	142	17	61	-	18	27	31													
Ariz.	204	297	113	184	102	88	U	U													
Utah	28	17	-	13	2	3	26	33													
Nev.	23	20	6	7	6	10	19	59													
PACIFIC	1,024	1,080	107	142	144	199	255	305													
Wash.	53	59	51	57	39	12	83	129													
Oreg.	36	66	37	61	2	1	57	60													
Calif.	912	931	-	-	100	185	U	U													
Alaska	-	4	-	2	1	-	30	26													
Hawaii	23	20	19	22	2	1	85	90													
Guam	3	21	-	-	-	1	-	43													
P.R.	26	30	-	-	84	115	41	80													
V.I.	-	-	-	-	U	U	U	U													
Amer. Samoa	-	-	-	-	U	U	U	U													
C.N.M.I.	-	13	-	-	-	137	-	60													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


