
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 2003 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	666	827	5	14	101	144	15	9	2,322	4,175											
NEW ENGLAND	53	58	-	-	6	7	3	1	92	159											
Maine	2	1	-	-	-	-	1	-	4	6											
N.H.	7	4	-	-	-	-	-	-	6	9											
Vt.	6	3	-	-	-	-	-	-	4	-											
Mass.	24	26	-	-	6	3	1	1	50	74											
R.I.	3	9	-	-	-	-	1	-	10	20											
Conn.	11	15	-	-	-	4	-	-	18	50											
MID. ATLANTIC	115	155	-	1	14	25	4	-	404	530											
Upstate N.Y.	45	58	-	1	7	8	-	-	44	82											
N.Y. City	19	34	-	-	5	7	-	-	134	187											
N.J.	25	37	-	-	2	5	-	-	64	83											
Pa.	26	26	-	-	-	5	4	-	162	178											
E.N. CENTRAL	88	171	1	2	15	29	-	-	234	482											
Ohio	36	45	-	-	7	5	-	-	42	129											
Ind.	21	23	-	1	2	5	-	-	19	24											
Ill.	20	66	-	-	5	12	-	-	72	145											
Mich.	9	7	1	1	1	-	-	-	80	105											
Wis.	2	30	-	-	-	7	-	-	21	79											
W.N. CENTRAL	48	23	-	-	6	2	5	3	71	152											
Minn.	22	15	-	-	6	2	1	1	20	23											
Iowa	-	1	-	-	-	-	-	-	15	34											
Mo.	16	5	-	-	-	-	4	2	18	37											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	5	6											
Kans.	9	1	-	-	-	-	-	-	13	48											
S. ATLANTIC	158	184	-	3	17	24	-	1	575	1,184											
Del.	-	-	-	-	-	-	-	-	4	7											
Md.	34	46	-	1	4	1	-	-	64	133											
D.C.	-	-	-	-	-	-	-	-	17	40											
Va.	16	14	-	-	4	2	-	-	35	38											
W. Va.	7	2	-	-	-	-	-	-	9	10											
N.C.	10	20	-	-	-	3	-	-	26	118											
S.C.	3	5	-	-	-	2	-	-	19	33											
Ga.	38	43	-	-	5	8	-	-	219	245											
Fla.	50	54	-	2	4	8	-	1	182	560											
E.S. CENTRAL	45	29	1	1	6	8	-	-	65	129											
Ky.	2	3	-	-	-	-	-	-	12	26											
Tenn.	25	14	-	-	4	5	-	-	34	51											
Ala.	16	6	1	1	1	2	-	-	11	22											
Miss.	2	6	-	-	1	1	-	-	8	30											
W.S. CENTRAL	32	29	-	2	5	6	-	-	216	391											
Ark.	5	1	-	-	1	-	-	-	2	21											
La.	6	3	-	-	1	1	-	-	20	35											
Okla.	21	23	-	-	3	5	-	-	7	15											
Tex.	-	2	-	2	-	-	-	-	187	320											
MOUNTAIN	92	99	3	3	25	22	2	2	157	269											
Mont.	-	-	-	-	-	-	-	-	2	7											
Idaho	2	1	-	-	1	-	-	-	-	19											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	16	18	-	-	4	2	-	-	24	40											
N. Mex.	13	16	-	-	4	4	1	-	8	7											
Ariz.	50	45	3	1	11	12	-	1	90	150											
Utah	7	12	-	1	4	3	-	-	15	17											
Nev.	4	6	-	1	1	1	1	1	17	27											
PACIFIC	35	79	-	2	7	21	1	2	508	879											
Wash.	3	2	-	1	2	1	1	-	26	68											
Oreg.	25	30	-	-	3	3	-	-	30	37											
Calif.	2	28	-	1	2	14	-	2	446	753											
Alaska	-	1	-	-	-	1	-	-	5	7											
Hawaii	5	18	-	-	-	2	-	-	1	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	92											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


