
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 2004 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	4,731	9,258	2,026	6,160	1,109	1,674	641	1,140	84	98											
NEW ENGLAND	208	227	46	71	50	131	1	27	1	1											
Maine	7	13	-	3	2	7	-	-	-	-											
N.H.	14	16	3	-	6	7	-	-	N	N											
Vt.	9	4	-	1	1	6	-	3	-	1											
Mass.	120	142	31	45	39	68	N	N	N	N											
R.I.	13	10	1	2	2	-	1	-	1	-											
Conn.	45	42	11	20	-	43	-	24	U	U											
MID. ATLANTIC	594	646	211	353	161	270	36	32	20	19											
Upstate N.Y.	132	94	88	45	61	86	16	17	13	14											
N.Y. City	173	205	56	95	19	39	U	U	U	U											
N.J.	107	127	38	89	28	68	N	N	N	N											
Pa.	182	220	29	124	53	77	20	15	7	5											
E.N. CENTRAL	647	742	165	315	186	366	147	107	35	55											
Ohio	190	209	44	59	71	83	116	80	24	32											
Ind.	62	45	16	23	16	21	31	27	8	4											
Ill.	164	276	59	155	16	98	-	-	-	-											
Mich.	125	108	28	48	75	102	N	N	N	N											
Wis.	106	104	18	30	8	62	N	N	3	19											
W.N. CENTRAL	282	278	67	150	87	85	62	68	7	11											
Minn.	61	76	11	18	39	31	-	-	7	9											
Iowa	59	67	11	6	N	N	N	N	N	N											
Mo.	81	69	23	57	16	22	3	3	-	-											
N. Dak.	6	5	1	3	3	5	-	3	-	2											
S. Dak.	12	15	1	8	6	8	1	-	-	-											
Nebr.	23	14	2	44	6	8	-	-	N	N											
Kans.	40	32	18	14	17	11	58	62	N	N											
S. ATLANTIC	1,187	5,363	667	3,613	315	394	327	836	2	3											
Del.	5	14	2	75	-	2	2	-	N	N											
Md.	87	120	24	134	61	64	-	1	-	-											
D.C.	6	3	9	9	2	-	-	-	2	-											
Va.	117	77	19	46	11	8	N	N	N	N											
W. Va.	17	5	-	-	7	5	19	15	-	3											
N.C.	162	236	110	158	32	22	N	N	U	U											
S.C.	60	75	79	40	18	5	17	48	N	N											
Ga.	234	164	129	302	127	57	134	161	N	N											
Fla.	499	4,669	295	2,849	57	231	155	611	N	N											
E.S. CENTRAL	258	300	126	175	52	36	37	27	-	-											
Ky.	38	55	21	32	22	7	8	2	N	N											
Tenn.	71	98	46	49	30	29	29	25	N	N											
Ala.	106	96	43	61	-	-	-	-	N	N											
Miss.	43	51	16	33	-	-	-	-	-	-											
W.S. CENTRAL	269	446	265	724	34	131	21	33	18	7											
Ark.	42	54	11	8	3	2	3	7	4	2											
La.	25	72	24	77	-	1	18	26	2	3											
Okla.	44	36	78	140	15	22	N	N	9	2											
Tex.	158	284	152	499	16	106	N	N	3	-											
MOUNTAIN	476	338	220	218	94	137	10	9	1	2											
Mont.	19	16	3	-	-	-	-	-	-	-											
Idaho	31	23	1	3	2	8	N	N	N	N											
Wyo.	7	4	1	1	3	-	4	-	-	-											
Colo.	111	98	38	31	42	38	-	-	-	-											
N. Mex.	29	30	29	38	20	35	5	9	-	-											
Ariz.	222	119	129	130	19	54	-	-	N	N											
Utah	36	26	9	6	8	2	-	-	1	2											
Nev.	21	22	10	9	-	-	1	-	-	-											
PACIFIC	810	918	259	541	130	124	-	1	-	-											
Wash.	58	69	13	26	10	-	-	-	N	N											
Oreg.	55	61	17	14	N	N	N	N	N	N											
Calif.	618	742	216	489	93	104	N	N	N	N											
Alaska	24	18	2	3	1	-	-	-	N	N											
Hawaii	55	28	11	9	26	20	-	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	24	93	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


