
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 24, 2001 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	294	309	1,816	2,855	1,175	1,198	1	14	4	13	27	15									
NEW ENGLAND	12	30	87	85	13	25	-	3	-	1	4	-									
Maine	-	1	1	3	1	1	-	-	-	-	-	-									
N.H.	-	4	3	7	4	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	12	18	32	37	1	1	-	2	-	1	3	-									
R.I.	-	-	4	4	6	2	-	-	-	-	-	-									
Conn.	-	4	45	31	-	12	-	-	-	-	-	-									
MID. ATLANTIC	21	32	54	89	36	101	-	1	-	2	3	6									
Upstate N.Y.	13	20	40	54	24	22	-	-	-	2	2	-									
N.Y. City	-	-	-	-	-	-	-	-	-	-	-	6									
N.J.	7	10	-	7	-	10	-	-	-	-	-	-									
Pa.	1	2	14	28	12	69	-	1	-	-	1	-									
E.N. CENTRAL	34	53	205	418	152	122	-	-	4	7	7	3									
Ohio	23	16	65	92	31	24	-	-	2	2	2	2									
Ind.	6	4	10	11	3	5	-	-	2	2	2	-									
Ill.	-	21	42	180	9	2	-	-	-	3	3	-									
Mich.	2	3	88	122	109	90	-	-	-	-	-	1									
Wis.	3	9	-	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	10	12	120	241	47	75	1	4	-	-	4	-									
Minn.	4	7	7	23	2	4	1	1	-	-	1	-									
Iowa	1	-	9	28	5	11	-	-	-	-	-	-									
Mo.	4	4	37	147	32	48	-	3	-	-	3	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	1	-	17	8	5	8	-	-	-	-	-	-									
Kans.	-	-	49	35	2	4	-	-	-	-	-	-									
S. ATLANTIC	113	75	388	294	255	208	-	2	-	1	3	-									
Del.	-	-	-	5	-	4	-	-	-	-	-	-									
Md.	29	25	56	37	32	37	-	2	-	1	3	-									
D.C.	-	-	12	-	3	-	-	-	-	-	-	-									
Va.	9	14	35	45	26	34	-	-	-	-	-	-									
W. Va.	4	2	1	29	3	-	-	-	-	-	-	-									
N.C.	17	6	29	58	51	81	-	-	-	-	-	-									
S.C.	2	3	13	5	1	2	-	-	-	-	-	-									
Ga.	21	19	117	41	71	13	-	-	-	-	-	-									
Fla.	31	6	125	74	68	37	-	-	-	-	-	-									
E.S. CENTRAL	20	15	67	126	86	98	-	-	-	-	-	-									
Ky.	-	9	8	8	8	16	-	-	-	-	-	-									
Tenn.	10	4	32	43	35	43	-	-	-	-	-	-									
Ala.	9	2	23	19	26	7	-	-	-	-	-	-									
Miss.	1	-	4	56	17	32	-	-	-	-	-	-									
W.S. CENTRAL	5	21	222	558	183	134	-	1	-	-	1	-									
Ark.	-	-	16	42	22	17	-	-	-	-	-	-									
La.	1	7	13	22	12	36	-	-	-	-	-	-									
Okla.	4	14	42	92	22	17	-	-	-	-	-	-									
Tex.	-	-	151	402	127	64	-	1	-	-	1	-									
MOUNTAIN	62	39	216	193	124	100	-	-	-	1	1	-									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	23	8	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	3	-	-	U	-	U	-	-	-									
Colo.	11	11	26	45	27	23	-	-	-	-	-	-									
N. Mex.	10	11	7	22	34	34	-	-	-	-	-	-									
Ariz.	33	11	109	85	43	28	-	-	-	-	-	-									
Utah	1	2	18	13	4	3	-	-	-	-	-	-									
Nev.	6	2	28	16	11	5	-	-	-	-	-	-									
PACIFIC	17	32	457	851	279	335	-	3	-	1	4	6									
Wash.	1	2	19	49	20	9	-	-	-	-	-	3									
Oreg.	13	8	24	70	39	29	-	2	-	-	2	-									
Calif.	2	11	406	723	218	290	-	1	-	1	2	3									
Alaska	1	1	8	3	2	2	-	-	-	-	-	-									
Hawaii	-	10	-	6	-	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	26	86	12	61	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


