
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2001 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	430	440	2,591	3,874	1,753	1,840	1	14	-	16	30	23									
NEW ENGLAND	16	35	115	97	31	33	-	3	-	1	4	-									
Maine	1	1	2	5	3	2	-	-	-	-	-	-									
N.H.	-	6	5	8	7	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	15	20	37	39	2	1	-	2	-	1	3	-									
R.I.	-	1	5	6	6	6	-	-	-	-	-	-									
Conn.	-	4	64	36	12	15	-	-	-	-	-	-									
MID. ATLANTIC	53	65	233	269	246	308	-	1	-	5	6	8									
Upstate N.Y.	19	27	72	76	40	32	-	-	-	4	4	-									
N.Y. City	21	21	100	138	143	173	-	-	-	-	-	8									
N.J.	12	13	46	-	44	14	-	-	-	1	1	-									
Pa.	1	4	15	55	19	89	-	1	-	-	1	-									
E.N. CENTRAL	50	70	277	525	210	178	-	-	-	7	7	3									
Ohio	26	22	81	112	37	33	-	-	-	2	2	2									
Ind.	13	7	23	13	5	12	-	-	-	2	2	-									
Ill.	4	26	59	222	20	3	-	-	-	3	3	-									
Mich.	3	4	112	165	148	129	-	-	-	-	-	1									
Wis.	4	11	2	13	-	1	-	-	-	-	-	-									
W.N. CENTRAL	19	13	138	329	60	110	1	4	-	-	4	-									
Minn.	8	7	9	36	7	7	1	2	-	-	2	-									
Iowa	1	-	13	32	7	14	-	-	-	-	-	-									
Mo.	8	5	40	205	32	72	-	2	-	-	2	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	2	-	18	12	6	13	-	-	-	-	-	-									
Kans.	-	-	57	44	7	4	-	-	-	-	-	-									
S. ATLANTIC	155	108	546	391	394	299	-	3	-	1	4	-									
Del.	-	-	-	6	-	4	-	-	-	-	-	-									
Md.	40	28	78	49	47	48	-	2	-	1	3	-									
D.C.	-	-	15	-	3	-	-	-	-	-	-	-									
Va.	9	20	44	49	42	42	-	-	-	-	-	-									
W. Va.	4	3	2	34	6	2	-	-	-	-	-	-									
N.C.	20	8	34	65	85	81	-	-	-	-	-	-									
S.C.	4	5	20	13	5	2	-	-	-	-	-	-									
Ga.	34	30	184	52	95	45	-	1	-	-	1	-									
Fla.	44	14	169	123	111	75	-	-	-	-	-	-									
E.S. CENTRAL	27	19	85	175	99	129	-	-	-	-	-	-									
Ky.	1	9	10	18	11	24	-	-	-	-	-	-									
Tenn.	13	7	41	58	39	56	-	-	-	-	-	-									
Ala.	12	3	30	23	28	10	-	-	-	-	-	-									
Miss.	1	-	4	76	21	39	U	-	U	-	-	-									
W.S. CENTRAL	14	25	335	724	217	206	-	1	-	-	1	-									
Ark.	-	-	18	55	29	28	-	-	-	-	-	-									
La.	2	8	26	29	14	51	-	-	-	-	-	-									
Okla.	12	17	55	109	25	27	-	-	-	-	-	-									
Tex.	-	-	236	531	149	100	-	1	-	-	1	-									
MOUNTAIN	74	52	249	288	166	149	-	-	-	1	1	6									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	27	11	4	4	-	-	-	1	1	-									
Wyo.	-	-	1	3	-	-	-	-	-	-	-	-									
Colo.	16	11	29	57	36	31	-	-	-	-	-	1									
N. Mex.	10	11	8	31	43	47	-	-	-	-	-	-									
Ariz.	38	22	123	146	61	48	-	-	-	-	-	-									
Utah	2	4	24	18	6	4	-	-	-	-	-	3									
Nev.	7	2	33	21	15	12	-	-	-	-	-	2									
PACIFIC	22	53	613	1,076	330	428	-	2	-	1	3	6									
Wash.	1	3	24	72	28	17	-	-	-	-	-	3									
Oreg.	2	16	19	77	6	35	-	1	-	-	1	-									
Calif.	5	20	558	916	286	368	-	1	-	1	2	3									
Alaska	1	1	11	4	4	2	-	-	-	-	-	-									
Hawaii	13	13	1	7	6	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	2	28	110	15	75	U	-	U	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


