
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	1	1	734	20,539	31,451	113	133	-	-												
NEW ENGLAND	-	-	71	499	586	4	4	-	-												
Maine	-	-	15	7	16	-	-	-	-												
N.H.	-	-	8	9	11	-	-	-	-												
Vt.	-	-	12	13	14	-	-	-	-												
Mass.	-	-	12	388	233	4	4	-	-												
R.I.	-	-	8	82	82	-	-	-	-												
Conn.	-	-	16	-	230	-	-	-	-												
MID. ATLANTIC	-	-	156	1,928	2,833	24	23	-	-												
Upstate N.Y.	-	-	36	333	332	13	4	-	-												
N.Y. City	-	-	57	1,135	1,112	9	9	-	-												
N.J.	-	-	-	198	457	-	8	-	-												
Pa.	-	-	63	262	932	2	2	-	-												
E.N. CENTRAL	1	-	132	3,219	6,261	14	24	-	-												
Ohio	1	-	44	200	2,071	10	8	-	-												
Ind.	-	-	-	449	575	3	1	-	-												
Ill.	-	-	19	1,308	2,182	-	10	-	-												
Mich.	-	-	54	1,043	807	1	2	-	-												
Wis.	-	-	15	219	626	-	3	-	-												
W.N. CENTRAL	-	-	72	863	1,600	2	3	-	-												
Minn.	-	-	14	183	269	-	-	-	-												
Iowa	-	-	20	-	68	1	-	-	-												
Mo.	-	-	19	467	829	1	3	-	-												
N. Dak.	-	-	-	-	1	-	-	-	-												
S. Dak.	-	-	7	25	24	-	-	-	-												
Nebr.	-	-	-	-	119	-	-	-	-												
Kans.	-	-	12	188	290	-	-	-	-												
S. ATLANTIC	-	-	118	5,898	8,227	38	39	-	-												
Del.	-	-	4	141	131	-	-	-	-												
Md.	-	-	15	721	836	12	8	-	-												
D.C.	-	-	6	220	322	-	-	-	-												
Va.	-	-	3	907	829	2	3	-	-												
W. Va.	-	-	-	85	37	-	1	-	-												
N.C.	-	-	-	1,385	1,507	3	6	-	-												
S.C.	-	-	-	602	1,571	-	1	-	-												
Ga.	-	-	34	312	1,522	12	11	-	-												
Fla.	-	-	56	1,525	1,472	9	9	-	-												
E.S. CENTRAL	-	1	23	2,677	3,153	1	1	-	-												
Ky.	-	1	-	332	327	-	-	-	-												
Tenn.	-	-	6	880	1,021	-	-	-	-												
Ala.	-	-	17	951	1,028	1	1	-	-												
Miss.	-	-	-	514	777	-	-	-	-												
W.S. CENTRAL	-	-	7	3,663	5,328	2	1	-	-												
Ark.	-	-	7	164	675	-	-	-	-												
La.	-	-	-	1,149	1,203	-	-	-	-												
Okla.	-	-	-	375	452	2	1	-	-												
Tex.	-	-	-	1,975	2,998	-	-	-	-												
MOUNTAIN	-	-	70	589	962	14	27	-	-												
Mont.	-	-	3	11	3	-	-	-	-												
Idaho	-	-	2	6	8	-	-	-	-												
Wyo.	-	-	-	4	9	-	-	-	-												
Colo.	-	-	37	278	369	3	5	-	-												
N. Mex.	-	-	8	25	109	2	6	-	-												
Ariz.	-	-	6	221	275	6	16	-	-												
Utah	-	-	14	44	9	3	-	-	-												
Nev.	-	-	-	-	180	-	-	-	-												
PACIFIC	-	-	85	1,203	2,501	14	11	-	-												
Wash.	-	-	16	265	310	-	-	-	-												
Oreg.	-	-	52	-	114	9	-	-	-												
Calif.	-	-	-	839	1,987	-	9	-	-												
Alaska	-	-	7	57	24	-	-	-	-												
Hawaii	-	-	10	42	66	5	2	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	-	93	-	-	-	-												
V.I.	-	-	-	-	1	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	1	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


