
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2012 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	196	252	464	1,903	2,566	15	20	41	134	149	82	263	312	1,069	1,739						
NEW ENGLAND	4	13	31	77	158	-	1	4	6	5	4	7	23	31	48						
Conn.	-	6	20	40	72	-	0	3	2	1	-	0	12	-	5						
Maine	2	2	8	16	25	-	0	1	1	1	-	0	2	-	2						
Mass.	-	0	3	5	6	-	0	2	2	2	2	5	10	24	29						
N.H.	-	1	8	8	23	-	0	1	1	-	-	0	3	2	3						
R.I.	-	1	6	-	28	-	0	1	-	1	2	0	7	5	8						
Vt.	2	1	6	8	4	-	0	2	-	-	-	0	2	-	1						
MID. ATLANTIC	22	16	55	287	165	1	2	10	15	8	5	29	53	117	224						
N.J.	-	0	16	55	-	-	0	2	4	-	-	3	13	4	28						
N.Y. (Upstate)	15	2	33	146	15	1	1	10	8	8	2	4	9	14	18						
N.Y. City	7	12	24	86	150	-	0	9	3	-	-	14	24	44	128						
Pa.	N	0	0	N	N	N	0	0	N	N	3	7	17	55	50						
E.N. CENTRAL	37	63	122	402	536	2	3	10	19	26	2	30	48	74	218						
Ill.	N	0	0	N	N	-	0	0	-	-	-	11	24	25	83						
Ind.	-	12	36	42	128	-	1	4	1	3	1	3	8	17	25						
Mich.	7	13	26	96	104	1	0	2	6	7	1	4	12	8	35						
Ohio	24	27	43	201	225	-	1	7	7	12	-	7	17	22	64						
Wis.	6	8	23	63	79	1	0	2	5	4	-	1	6	2	11						
W.N. CENTRAL	4	3	28	29	27	-	0	2	1	1	-	6	13	3	55						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	2	1						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	27						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	8	-	24						
Nebr.	4	2	9	29	27	-	0	2	1	1	-	0	2	1	2						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	70	65	143	533	788	7	6	15	45	49	40	66	92	314	412						
Del.	-	1	5	6	16	-	0	0	-	-	-	0	4	7	3						
D.C.	-	1	5	1	12	-	0	1	1	1	3	3	8	29	27						
Fla.	32	21	55	200	329	1	2	8	15	23	2	24	36	112	167						
Ga.	24	19	38	157	218	6	1	5	16	17	8	12	40	56	39						
Md.	5	9	29	53	111	-	1	3	3	5	2	8	20	26	46						
N.C.	N	0	0	N	N	N	0	0	N	N	21	8	21	55	57						
S.C.	8	8	22	78	102	-	0	3	4	3	-	4	11	1	44						
Va.	N	0	0	N	N	-	0	0	-	-	4	4	13	28	29						
W. Va.	1	1	48	38	-	-	0	4	6	-	-	0	2	-	-						
E.S. CENTRAL	19	23	45	170	231	1	2	4	9	19	1	15	31	56	92						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	10	12	33						
Ky.	3	4	12	34	40	-	0	3	-	5	-	2	8	10	16						
Miss.	N	0	0	N	N	-	0	0	-	-	1	3	22	19	13						
Tenn.	16	19	42	136	191	1	1	4	9	14	-	5	11	15	30						
W.S. CENTRAL	23	31	137	208	277	3	3	10	19	16	20	36	51	201	206						
Ark.	7	4	14	32	44	-	0	3	2	3	5	3	10	5	27						
La.	-	2	13	26	53	-	0	2	2	3	-	7	25	17	28						
Okla.	N	0	0	N	N	-	0	0	-	-	1	1	6	6	7						
Tex.	16	24	123	150	180	3	3	10	15	10	14	23	39	173	144						
MOUNTAIN	15	26	72	180	350	1	2	8	13	23	-	12	20	26	79						
Ariz.	15	12	45	132	176	1	1	5	9	9	-	5	11	9	25						
Colo.	-	8	23	18	78	-	0	4	1	4	-	2	6	7	16						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	2	3						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	2	21						
N. Mex.	-	4	12	26	54	-	0	2	3	3	-	1	4	3	7						
Utah	-	1	8	-	37	-	0	3	-	7	-	0	2	3	4						
Wyo.	-	0	3	4	5	-	0	0	-	-	-	0	0	-	-						
PACIFIC	2	2	11	17	34	-	0	2	7	2	10	56	74	247	405						
Alaska	2	2	11	17	34	-	0	2	7	2	-	0	2	2	-						
Calif.	N	0	0	N	N	N	0	0	N	N	9	45	62	203	327						
Hawaii	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	4	14	20	25						
Wash.	N	0	0	N	N	N	0	0	N	N	1	5	11	22	53						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	3	5	15	28	24						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


