
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2001 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	466	495	2	20	85	131	802	868	1	3	9										
NEW ENGLAND	37	29	-	-	-	3	152	238	-	-	4										
Maine	-	2	U	-	-	U	-	7	U	-	-										
N.H.	4	3	-	-	-	3	14	34	-	-	1										
Vt.	3	1	-	-	-	-	17	42	-	-	-										
Mass.	20	16	U	-	-	U	117	149	U	-	3										
R.I.	-	1	-	-	-	-	-	4	-	-	-										
Conn.	10	6	-	-	-	-	4	2	-	-	-										
MID. ATLANTIC	38	38	-	-	5	17	44	73	1	1	2										
Upstate N.Y.	15	8	-	-	1	11	36	33	1	1	-										
N.Y. City	8	12	-	-	2	-	-	19	-	-	2										
N.J.	14	8	-	-	-	-	-	-	-	-	-										
Pa.	1	10	-	-	2	6	8	21	-	-	-										
E.N. CENTRAL	31	86	-	3	11	11	99	157	-	2	-										
Ohio	20	12	-	1	4	8	78	108	-	-	-										
Ind.	1	13	-	-	-	2	3	5	-	-	-										
Ill.	-	29	-	1	1	-	5	8	-	1	-										
Mich.	10	22	-	1	6	1	12	6	-	1	-										
Wis.	-	10	-	-	-	-	1	30	-	-	-										
W.N. CENTRAL	31	32	-	3	5	-	29	20	-	-	-										
Minn.	-	1	-	-	-	-	-	6	-	-	-										
Iowa	12	8	-	-	3	-	3	6	-	-	-										
Mo.	10	18	-	-	1	-	15	2	-	-	-										
N. Dak.	-	1	-	-	-	-	-	1	-	-	-										
S. Dak.	1	2	-	-	-	-	2	1	-	-	-										
Nebr.	3	1	-	-	1	-	-	-	-	-	-										
Kans.	5	1	-	3	-	-	9	4	-	-	-										
S. ATLANTIC	95	73	1	2	10	4	29	46	-	-	1										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	15	5	-	1	3	-	11	14	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	12	12	1	1	1	1	1	3	-	-	-										
W. Va.	2	1	-	-	-	1	1	-	-	-	-										
N.C.	22	13	-	-	2	-	10	15	-	-	-										
S.C.	5	6	-	-	3	-	4	9	-	-	-										
Ga.	12	16	-	-	-	-	-	2	-	-	-										
Fla.	27	20	-	-	1	2	2	2	-	-	1										
E.S. CENTRAL	37	23	-	-	1	-	24	26	-	-	-										
Ky.	6	6	-	-	-	-	5	19	-	-	-										
Tenn.	13	9	-	-	-	-	16	2	-	-	-										
Ala.	14	7	-	-	1	-	2	4	-	-	-										
Miss.	4	1	-	-	-	-	1	1	-	-	-										
W.S. CENTRAL	68	65	-	-	10	-	3	9	-	-	2										
Ark.	7	2	-	-	-	-	2	3	-	-	-										
La.	19	19	-	-	2	-	-	2	-	-	-										
Okla.	10	7	-	-	-	-	1	-	-	-	-										
Tex.	32	37	-	-	8	-	-	4	-	-	2										
MOUNTAIN	27	25	1	4	3	96	411	166	-	-	-										
Mont.	-	-	-	-	-	2	2	1	-	-	-										
Idaho	3	2	-	-	-	29	78	24	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	11	9	1	1	-	5	96	104	-	-	-										
N. Mex.	5	4	-	2	N	1	11	22	-	-	-										
Ariz.	4	6	-	-	-	58	219	9	-	-	-										
Utah	2	3	-	-	-	1	5	4	-	-	-										
Nev.	2	1	-	-	2	-	-	2	-	-	-										
PACIFIC	102	124	-	8	40	-	11	133	-	-	-										
Wash.	18	6	-	-	1	-	8	19	-	-	-										
Oreg.	14	14	N	N	N	-	3	16	-	-	-										
Calif.	69	100	-	8	36	-	-	90	-	-	-										
Alaska	1	1	-	-	-	-	-	2	-	-	-										
Hawaii	-	3	-	-	3	-	-	6	-	-	-										
Guam	-	-	-	-	-	-	-	-	-	-	-										
P.R.	1	2	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


