
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 28, 2002 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	975	697	14	23	3	3	41,257	40,518													
NEW ENGLAND	10	3	-	-	-	-	2,145	2,344													
Maine	-	-	-	-	-	-	146	168													
N.H.	-	1	-	-	-	-	138	166													
Vt.	-	-	-	-	-	-	77	82													
Mass.	6	2	-	-	-	-	1,168	1,328													
R.I.	4	-	-	-	-	-	171	151													
Conn.	-	-	-	-	-	-	445	449													
MID. ATLANTIC	40	34	1	9	-	-	5,172	5,428													
Upstate N.Y.	9	2	1	1	-	-	1,565	1,398													
N.Y. City	9	2	-	6	-	-	1,447	1,313													
N.J.	2	9	-	1	-	-	761	1,174													
Pa.	20	21	-	1	-	-	1,399	1,543													
E.N. CENTRAL	19	16	2	2	-	1	5,345	4,999													
Ohio	13	2	-	-	-	1	1,447	1,352													
Ind.	3	1	-	-	-	-	508	549													
Ill.	-	12	1	2	-	-	1,658	1,383													
Mich.	3	1	1	-	-	-	875	885													
Wis.	-	-	-	-	-	-	857	830													
W.N. CENTRAL	102	69	-	3	-	-	2,585	2,380													
Minn.	-	1	-	-	-	-	610	689													
Iowa	3	2	-	1	-	-	518	335													
Mo.	94	62	-	1	-	-	820	648													
N. Dak.	-	1	-	-	-	-	43	73													
S. Dak.	1	2	-	-	-	-	108	151													
Nebr.	4	1	-	-	-	-	150	170													
Kans.	-	-	-	1	-	-	336	314													
S. ATLANTIC	505	328	6	5	-	1	11,300	9,681													
Del.	4	13	1	-	-	-	95	96													
Md.	55	39	-	1	-	-	954	809													
D.C.	2	1	-	-	-	-	76	81													
Va.	42	40	-	-	-	1	1,244	1,368													
W. Va.	2	1	-	-	-	-	152	183													
N.C.	294	185	-	-	-	-	1,595	1,386													
S.C.	69	31	-	2	-	-	813	915													
Ga.	19	9	-	-	-	-	1,712	1,721													
Fla.	18	9	5	2	-	-	4,659	3,122													
E.S. CENTRAL	113	122	-	-	1	-	3,254	2,775													
Ky.	5	2	-	-	-	-	398	406													
Tenn.	84	86	-	-	1	-	839	706													
Ala.	20	18	-	-	-	-	877	748													
Miss.	4	16	-	-	-	-	1,140	915													
W.S. CENTRAL	163	113	1	2	1	-	3,653	5,052													
Ark.	97	54	-	-	-	-	1,047	928													
La.	-	2	-	-	1	-	813	832													
Okla.	61	57	-	-	-	-	505	500													
Tex.	5	-	1	2	-	-	1,288	2,792													
MOUNTAIN	14	11	1	-	-	-	2,477	2,332													
Mont.	1	1	-	-	-	-	91	81													
Idaho	-	1	-	-	-	-	184	146													
Wyo.	5	2	-	-	-	-	107	61													
Colo.	2	2	-	-	-	-	602	592													
N. Mex.	1	1	-	-	-	-	320	280													
Ariz.	-	-	-	-	-	-	788	741													
Utah	-	3	1	-	-	-	202	229													
Nev.	5	1	-	-	-	-	183	202													
PACIFIC	9	1	3	2	1	1	5,326	5,527													
Wash.	-	-	-	-	-	-	497	681													
Oreg.	3	1	-	-	-	-	354	281													
Calif.	6	-	3	1	-	-	4,118	4,159													
Alaska	-	-	-	-	-	-	79	50													
Hawaii	-	-	-	1	1	1	278	356													
Guam	-	-	-	-	-	-	-	24													
P.R.	-	-	-	3	-	-	201	972													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	25	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


