
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 16, 2005 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis cummulative for 2005
Pertussis cummulative for 2004
Rabies, animal cummulative for 2005
Rabies, animal cummulative for 2004
Rocky Mountain Spotted Fever cummulative for 2005
Rocky Mountain Spotted Fever cummulative for 2004
Salmonellosis cummulative for 2005
Salmonellosis cummulative for 2004
Shigellosis cummulative for 2005
Shigellosis cummulative for 2004

tab delimited data:
test
UNITED STATES	4,317	2,618	1,285	1,647	165	142	6,130	7,184	2,492	3,169											
NEW ENGLAND	205	437	211	119	1	5	370	338	53	62											
Maine	9	-	15	11	N	N	19	18	1	1											
N.H.	-	12	2	6	-	-	24	21	4	3											
Vt.	41	21	12	5	-	-	25	17	3	1											
Mass.	150	383	142	44	-	5	199	199	30	41											
R.I.	5	9	4	8	1	-	15	12	2	1											
Conn.	-	12	36	45	-	-	88	71	13	15											
MID. ATLANTIC	484	651	148	177	11	15	740	943	281	360											
Upstate N.Y.	170	458	96	78	-	-	193	198	80	146											
N.Y. City	18	51	9	2	1	6	207	306	111	106											
N.J.	73	37	N	N	2	-	111	167	74	67											
Pa.	223	105	43	97	8	9	229	272	16	41											
E.N. CENTRAL	1,141	412	12	4	2	4	584	1,179	144	281											
Ohio	560	126	4	2	1	2	203	249	16	50											
Ind.	87	20	1	1	-	1	39	101	25	46											
Ill.	67	16	2	-	-	-	30	428	4	125											
Mich.	50	30	5	1	1	1	163	186	79	32											
Wis.	377	220	-	-	-	-	149	215	20	28											
W.N. CENTRAL	559	142	67	144	10	3	464	457	192	99											
Minn.	99	29	14	14	-	-	128	111	15	13											
Iowa	157	26	18	13	-	-	80	84	35	29											
Mo.	123	72	8	3	10	3	139	129	108	24											
N. Dak.	34	4	4	15	-	-	8	11	2	1											
S. Dak.	1	1	5	24	-	-	31	19	8	6											
Nebr.	61	-	-	42	-	-	35	43	19	7											
Kans.	84	10	18	33	-	-	43	60	5	19											
S. ATLANTIC	303	135	429	741	114	93	1,822	1,542	462	873											
Del.	2	-	-	9	1	2	7	14	1	3											
Md.	56	34	78	87	5	2	144	114	21	30											
D.C.	-	4	-	-	-	-	13	12	4	14											
Va.	53	31	162	121	3	-	173	159	21	29											
W. Va.	20	2	6	17	1	-	22	29	-	-											
N.C.	21	26	131	176	80	73	314	216	50	121											
S.C.	92	13	5	40	5	4	124	92	34	138											
Ga.	12	7	44	86	11	10	303	242	137	168											
Fla.	47	18	3	205	8	2	722	664	194	370											
E.S. CENTRAL	111	26	27	62	2	16	294	386	300	161											
Ky.	28	3	3	6	-	-	42	68	26	25											
Tenn.	47	15	5	36	1	5	106	116	179	60											
Ala.	26	4	19	16	1	2	110	123	76	55											
Miss.	10	4	-	4	-	9	36	79	19	21											
W.S. CENTRAL	89	89	316	338	3	3	376	674	468	740											
Ark.	36	10	10	17	-	-	72	65	14	13											
La.	3	2	-	-	1	3	88	83	30	82											
Okla.	-	10	30	31	2	-	59	57	152	98											
Tex.	50	67	276	290	-	-	157	469	272	547											
MOUNTAIN	975	297	50	21	20	-	449	525	168	214											
Mont.	236	4	-	3	1	-	21	26	2	3											
Idaho	36	14	-	-	-	-	15	43	-	3											
Wyo.	7	3	6	-	1	-	9	16	-	1											
Colo.	435	153	-	-	-	-	118	125	27	34											
N. Mex.	36	48	-	-	-	-	31	54	23	42											
Ariz.	108	53	44	18	15	-	168	172	82	104											
Utah	102	21	-	-	3	-	44	60	11	11											
Nev.	15	1	-	-	-	-	43	29	23	16											
PACIFIC	450	429	25	41	2	3	1,031	1,140	424	379											
Wash.	118	94	-	-	-	-	86	55	17	18											
Oreg.	199	97	-	-	-	2	64	91	21	17											
Calif.	93	225	24	32	2	1	808	893	374	327											
Alaska	12	9	1	9	-	-	14	25	4	3											
Hawaii	28	4	-	-	-	-	59	76	8	14											
Guam	-	-	-	-	-	-	-	9	-	16											
P.R.	-	1	23	16	N	N	27	47	-	1											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


