
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 18, 2005 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	4,247	5,781	91	120	12,475	12,223	-	63	-												
NEW ENGLAND	136	188	11	14	891	1,728	-	-	-												
Maine	7	11	1	-	200	176	-	-	-												
N.H.	4	7	-	-	124	-	-	-	-												
Vt.	-	-	-	-	29	392	-	-	-												
Mass.	90	105	7	12	538	36	-	-	-												
R.I.	14	22	-	1	-	-	-	-	-												
Conn.	21	43	3	1	U	1,124	-	-	-												
MID. ATLANTIC	900	852	24	33	2,716	36	-	2	-												
Upstate N.Y.	111	104	4	2	-	-	-	-	-												
N.Y. City	458	432	5	12	-	-	-	1	-												
N.J.	210	183	8	11	-	-	-	-	-												
Pa.	121	133	7	8	2,716	36	-	1	-												
E.N. CENTRAL	557	504	5	12	3,778	3,863	-	1	-												
Ohio	117	89	-	2	855	955	-	-	-												
Ind.	59	58	-	-	120	N	-	-	-												
Ill.	258	228	1	5	24	1	-	-	-												
Mich.	85	94	2	4	2,524	2,444	-	1	-												
Wis.	38	35	2	1	255	463	-	-	-												
W.N. CENTRAL	202	193	1	3	184	128	-	2	-												
Minn.	85	73	1	2	-	-	-	-	-												
Iowa	17	15	-	-	N	N	-	-	-												
Mo.	53	58	-	1	110	2	-	1	-												
N. Dak.	2	3	-	-	10	71	-	-	-												
S. Dak.	5	5	-	-	64	55	-	1	-												
Nebr.	16	11	-	-	-	-	-	-	-												
Kans.	24	28	-	-	-	-	-	-	N												
S. ATLANTIC	947	1,104	13	12	989	1,428	-	1	-												
Del.	2	12	-	-	6	4	-	-	-												
Md.	106	110	3	3	-	-	-	-	-												
D.C.	27	4	-	-	16	17	-	-	-												
Va.	111	86	3	3	177	343	-	-	-												
W. Va.	10	10	-	-	613	788	-	-	N												
N.C.	92	110	2	3	-	N	-	-	-												
S.C.	93	90	-	-	177	276	-	-	-												
Ga.	132	297	2	1	-	-	-	-	-												
Fla.	374	385	3	2	-	-	-	1	-												
E.S. CENTRAL	236	255	1	4	-	-	-	1	-												
Ky.	47	42	1	2	N	N	-	-	-												
Tenn.	106	96	-	2	-	-	-	-	-												
Ala.	83	84	-	-	-	-	-	1	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	347	977	3	8	2,306	3,569	-	2	-												
Ark.	41	60	-	-	-	-	-	-	-												
La.	-	-	-	-	97	44	-	-	-												
Okla.	61	75	-	-	-	-	-	-	-												
Tex.	245	842	3	8	2,209	3,525	-	2	-												
MOUNTAIN	150	242	3	6	1,611	1,471	-	52	-												
Mont.	6	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	42	21	-	-	-												
Colo.	27	64	-	1	1,149	1,156	-	1	-												
N. Mex.	8	18	-	-	97	U	-	-	-												
Ariz.	98	99	1	2	-	-	-	51	-												
Utah	11	20	1	1	323	294	-	-	-												
Nev.	-	40	1	2	-	-	-	-	-												
PACIFIC	772	1,466	30	28	-	-	-	2	-												
Wash.	98	106	2	2	N	N	-	-	-												
Oreg.	46	38	2	-	-	-	-	-	-												
Calif.	564	1,257	21	20	-	-	-	2	-												
Alaska	13	14	-	-	-	-	-	-	-												
Hawaii	51	51	5	6	-	-	-	-	-												
Guam	-	36	-	-	-	75	-	-	-												
P.R.	-	21	-	-	77	242	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


