
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 14, 2009 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	32	102	239	4,383	4,752	29	33	122	1,468	1,555											
NEW ENGLAND	4	5	28	259	335	-	1	12	51	77											
Conn.	4	0	21	72	91	-	0	11	-	-											
Maine	-	0	2	17	26	-	0	1	5	2											
Mass.	-	2	10	107	157	-	0	4	30	54											
N.H.	-	0	4	34	24	-	0	2	11	11											
R.I.	-	0	2	11	24	-	0	1	1	10											
Vt.	-	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	6	20	43	879	947	6	4	33	212	191											
N.J.	-	3	7	124	170	-	1	4	38	63											
N.Y. (Upstate)	3	7	25	286	294	4	2	17	105	85											
N.Y. City	-	4	12	165	177	2	0	31	69	43											
Pa.	3	6	18	304	306	N	0	2	N	N											
E.N. CENTRAL	1	17	42	786	873	2	5	18	222	287											
Ill.	-	5	12	221	231	-	0	5	23	83											
Ind.	-	2	23	124	116	-	0	13	32	30											
Mich.	-	3	11	125	160	-	1	5	57	70											
Ohio	1	4	13	192	237	2	1	6	65	55											
Wis.	-	2	11	124	129	-	1	3	45	49											
W.N. CENTRAL	2	6	37	354	343	5	2	11	134	88											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	36	N	0	1	N	N											
Minn.	-	0	34	161	154	5	0	10	79	28											
Mo.	2	1	8	80	84	-	0	4	32	33											
Nebr.	-	1	3	40	37	-	0	1	11	8											
N. Dak.	-	0	4	15	10	-	0	3	5	9											
S. Dak.	-	0	3	21	22	-	0	2	7	10											
S. ATLANTIC	10	22	49	1,007	991	4	7	18	277	301											
Del.	-	0	1	10	8	-	0	0	-	-											
D.C.	-	0	3	12	14	N	0	0	N	N											
Fla.	2	6	12	247	231	1	1	6	61	57											
Ga.	1	5	13	241	222	2	2	6	75	85											
Md.	3	3	12	169	171	1	1	7	66	49											
N.C.	-	2	12	86	125	N	0	0	N	N											
S.C.	-	1	5	63	65	-	1	6	40	59											
Va.	4	3	9	143	120	-	0	4	23	41											
W. Va.	-	1	4	36	35	-	0	3	12	10											
E.S. CENTRAL	5	3	10	172	168	1	2	7	85	82											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	33	36	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	18	9											
Tenn.	5	3	9	139	132	1	1	6	67	73											
W.S. CENTRAL	3	8	79	391	442	6	5	46	257	252											
Ark.	-	0	3	17	11	-	0	4	24	12											
La.	-	0	3	11	17	-	0	3	13	13											
Okla.	-	3	20	123	99	-	1	7	52	60											
Tex.	3	5	59	240	315	6	3	34	168	167											
MOUNTAIN	1	10	22	389	505	4	4	16	200	234											
Ariz.	-	3	7	128	178	-	2	10	97	103											
Colo.	1	3	7	121	127	3	0	4	43	53											
Idaho	-	0	2	10	16	1	0	2	8	5											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	12	-	0	1	-	3											
N. Mex.	-	2	7	72	117	-	0	4	22	33											
Utah	-	1	6	52	49	-	0	5	30	35											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	146	148	1	0	4	30	43											
Alaska	-	1	4	31	34	-	0	3	22	26											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	8	115	114	1	0	2	8	17											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


