
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	50	98	-	-	2	-	4	12													
NEW ENGLAND	4	8	-	-	-	-	2	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	1	-	-	-	-	-	-													
Vt.	4	1	-	-	-	-	2	-													
Mass.	-	6	-	-	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	13	27	-	-	-	-	-	3													
Upstate N.Y.	4	4	-	-	-	-	-	-													
N.Y. City	1	3	-	-	-	-	-	1													
N.J.	4	8	-	-	-	-	-	1													
Pa.	4	12	-	-	-	-	-	1													
E.N. CENTRAL	6	21	-	-	-	-	1	5													
Ohio	5	6	-	-	-	-	1	1													
Ind.	1	-	-	-	-	-	-	-													
Ill.	-	9	-	-	-	-	-	2													
Mich.	-	3	-	-	-	-	-	1													
Wis.	-	3	-	-	-	-	-	1													
W.N. CENTRAL	4	4	-	-	-	-	-	-													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	4	-	-	-	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	4	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	17	17	-	-	1	-	1	2													
Del.	-	-	-	-	-	-	-	-													
Md.	5	7	-	-	1	-	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	2	-	-	-	-	-	-	-													
S.C.	1	-	-	-	-	-	-	-													
Ga.	2	6	-	-	-	-	-	2													
Fla.	7	4	-	-	-	-	-	-													
E.S. CENTRAL	-	6	-	-	-	-	-	1													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	1	-	-	-	-	-	-													
Ala.	-	5	-	-	-	-	-	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	1	4	-	-	-	-	-	-													
Ark.	-	-	-	-	-	-	-	-													
La.	-	3	-	-	-	-	-	-													
Okla.	1	1	-	-	-	-	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	3	10	-	-	1	-	-	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	-	5	-	-	-	-	-	-													
N. Mex.	-	4	-	-	-	-	-	1													
Ariz.	-	-	-	-	-	-	-	-													
Utah	1	-	-	-	-	-	-	-													
Nev.	1	1	-	-	1	-	-	-													
PACIFIC	2	1	-	-	-	-	-	-													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	1	1	-	-	-	-	-	-													
Calif.	-	-	-	-	-	-	-	-													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


