
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 19, 1997 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	15,582	19,904	104,549	118,706	283	128	69,555	89,681	848	908											
NEW ENGLAND	465	841	4,670	5,760	23	10	1,533	2,373	13	24											
Maine	18	10	288	-	1	-	14	13	-	-											
N.H.	4	25	163	212	-	-	40	37	2	3											
Vt.	10	8	120	155	2	1	15	19	-	10											
Mass.	220	486	2,231	1,991	16	9	726	660	9	8											
R.I.	43	38	653	657	1	-	164	173	2	3											
Conn.	170	274	1,215	2,745	3	-	574	1,471	-	-											
MID. ATLANTIC	5,146	5,591	6,857	16,086	17	4	5,258	7,928	83	77											
Upstate N.Y.	833	571	N	N	9	3	1,557	33	64	67											
N.Y. City	2,649	3,283	U	7,225	5	-	U	3,955	-	1											
N.J.	1,098	1,023	2,040	2,863	3	-	1,270	766	-	-											
Pa.	566	714	4,817	5,998	N	1	2,431	3,174	19	9											
E.N. CENTRAL	1,088	1,538	18,308	28,008	51	18	11,357	18,216	173	159											
Ohio	216	401	4,294	6,408	17	9	2,779	4,629	5	4											
Ind.	286	264	2,541	2,790	11	2	1,748	2,015	4	4											
Ill.	372	527	3,444	8,174	10	-	1,739	5,301	15	31											
Mich.	158	254	5,843	7,192	13	2	4,086	4,766	149	120											
Wis.	56	92	2,186	3,444	N	5	1,005	1,505	-	-											
W.N. CENTRAL	313	424	6,262	9,996	40	27	2,807	3,968	53	19											
Minn.	55	84	U	1,369	23	17	U	-	-	-											
Iowa	52	31	1,501	1,107	9	4	379	312	20	7											
Mo.	135	173	3,291	4,547	3	3	1,943	2,688	22	7											
N. Dak.	4	1	81	317	3	2	5	9	2	-											
S. Dak.	2	7	339	424	-	-	38	65	-	-											
Nebr.	28	32	259	757	1	-	89	152	-	2											
Kans.	37	96	791	1,475	1	1	353	742	9	3											
S. ATLANTIC	3,895	5,141	23,744	16,894	42	7	24,532	31,427	72	56											
Del.	51	113	-	-	1	1	331	439	-	-											
Md.	425	645	2,054	1,825	2	1	3,897	4,121	5	-											
D.C.	182	243	N	N	-	-	1,319	1,339	-	-											
Va.	323	266	3,470	3,688	N	2	2,599	3,006	6	4											
W. Va.	21	32	-	-	N	-	206	99	3	4											
N.C.	217	277	5,193	U	9	3	4,766	5,622	18	14											
S.C.	213	276	3,535	U	-	-	3,106	3,526	14	11											
Ga.	528	682	2,406	4,078	15	-	3,425	7,447	U	-											
Fla.	1,935	2,607	7,086	7,303	15	-	4,883	5,828	26	23											
E.S. CENTRAL	473	723	9,709	8,824	25	7	9,887	9,473	115	159											
Ky.	48	118	1,833	2,228	7	-	1,160	1,252	6	10											
Tenn.	203	244	3,774	3,678	13	7	3,238	3,242	62	148											
Ala.	127	235	2,293	2,750	2	-	3,189	4,240	5	1											
Miss.	95	126	1,809	168	3	-	2,300	739	42	-											
W.S. CENTRAL	1,459	2,030	11,126	7,245	3	1	7,797	6,913	77	87											
Ark.	59	96	373	456	2	-	755	1,223	2	1											
La.	219	494	2,002	2,076	1	1	1,928	2,428	55	33											
Okla.	86	66	2,304	2,280	-	-	1,491	1,434	4	26											
Tex.	1,095	1,374	6,447	2,433	-	-	3,623	1,828	16	27											
MOUNTAIN	441	632	6,305	4,268	30	21	2,223	2,400	112	195											
Mont.	12	8	276	410	2	-	14	10	4	8											
Idaho	8	10	469	507	4	-	33	29	15	40											
Wyo.	9	2	151	213	2	-	18	10	44	62											
Colo.	114	177	100	7	13	8	507	563	18	19											
N. Mex.	34	43	1,148	1,188	4	3	435	285	16	28											
Ariz.	122	191	2,884	592	N	8	934	1,162	10	24											
Utah	30	73	467	476	2	-	53	90	2	7											
Nev.	112	128	810	875	3	2	229	251	3	7											
PACIFIC	2,302	2,984	17,568	21,625	52	31	4,161	6,983	150	132											
Wash.	176	217	2,836	2,846	8	4	645	727	8	24											
Oreg.	97	188	970	1,621	13	10	146	143	3	3											
Calif.	2,002	2,523	12,843	16,353	28	15	3,084	5,789	92	44											
Alaska	12	3	427	239	3	-	148	163	-	2											
Hawaii	15	53	492	566	N	2	138	161	47	59											
Guam	-	3	-	102	N	-	-	24	-	1											
P.R.	420	418	N	N	21	U	175	60	21	13											
V.I.	17	6	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	11	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


