
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 7, 2008 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	70	99	258	2,846	2,917	23	35	166	852	933											
NEW ENGLAND	3	6	31	187	224	-	2	14	39	77											
Conn.	-	0	28	59	49	-	0	11	-	11											
Maine	2	0	3	15	18	-	0	1	1	1											
Mass.	-	3	7	83	124	-	1	5	30	50											
N.H.	-	0	2	16	18	-	0	1	7	8											
R.I.	-	0	6	5	2	-	0	1	-	5											
Vt.	1	0	2	9	13	-	0	1	1	2											
MID. ATLANTIC	12	16	42	581	594	3	4	19	98	174											
N.J.	-	3	9	85	116	-	1	6	21	36											
N.Y. (Upstate)	6	6	18	207	175	3	2	14	52	56											
N.Y. City	-	3	10	97	145	-	1	12	25	82											
Pa.	6	5	16	192	158	N	0	0	N	N											
E.N. CENTRAL	6	17	59	591	646	2	6	23	177	175											
Ill.	-	5	15	150	193	-	1	6	39	41											
Ind.	-	2	11	78	64	-	0	14	23	7											
Mich.	-	3	10	97	127	1	1	5	42	50											
Ohio	3	4	15	165	146	-	1	5	32	34											
Wis.	3	1	38	101	116	1	1	9	41	43											
W.N. CENTRAL	3	4	39	232	197	1	2	16	71	51											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	33	25	1	0	3	14	1											
Minn.	-	0	35	101	90	-	0	13	24	31											
Mo.	1	2	10	57	53	-	1	2	21	13											
Nebr.	1	0	3	21	15	-	0	3	4	5											
N. Dak.	1	0	5	9	10	-	0	2	3	1											
S. Dak.	-	0	2	11	4	-	0	1	5	-											
S. ATLANTIC	19	22	51	558	616	5	6	13	130	152											
Del.	-	0	2	6	4	-	0	0	-	-											
D.C.	-	0	2	11	13	-	0	1	1	2											
Fla.	6	6	16	136	136	2	1	4	35	32											
Ga.	4	4	10	110	138	2	1	5	8	37											
Md.	4	4	9	100	110	1	1	5	36	38											
N.C.	1	2	22	74	55	N	0	0	N	N											
S.C.	-	1	6	32	64	-	1	4	23	16											
Va.	4	3	12	73	80	-	0	6	23	25											
W. Va.	-	0	3	16	16	-	0	1	4	2											
E.S. CENTRAL	1	4	13	91	107	1	2	11	56	51											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	17	28	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	3											
Tenn.	1	3	13	74	79	1	2	9	41	48											
W.S. CENTRAL	11	7	84	228	164	8	5	66	134	122											
Ark.	-	0	2	4	14	-	0	2	5	8											
La.	-	0	1	3	13	-	0	2	1	24											
Okla.	2	1	19	64	40	2	1	7	44	24											
Tex.	9	5	64	157	97	6	3	58	84	66											
MOUNTAIN	12	11	22	312	301	3	5	12	137	122											
Ariz.	7	4	9	115	109	2	2	8	68	61											
Colo.	3	3	8	87	79	1	1	4	41	29											
Idaho	-	0	2	9	6	-	0	1	2	2											
Mont.	N	0	0	N	N	-	0	1	1	-											
Nev.	-	0	2	6	3	N	0	0	N	N											
N. Mex.	-	2	7	54	51	-	0	3	11	24											
Utah	2	1	5	36	49	-	0	4	13	6											
Wyo.	-	0	2	5	4	-	0	1	1	-											
PACIFIC	3	3	9	66	68	-	0	2	10	9											
Alaska	3	0	3	19	12	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	9	47	56	-	0	2	10	9											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	3	0	12	22	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


