
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2008 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	114	90	170	867	911	33	34	127	263	319											
NEW ENGLAND	1	4	28	11	63	1	1	5	4	34											
Conn.	-	0	22	-	2	-	0	1	-	6											
Maine	-	0	3	5	5	-	0	1	1	-											
Mass.	-	1	12	-	45	-	1	4	-	25											
N.H.	1	0	4	4	5	1	0	1	3	-											
R.I.	-	0	1	-	-	-	0	1	-	2											
Vt.	-	0	1	2	6	-	0	1	-	1											
MID. ATLANTIC	20	16	40	143	191	3	5	38	40	46											
N.J.	-	2	12	8	39	-	1	5	7	11											
N.Y. (Upstate)	14	6	20	66	40	3	2	14	20	24											
N.Y. City	-	3	13	13	50	-	2	35	13	11											
Pa.	6	4	11	56	62	N	0	0	N	N											
E.N. CENTRAL	47	16	40	218	205	10	4	19	55	52											
Ill.	-	4	10	35	76	-	1	6	9	7											
Ind.	-	2	10	27	16	-	0	11	7	3											
Mich.	2	3	10	35	44	-	1	5	12	21											
Ohio	7	4	14	64	62	1	1	5	14	17											
Wis.	38	0	16	57	7	9	0	2	13	4											
W.N. CENTRAL	2	5	33	67	40	1	3	19	23	10											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	8	10	-	0	1	2	-											
Minn.	-	0	29	20	-	-	1	18	6	-											
Mo.	1	2	10	27	23	-	0	2	10	7											
Nebr.	-	0	3	9	1	-	0	3	2	2											
N. Dak.	-	0	3	-	4	-	0	0	-	1											
S. Dak.	1	0	2	3	2	1	0	1	3	-											
S. ATLANTIC	13	23	49	205	179	5	5	10	39	69											
Del.	-	0	1	2	1	-	0	0	-	-											
D.C.	-	0	3	-	1	-	0	0	-	-											
Fla.	6	6	16	59	40	2	1	5	11	11											
Ga.	3	4	12	51	42	-	0	4	-	24											
Md.	3	5	9	42	36	3	1	5	17	19											
N.C.	-	2	22	19	14	-	0	0	-	-											
S.C.	1	1	7	12	20	-	1	4	8	5											
Va.	-	3	12	18	22	-	0	3	3	10											
W. Va.	-	0	3	2	3	-	0	1	-	-											
E.S. CENTRAL	5	4	13	29	40	5	2	11	13	19											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	4	10	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	2											
Tenn.	5	3	13	25	30	5	2	9	13	17											
W.S. CENTRAL	13	7	47	65	44	4	5	47	36	36											
Ark.	-	0	2	-	5	-	0	2	3	4											
La.	-	0	4	1	4	-	0	3	-	12											
Okla.	9	1	8	29	17	2	1	5	17	10											
Tex.	4	5	38	35	18	2	2	42	16	10											
MOUNTAIN	9	9	21	106	127	3	4	12	45	43											
Ariz.	-	4	9	43	47	-	2	8	32	24											
Colo.	6	2	9	23	28	3	1	4	7	8											
Idaho	2	0	2	6	3	-	0	1	1	-											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	2	-	0	1	1	-											
N. Mex.	1	1	5	25	22	-	0	4	3	8											
Utah	-	1	6	7	23	-	0	2	1	3											
Wyo.	-	0	1	-	2	-	0	0	-	-											
PACIFIC	4	3	7	23	22	1	0	4	8	10											
Alaska	3	0	3	6	3	1	0	4	8	6											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	5	17	19	-	0	2	-	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	4	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


