
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	20	55	-	-	1	-	1	9													
NEW ENGLAND	-	3	-	-	-	-	-	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	1	-	-	-	-	-	-													
Mass.	-	2	-	-	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	7	19	-	-	-	-	-	2													
Upstate N.Y.	1	3	-	-	-	-	-	-													
N.Y. City	1	2	-	-	-	-	-	1													
N.J.	1	6	-	-	-	-	-	1													
Pa.	4	8	-	-	-	-	-	-													
E.N. CENTRAL	2	8	-	-	-	-	-	4													
Ohio	1	3	-	-	-	-	-	1													
Ind.	1	-	-	-	-	-	-	-													
Ill.	-	2	-	-	-	-	-	1													
Mich.	-	2	-	-	-	-	-	1													
Wis.	-	1	-	-	-	-	-	1													
W.N. CENTRAL	-	3	-	-	-	-	-	-													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	-	-	-	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	3	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	10	11	-	-	1	-	1	2													
Del.	-	-	-	-	-	-	-	-													
Md.	3	5	-	-	1	-	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	2	-	-	-	-	-	-	-													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	4	-	-	-	-	-	2													
Fla.	5	2	-	-	-	-	-	-													
E.S. CENTRAL	-	1	-	-	-	-	-	-													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	-	1	-	-	-	-	-	-													
Ala.	-	-	-	-	-	-	-	-													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	-	1	-	-	-	-	-	-													
Ark.	-	-	-	-	-	-	-	-													
La.	-	1	-	-	-	-	-	-													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	-	8	-	-	-	-	-	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	4	-	-	-	-	-	-													
N. Mex.	-	3	-	-	-	-	-	1													
Ariz.	-	-	-	-	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	1	-	-	-	-	-	-													
PACIFIC	1	1	-	-	-	-	-	-													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	-	1	-	-	-	-	-	-													
Calif.	-	-	-	-	-	-	-	-													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


