
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2001 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	19,666	30,534	68	349	38	53	17	153	229												
NEW ENGLAND	480	719	1	1	1	5	4	37	35												
Maine	-	6	-	-	-	2	-	-	-												
N.H.	9	11	-	-	-	-	-	34	10												
Vt.	14	1	1	-	1	-	-	-	-												
Mass.	331	275	-	1	-	3	3	1	11												
R.I.	82	54	-	-	-	-	-	-	-												
Conn.	44	372	-	-	-	-	1	2	14												
MID. ATLANTIC	944	2,879	4	60	1	2	1	72	141												
Upstate N.Y.	285	257	1	-	1	1	1	51	11												
N.Y. City	37	926	-	-	-	-	-	-	10												
N.J.	90	687	-	55	-	-	-	-	39												
Pa.	532	1,009	3	5	-	1	-	21	81												
E.N. CENTRAL	2,475	6,766	14	33	21	17	3	8	3												
Ohio	132	1,725	-	-	13	8	1	8	1												
Ind.	511	566	-	-	3	-	-	-	-												
Ill.	764	2,385	-	5	-	1	-	-	1												
Mich.	807	1,406	14	28	5	5	2	-	-												
Wis.	261	684	-	-	-	3	-	U	1												
W.N. CENTRAL	762	1,447	21	42	4	2	1	4	5												
Minn.	153	304	-	-	-	-	-	3	1												
Iowa	45	49	-	-	-	1	-	-	-												
Mo.	246	719	20	41	2	1	-	1	2												
N. Dak.	-	3	-	-	-	-	-	-	-												
S. Dak.	24	14	-	-	-	-	-	-	-												
Nebr.	28	94	-	-	1	-	-	-	-												
Kans.	266	264	1	1	1	-	1	-	2												
S. ATLANTIC	6,507	8,277	6	5	3	15	3	25	35												
Del.	131	159	-	-	-	1	-	-	4												
Md.	622	639	2	1	2	7	1	22	27												
D.C.	310	247	-	-	-	-	-	1	-												
Va.	834	971	-	-	1	-	1	1	-												
W. Va.	35	55	-	-	N	N	-	-	1												
N.C.	1,439	691	1	3	-	1	-	1	3												
S.C.	1,208	2,342	-	-	-	2	-	-	-												
Ga.	557	1,472	-	-	-	-	1	-	-												
Fla.	1,371	1,701	3	1	-	4	-	-	-												
E.S. CENTRAL	2,859	2,228	10	56	2	1	1	1	-												
Ky.	292	274	-	3	1	-	-	1	-												
Tenn.	997	997	3	10	-	-	-	-	-												
Ala.	937	556	-	3	1	1	1	-	-												
Miss.	633	401	7	40	-	-	-	-	-												
W.S. CENTRAL	3,299	5,148	2	101	1	4	-	-	2												
Ark.	674	196	1	-	-	-	-	-	-												
La.	1,203	1,256	1	54	1	2	-	-	2												
Okla.	454	407	-	-	-	-	-	-	-												
Tex.	968	3,289	-	47	-	2	-	-	-												
MOUNTAIN	525	1,000	4	29	-	4	-	-	-												
Mont.	2	-	-	-	-	-	-	-	-												
Idaho	7	12	-	-	-	1	-	-	-												
Wyo.	9	4	1	18	-	-	-	-	-												
Colo.	116	376	-	5	-	2	-	-	-												
N. Mex.	39	79	3	3	-	-	-	-	-												
Ariz.	273	337	-	3	-	-	-	-	-												
Utah	-	46	-	-	-	1	-	-	-												
Nev.	79	146	-	-	-	-	-	-	-												
PACIFIC	1,815	2,070	6	22	5	3	4	6	8												
Wash.	309	244	-	2	1	1	-	-	-												
Oreg.	114	47	2	5	N	N	1	1	1												
Calif.	1,332	1,716	4	15	4	2	3	5	7												
Alaska	16	22	-	-	-	-	-	-	-												
Hawaii	44	41	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	87	53	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


