
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2004 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	5,274	69,790	90,967	222	421	213	308	3	57											
NEW ENGLAND	-	192	2,522	3,191	-	-	7	13	-	-											
Maine	-	-	102	206	N	N	2	1	-	-											
N.H.	-	3	-	180	-	-	-	-	-	-											
Vt.	-	5	71	128	-	-	2	1	-	-											
Mass.	-	111	1,702	1,232	-	-	3	9	-	-											
R.I.	-	16	494	325	-	-	-	1	-	-											
Conn.	-	57	153	1,120	N	N	-	1	-	-											
MID. ATLANTIC	-	1,541	9,010	12,014	-	-	35	24	1	-											
Upstate N.Y.	-	77	1,688	1,180	N	N	9	4	-	-											
N.Y. City	-	942	3,206	3,980	-	-	6	10	-	-											
N.J.	-	170	1,289	1,925	-	-	1	2	-	-											
Pa.	-	352	2,827	4,929	N	N	19	8	1	-											
E.N. CENTRAL	-	632	10,057	17,920	-	1	40	38	-	-											
Ohio	-	95	715	4,892	-	-	17	7	-	-											
Ind.	-	84	1,429	2,047	N	N	2	1	-	-											
Ill.	-	290	2,301	5,831	-	-	-	8	-	-											
Mich.	-	143	4,353	3,171	-	1	13	5	-	-											
Wis.	-	20	1,259	1,979	-	-	8	17	-	-											
W.N. CENTRAL	-	60	3,484	5,093	-	-	20	13	-	-											
Minn.	-	9	265	1,245	N	N	3	5	-	-											
Iowa	-	17	-	306	N	N	1	3	-	-											
Mo.	-	25	1,620	1,939	-	-	7	2	-	-											
N. Dak.	-	-	90	92	N	N	-	-	-	-											
S. Dak.	-	1	249	274	-	-	4	3	-	-											
Nebr.	-	-	444	396	-	-	-	-	-	-											
Kans.	-	8	816	841	N	N	5	-	-	-											
S. ATLANTIC	-	1,118	11,551	14,384	-	-	43	149	1	57											
Del.	-	30	337	333	N	N	-	1	-	-											
Md.	-	103	1,993	1,794	-	-	5	5	-	-											
D.C.	-	179	262	386	-	-	-	-	-	-											
Va.	-	176	992	1,408	-	-	3	-	-	-											
W. Va.	-	6	308	279	N	N	-	-	-	-											
N.C.	-	123	1,951	2,120	N	N	13	3	-	-											
S.C.	-	45	1,805	1,305	-	-	-	1	-	-											
Ga.	-	309	332	2,521	-	-	9	10	-	-											
Fla.	-	147	3,571	4,238	N	N	13	129	1	57											
E.S. CENTRAL	-	80	5,117	6,062	N	N	13	11	-	-											
Ky.	-	28	594	964	N	N	5	1	-	-											
Tenn.	-	21	2,000	1,816	N	N	5	5	-	-											
Ala.	-	12	1,268	1,739	-	-	2	4	-	-											
Miss.	-	19	1,255	1,543	N	N	1	1	-	-											
W.S. CENTRAL	-	698	11,531	11,555	-	-	12	5	1	-											
Ark.	-	14	791	679	-	-	6	1	-	-											
La.	-	15	3,496	2,088	N	N	-	-	1	-											
Okla.	-	16	837	823	N	N	5	1	-	-											
Tex.	-	653	6,407	7,965	-	-	1	3	-	-											
MOUNTAIN	-	204	3,750	5,556	71	347	11	7	-	-											
Mont.	-	7	27	237	N	N	-	-	-	-											
Idaho	-	1	413	173	N	N	-	4	-	-											
Wyo.	-	1	113	138	-	-	1	-	-	-											
Colo.	-	23	330	1,474	N	N	6	2	-	-											
N. Mex.	-	14	31	763	1	-	-	-	-	-											
Ariz.	-	112	2,512	1,822	59	343	3	1	-	-											
Utah	-	6	324	260	4	1	-	-	-	-											
Nev.	-	40	-	689	7	3	1	-	-	-											
PACIFIC	-	749	12,768	15,192	151	73	32	48	-	-											
Wash.	-	72	1,819	1,655	N	N	-	-	-	-											
Oreg.	-	47	810	514	-	-	3	2	-	-											
Calif.	-	618	9,805	12,006	151	73	29	46	-	-											
Alaska	-	6	323	404	-	-	-	-	-	-											
Hawaii	-	6	11	613	-	-	-	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	145	135	27	N	N	N	N	-	-											
V.I.	-	2	-	36	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


