
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 12, 2008 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	69	91	259	3,252	3,448	11	33	166	890	1,064											
NEW ENGLAND	7	6	33	259	277	-	2	14	48	86											
Conn.	7	0	28	78	83	-	0	11	-	11											
Maine	-	0	3	17	20	-	0	1	1	1											
Mass.	-	3	8	125	136	-	1	5	37	57											
N.H.	-	0	2	16	21	-	0	1	7	8											
R.I.	-	0	7	13	2	-	0	1	2	7											
Vt.	-	0	2	10	15	-	0	1	1	2											
MID. ATLANTIC	11	16	43	689	670	1	4	19	116	192											
N.J.	-	3	9	106	125	-	1	6	21	39											
N.Y. (Upstate)	4	6	18	235	204	1	2	14	62	64											
N.Y. City	-	3	10	120	165	-	1	12	33	89											
Pa.	7	5	16	228	176	N	0	0	N	N											
E.N. CENTRAL	13	17	63	693	695	3	6	23	199	193											
Ill.	-	5	16	182	210	-	1	6	46	45											
Ind.	-	2	11	87	78	-	0	14	23	12											
Mich.	2	2	10	90	146	1	1	5	42	56											
Ohio	11	5	15	198	167	-	1	5	35	39											
Wis.	-	2	42	136	94	2	1	9	53	41											
W.N. CENTRAL	7	4	39	264	228	1	2	16	80	54											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	32	26	-	0	3	12	-											
Minn.	5	0	35	121	111	1	0	13	29	33											
Mo.	-	2	10	62	59	-	1	2	24	15											
Nebr.	2	0	3	26	15	-	0	3	6	5											
N. Dak.	-	0	5	9	11	-	0	2	4	1											
S. Dak.	-	0	2	14	6	-	0	1	5	-											
S. ATLANTIC	20	21	37	659	797	2	6	13	151	184											
Del.	-	0	2	6	6	-	0	0	-	-											
D.C.	-	0	2	13	16	-	0	1	1	2											
Fla.	5	6	11	156	181	-	1	4	40	37											
Ga.	5	4	10	137	155	-	1	5	10	41											
Md.	5	4	9	121	139	1	1	5	40	46											
N.C.	3	2	10	89	104	N	0	0	N	N											
S.C.	1	1	5	37	76	1	1	4	31	22											
Va.	1	3	12	81	101	-	0	6	24	31											
W. Va.	-	0	3	19	19	-	0	1	5	5											
E.S. CENTRAL	3	4	9	108	138	-	2	11	62	54											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	22	31	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	15	5											
Tenn.	3	3	7	86	107	-	2	9	47	49											
W.S. CENTRAL	7	8	85	272	195	4	5	66	148	145											
Ark.	-	0	2	4	16	-	0	2	4	9											
La.	-	0	1	3	14	-	0	2	2	25											
Okla.	2	1	19	72	47	-	1	7	47	32											
Tex.	5	5	65	193	118	4	3	58	95	79											
MOUNTAIN	-	9	16	228	366	-	3	12	76	145											
Ariz.	-	0	8	1	136	-	0	8	-	66											
Colo.	-	3	8	100	94	-	1	4	42	31											
Idaho	-	0	2	11	8	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	3	1											
Nev.	-	0	2	6	2	N	0	0	N	N											
N. Mex.	-	2	7	66	63	-	0	3	13	27											
Utah	-	1	5	39	58	-	0	4	14	18											
Wyo.	-	0	2	5	5	-	0	1	1	-											
PACIFIC	1	3	10	80	82	-	0	2	10	11											
Alaska	1	0	3	21	15	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	10	59	67	-	0	2	10	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	3	-	7	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


