
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 1999 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,654	1,868	2	218	476	73	3,381	3,730	2	188	329										
NEW ENGLAND	84	82	-	4	4	9	404	649	-	7	38										
Maine	5	5	U	-	-	U	-	5	U	-	-										
N.H.	12	10	-	1	-	2	69	51	-	-	-										
Vt.	4	1	-	1	-	2	38	59	-	-	-										
Mass.	47	38	-	2	3	5	266	496	-	7	8										
R.I.	4	3	-	-	-	-	20	7	-	-	1										
Conn.	12	25	U	-	1	U	11	31	U	-	29										
MID. ATLANTIC	154	197	-	25	171	-	613	393	-	21	143										
Upstate N.Y.	40	51	U	6	3	U	527	206	U	17	113										
N.Y. City	42	24	-	3	153	-	10	23	-	-	16										
N.J.	39	47	U	-	6	U	12	11	U	1	13										
Pa.	33	75	U	16	9	U	64	153	U	3	1										
E.N. CENTRAL	259	300	-	27	59	1	292	463	-	2	-										
Ohio	111	107	-	11	21	1	149	169	-	-	-										
Ind.	37	52	U	3	5	U	37	71	U	1	-										
Ill.	76	80	-	6	9	-	46	47	-	1	-										
Mich.	34	37	-	7	22	-	33	45	-	-	-										
Wis.	1	24	U	-	2	U	27	131	U	-	-										
W.N. CENTRAL	179	162	-	10	24	17	171	290	-	83	32										
Minn.	38	28	-	1	12	16	78	168	-	5	-										
Iowa	32	27	-	4	8	1	26	57	-	28	-										
Mo.	69	60	-	2	3	-	36	22	-	2	2										
N. Dak.	3	3	U	-	1	U	4	3	U	-	-										
S. Dak.	10	6	-	-	-	-	5	8	-	-	-										
Nebr.	9	11	-	-	-	-	1	10	-	48	-										
Kans.	18	27	-	3	-	-	21	22	-	-	30										
S. ATLANTIC	291	305	1	38	32	11	261	186	1	32	13										
Del.	6	1	-	-	-	-	4	3	-	-	-										
Md.	43	24	-	3	-	-	70	32	-	1	1										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	35	26	-	8	5	-	13	9	-	-	-										
W. Va.	4	12	-	-	-	-	2	1	-	-	-										
N.C.	32	46	-	8	9	-	63	74	1	31	9										
S.C.	33	45	U	3	5	U	13	22	U	-	-										
Ga.	49	68	U	3	1	U	25	10	U	-	-										
Fla.	88	83	1	11	12	11	71	34	-	-	3										
E.S. CENTRAL	115	131	-	8	13	2	64	86	-	1	1										
Ky.	22	22	-	-	-	-	16	36	-	-	-										
Tenn.	47	48	-	-	1	2	29	26	-	-	1										
Ala.	27	38	-	7	7	-	15	20	-	1	-										
Miss.	19	23	-	1	5	-	4	4	-	-	-										
W.S. CENTRAL	143	215	1	29	44	8	120	233	-	7	87										
Ark.	30	26	-	-	7	-	14	42	-	-	-										
La.	34	42	U	3	5	U	3	3	U	-	-										
Okla.	25	30	-	1	-	-	12	20	-	-	-										
Tex.	54	117	1	25	32	8	91	168	-	7	87										
MOUNTAIN	101	105	-	12	30	24	384	647	-	16	5										
Mont.	2	4	-	-	-	-	2	5	-	-	-										
Idaho	8	7	-	1	4	-	93	168	-	-	-										
Wyo.	3	5	U	-	1	U	2	8	U	-	-										
Colo.	27	21	-	3	6	3	122	172	-	1	-										
N. Mex.	13	17	N	N	N	18	80	76	-	-	1										
Ariz.	29	35	-	-	5	-	30	140	-	13	1										
Utah	13	10	-	5	4	3	52	46	-	1	2										
Nev.	6	6	-	3	10	-	3	32	-	1	1										
PACIFIC	328	371	-	65	99	1	1,072	783	1	19	10										
Wash.	51	51	-	2	7	1	540	221	-	-	5										
Oreg.	57	62	N	N	N	-	27	57	-	-	-										
Calif.	211	252	-	52	72	-	479	480	-	4	3										
Alaska	5	2	-	1	2	-	4	12	-	-	-										
Hawaii	4	4	-	10	18	-	22	13	1	15	2										
Guam	1	2	U	1	2	U	1	-	U	-	-										
P.R.	5	9	-	-	2	-	16	4	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


