
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 7, 1998 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	158	192	2,580	4,247	985	1,272	-	1	1	4	5	13									
NEW ENGLAND	9	13	58	94	6	33	-	-	-	1	1	-									
Maine	-	2	8	3	-	1	-	-	-	-	-	-									
N.H.	1	2	2	5	2	2	-	-	-	-	-	-									
Vt.	-	-	3	4	-	1	-	-	-	-	-	-									
Mass.	8	8	8	47	2	21	-	-	-	1	1	-									
R.I.	-	1	5	3	2	2	-	-	-	-	-	-									
Conn.	-	-	32	32	-	6	-	-	-	-	-	-									
MID. ATLANTIC	21	28	119	369	133	227	-	-	-	1	1	5									
Upstate N.Y.	11	1	59	15	51	29	-	-	-	1	1	3									
N.Y. City	3	13	29	202	34	95	-	-	-	-	-	1									
N.J.	7	10	2	61	-	48	-	-	-	-	-	1									
Pa.	-	4	29	91	48	55	-	-	-	-	-	-									
E.N. CENTRAL	18	33	393	470	122	218	-	-	-	1	1	2									
Ohio	15	18	71	90	13	16	-	-	-	-	-	-									
Ind.	2	3	48	40	10	24	-	-	-	-	-	-									
Ill.	-	8	34	162	8	63	-	-	-	-	-	1									
Mich.	-	3	226	140	87	102	-	-	-	1	1	1									
Wis.	1	1	14	38	4	13	-	-	-	-	-	-									
W.N. CENTRAL	-	5	280	291	66	97	-	-	-	-	-	-									
Minn.	-	2	5	1	2	-	-	-	-	-	-	-									
Iowa	-	1	114	38	10	6	-	-	-	-	-	-									
Mo.	-	2	145	185	49	80	-	-	-	-	-	-									
N. Dak.	-	-	1	2	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	5	1	-	-	-	-	-	-	-									
Nebr.	-	-	3	12	2	4	-	-	-	-	-	-									
Kans.	-	-	11	48	2	7	-	-	-	-	-	-									
S. ATLANTIC	49	31	298	268	175	121	-	1	1	1	2	-									
Del.	-	-	-	7	-	1	-	-	-	-	-	-									
Md.	13	11	61	80	25	31	-	-	1	1	1	-									
D.C.	-	-	10	7	2	7	-	-	-	-	-	-									
Va.	4	2	32	30	13	15	-	-	-	-	-	-									
W. Va.	1	2	-	3	-	3	-	-	-	-	-	-									
N.C.	3	7	14	45	49	26	-	-	-	-	-	-									
S.C.	-	3	7	16	-	8	-	-	-	-	-	-									
Ga.	13	3	81	28	41	6	-	-	-	-	-	-									
Fla.	15	3	93	52	45	24	-	1	-	-	1	-									
E.S. CENTRAL	7	14	79	110	72	99	-	-	-	-	-	1									
Ky.	-	1	-	18	-	5	-	-	-	-	-	-									
Tenn.	7	8	55	47	59	63	-	-	-	-	-	-									
Ala.	-	5	24	26	13	14	-	-	-	-	-	1									
Miss.	-	-	-	19	-	17	-	-	-	-	-	-									
W.S. CENTRAL	9	7	104	513	24	53	-	-	-	-	-	-									
Ark.	-	-	8	38	14	9	-	-	-	-	-	-									
La.	4	1	4	21	3	6	-	-	-	-	-	-									
Okla.	4	5	85	265	7	2	-	-	-	-	-	-									
Tex.	1	1	7	189	-	36	-	-	-	-	-	-									
MOUNTAIN	31	15	558	733	138	143	-	-	-	-	-	-									
Mont.	-	-	6	23	1	1	-	-	-	-	-	-									
Idaho	-	-	40	35	4	3	-	-	-	-	-	-									
Wyo.	-	-	12	4	2	4	-	-	-	-	-	-									
Colo.	5	1	50	92	13	35	-	-	-	-	-	-									
N. Mex.	-	1	37	55	50	47	-	-	-	-	-	-									
Ariz.	19	4	347	299	37	29	-	-	-	-	-	-									
Utah	2	2	37	167	16	14	-	-	-	-	-	-									
Nev.	5	7	29	58	15	10	-	-	-	-	-	-									
PACIFIC	14	46	691	1,399	249	281	-	-	-	-	-	5									
Wash.	1	-	80	80	16	8	-	-	-	-	-	-									
Oreg.	11	7	55	83	18	22	-	-	-	-	-	-									
Calif.	-	37	549	1,195	210	243	-	-	-	-	-	2									
Alaska	1	-	1	8	2	4	-	-	-	-	-	-									
Hawaii	1	2	6	33	3	4	-	-	-	-	-	3									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	-	-	-	39	39	142	-	-	-	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	-	-	-	-	-	-	U	-	U	-	-	-									
C.N.M.I.	-	2	-	1	7	7	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


