
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2011 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2011
Varicella (chickenpox) cummulative for 2010
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2011
West Nile virus disease † Neuroinvasive cummulative for 2010
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2011
West Nile virus disease † Non-neuroinvasive § cummulative for 2010

tab delimited data:
test
UNITED STATES	156	248	367	6,122	9,122	-	0	71	1	21	-	0	53	1	33						
NEW ENGLAND	-	17	46	443	616	-	0	3	-	-	-	0	2	-	1						
Conn.	-	5	15	139	190	-	0	2	-	-	-	0	2	-	1						
Maine	-	5	16	115	107	-	0	0	-	-	-	0	0	-	-						
Mass.	-	4	17	103	165	-	0	2	-	-	-	0	1	-	-						
N.H.	-	1	9	9	73	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	5	17	18	-	0	0	-	-	-	0	0	-	-						
Vt.	-	2	10	60	63	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	23	31	55	871	1,004	-	0	19	-	-	-	0	13	-	-						
N.J.	22	9	39	358	366	-	0	3	-	-	-	0	6	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	9	-	-	-	0	7	-	-						
N.Y. City	-	0	0	-	-	-	0	7	-	-	-	0	4	-	-						
Pa.	1	19	41	513	638	-	0	3	-	-	-	0	3	-	-						
E.N. CENTRAL	1	68	118	1,618	3,062	-	0	15	-	-	-	0	7	-	-						
Ill.	-	17	31	419	753	-	0	10	-	-	-	0	4	-	-						
Ind.	-	5	18	123	225	-	0	2	-	-	-	0	2	-	-						
Mich.	1	20	38	537	955	-	0	6	-	-	-	0	1	-	-						
Ohio	-	20	57	538	816	-	0	1	-	-	-	0	1	-	-						
Wis.	-	3	22	1	313	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	7	12	42	198	482	-	0	7	-	-	-	0	11	-	10						
Iowa	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
Kans.	-	4	15	56	209	-	0	1	-	-	-	0	3	-	3						
Minn.	U	0	0	-	-	U	0	1	-	-	U	0	3	-	-						
Mo.	-	5	24	97	224	-	0	1	-	-	-	0	0	-	-						
Nebr.	-	0	5	3	5	-	0	3	-	-	-	0	7	-	4						
N. Dak.	7	0	10	23	29	-	0	2	-	-	-	0	2	-	1						
S. Dak.	-	1	7	19	15	-	0	2	-	-	-	0	3	-	2						
S. ATLANTIC	6	35	64	1,023	1,316	-	0	6	-	-	-	0	4	-	3						
Del.	-	0	3	5	19	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	1	8	15	-	0	1	-	-	-	0	1	-	-						
Fla.	5	15	38	516	653	-	0	3	-	-	-	0	1	-	-						
Ga.	N	0	0	N	N	-	0	1	-	-	-	0	3	-	3						
Md.	N	0	0	N	N	-	0	3	-	-	-	0	2	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	-	0	8	11	74	-	0	1	-	-	-	0	0	-	-						
Va.	1	9	25	242	302	-	0	1	-	-	-	0	1	-	-						
W. Va.	-	7	32	241	253	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	5	15	166	182	-	0	1	-	2	-	0	3	1	1						
Ala.	-	5	14	157	175	-	0	0	-	1	-	0	1	-	1						
Ky.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
Miss.	-	0	3	9	7	-	0	1	-	1	-	0	2	1	-						
Tenn.	N	0	0	N	N	-	0	1	-	-	-	0	2	-	-						
W.S. CENTRAL	115	43	258	1,359	1,730	-	0	16	-	3	-	0	3	-	-						
Ark.	-	3	17	119	120	-	0	3	-	-	-	0	1	-	-						
La.	-	2	5	48	44	-	0	3	-	2	-	0	1	-	-						
Okla.	N	0	0	N	N	-	0	1	-	-	-	0	0	-	-						
Tex.	115	37	247	1,192	1,566	-	0	15	-	1	-	0	2	-	-						
MOUNTAIN	3	14	50	383	670	-	0	18	1	13	-	0	15	-	17						
Ariz.	-	0	0	-	-	-	0	13	1	12	-	0	9	-	9						
Colo.	3	5	31	146	233	-	0	5	-	1	-	0	11	-	7						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	-	-						
Mont.	-	2	28	92	145	-	0	0	-	-	-	0	0	-	-						
Nev.	N	0	0	N	N	-	0	0	-	-	-	0	1	-	1						
