
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2008 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	217	175	334	491	859	60	107	191	209	445	3	34	148	17	34						
NEW ENGLAND	-	25	45	6	164	3	10	22	18	48	-	0	1	-	-						
Conn.	-	0	5	-	8	2	4	10	9	23	-	0	0	-	-						
Maine	-	1	5	4	13	1	1	5	1	8	-	0	1	-	-						
Mass.	-	18	33	-	131	-	0	0	-	N	-	0	1	-	-						
N.H.	-	1	5	-	9	-	1	4	3	4	-	0	1	-	-						
R.I.	-	0	8	1	-	-	1	4	2	4	-	0	0	-	-						
Vt.	-	0	9	1	3	-	2	13	3	9	-	0	0	-	-						
MID. ATLANTIC	22	22	42	69	185	6	26	56	25	95	1	1	7	1	6						
N.J.	-	2	6	-	30	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	8	8	25	18	92	6	9	20	25	27	-	0	1	-	-						
N.Y. City	-	2	7	-	17	-	1	5	-	9	-	0	3	-	2						
Pa.	14	7	22	51	46	-	16	44	-	59	1	0	3	1	3						
E.N. CENTRAL	176	25	79	255	156	-	4	48	-	-	-	1	4	-	2						
Ill.	-	2	9	5	43	-	1	15	-	-	-	0	3	-	-						
Ind.	-	0	9	1	-	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	3	34	-	1	27	-	-	-	0	1	-	1						
Ohio	176	12	54	246	55	-	1	11	-	-	-	0	2	-	1						
Wis.	-	0	24	-	24	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	7	12	65	53	67	5	4	13	7	11	-	5	37	6	4						
Iowa	-	2	8	1	26	-	0	3	1	1	-	0	4	-	-						
Kans.	-	2	8	-	26	-	2	7	-	7	-	0	2	-	2						
Minn.	-	0	53	-	-	4	0	6	4	2	-	0	2	-	-						
Mo.	7	2	13	45	4	-	0	3	-	1	-	5	29	6	2						
Nebr.	-	1	12	6	3	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	-	1	0	5	2	-	-	0	0	-	-						
S. Dak.	-	0	7	1	8	-	0	2	-	-	-	0	1	-	-						
S. ATLANTIC	5	17	48	43	76	44	40	156	140	261	2	15	112	8	12						
Del.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	2						
D.C.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	3	3	17	9	24	-	0	124	8	124	-	0	3	-	-						
