
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 14, 2007 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	264	824	1,336	6,975	7,742	43	75	179	462	549	200	257	521	2,733	2,605						
NEW ENGLAND	-	18	82	144	779	2	2	16	19	104	-	2	14	19	122						
Conn.	-	0	68	68	503	-	0	5	5	84	-	0	8	8	67						
Maine	-	2	14	26	17	2	0	8	10	3	-	0	5	9	-						
Mass.	-	0	53	-	237	-	0	9	-	14	-	0	11	-	50						
N.H.	-	4	26	19	6	-	0	4	3	-	-	0	2	1	-						
R.I.	-	2	15	21	11	-	0	2	-	1	-	0	3	1	4						
Vt.	-	1	6	10	5	-	0	4	1	2	-	0	2	-	1						
MID. ATLANTIC	35	90	191	948	916	5	9	62	56	55	2	13	47	115	238						
N.J.	-	16	49	52	175	-	1	16	1	15	-	3	35	6	73						
N.Y. (Upstate)	20	27	93	295	184	2	3	14	22	15	2	3	43	30	69						
N.Y. City	-	24	50	239	249	-	0	4	4	8	-	5	14	62	67						
Pa.	15	30	67	362	308	3	3	47	29	17	-	1	6	17	29						
E.N. CENTRAL	42	103	198	741	1,084	3	9	59	56	88	9	23	68	144	265						
Ill.	-	27	61	56	316	-	1	7	2	14	-	10	50	19	95						
Ind.	18	15	55	128	110	2	1	8	4	10	3	2	17	17	32						
Mich.	2	18	35	155	193	1	1	6	12	19	-	2	5	10	63						
Ohio	22	23	56	255	276	-	3	18	30	21	6	3	14	68	46						
Wis.	-	17	27	147	189	-	2	39	8	24	-	3	10	30	29						
W.N. CENTRAL	21	48	109	549	492	7	11	45	62	74	34	41	77	548	224						
Iowa	2	8	26	82	85	-	2	38	9	13	-	2	14	16	8						
Kans.	-	7	16	75	74	-	0	4	4	1	-	2	11	8	23						
Minn.	7	12	60	128	113	4	3	26	27	29	4	4	24	77	21						
Mo.	11	15	35	185	136	2	2	13	14	21	30	12	69	426	123						
Nebr.	1	3	9	31	51	1	1	11	8	7	-	1	14	5	26						
N. Dak.	-	0	5	8	6	-	0	0	-	-	-	0	18	4	4						
S. Dak.	-	3	11	40	27	-	0	5	-	3	-	6	24	12	19						
S. ATLANTIC	90	225	395	2,235	1,790	10	11	32	124	83	76	69	143	1,025	617						
Del.	-	2	10	18	21	-	0	3	4	1	-	0	2	4	-						
D.C.	-	1	4	8	19	-	0	1	-	-	-	0	5	3	3						
Fla.	55	95	176	965	818	4	2	8	36	14	75	34	76	659	265						
Ga.	-	34	66	386	242	-	1	7	15	15	-	24	54	294	222						
Md.	-	14	32	146	72	-	2	9	22	5	-	1	10	18	16						
N.C.	35	29	130	370	354	6	2	11	23	20	1	1	14	17	63						
S.C.	-	19	55	146	95	-	0	3	1	3	-	0	10	12	36						
Va.	-	20	58	167	151	-	3	11	22	25	-	2	9	17	12						
W. Va.	-	1	31	29	18	-	0	5	1	-	-	0	2	1	-						
E.S. CENTRAL	17	53	138	414	392	-	4	21	21	39	2	12	75	174	168						
Ala.	-	10	70	105	133	-	0	5	3	4	-	4	66	67	35						
Ky.	2	9	23	93	77	-	1	12	7	10	1	2	15	23	86						
Miss.	-	12	42	36	73	-	0	0	-	-	-	1	25	25	24						
Tenn.	15	17	32	180	109	-	2	9	11	25	1	4	14	59	23						
W.S. CENTRAL	9	84	186	284	635	2	3	52	17	26	48	37	187	244	310						
Ark.	6	14	45	83	226	-	0	7	4	2	3	2	10	24	20						
La.	-	17	42	94	51	-	0	1	-	-	-	3	24	57	8						
Okla.	3	8	40	71	49	1	0	17	5	1	1	2	9	14	20						
Tex.	-	46	107	36	309	1	2	48	8	23	44	30	174	149	262						
MOUNTAIN	17	52	86	542	524	9	7	36	58	54	7	26	87	179	201						
Ariz.	10	19	45	209	144	6	2	13	23	13	7	11	35	92	104						
Colo.	-	12	30	130	147	-	1	8	9	13	-	3	15	27	27						
Idaho	4	3	9	32	35	-	2	8	4	8	-	0	3	3	5						
Mont.	-	2	10	22	28	-	0	0	-	-	-	0	13	4	1						
Nev.	-	4	20	45	39	-	0	5	4	10	-	1	20	11	23						
N. Mex.	-	5	15	46	46	-	1	5	9	4	-	2	15	25	29						
Utah	3	4	14	44	67	3	1	14	9	5	-	1	4	5	11						
Wyo.	-	0	4	14	18	-	0	3	-	1	-	0	19	12	1						
PACIFIC	33	116	306	1,118	1,130	5	5	24	49	26	22	32	94	285	460						
Alaska	-	1	5	20	27	N	0	0	N	N	-	0	2	6	4						
Calif.	31	89	218	881	851	1	0	5	27	N	12	28	81	228	345						
Hawaii	-	5	16	52	60	-	0	3	3	3	-	1	3	10	10						
Oreg.	1	7	17	64	104	2	1	9	9	15	-	1	6	13	56						
Wash.	1	11	83	101	88	2	2	22	10	8	10	2	13	28	45						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
