
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 13, 2010 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	20	35	57	118	237	21	60	89	198	403	4	17	39	47	93						
NEW ENGLAND	-	2	5	5	11	-	1	3	2	7	-	1	5	1	8						
Conn.	-	0	2	5	1	-	0	3	1	3	-	0	4	1	5						
Maine	-	0	0	-	1	-	0	2	1	1	-	0	2	-	-						
Mass.	-	1	4	-	8	-	0	2	-	3	-	0	1	-	2						
N.H.	-	0	1	-	1	-	0	1	-	-	-	0	0	-	-						
R.I.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	1						
MID. ATLANTIC	1	4	10	12	30	1	5	16	14	38	-	2	7	4	12						
N.J.	-	0	5	2	10	-	1	6	-	8	-	0	1	-	1						
N.Y. (Upstate)	-	1	3	2	6	1	1	6	5	11	-	1	4	4	3						
N.Y. City	-	2	5	4	7	-	1	5	3	6	-	0	0	-	-						
Pa.	1	1	6	4	7	-	2	8	6	13	-	0	4	-	8						
E.N. CENTRAL	1	4	19	16	44	4	6	15	22	73	-	3	14	9	23						
Ill.	-	2	13	-	16	-	1	7	-	13	-	0	1	-	3						
Ind.	-	0	4	-	3	-	1	5	2	11	-	0	4	-	2						
Mich.	-	1	4	6	11	-	2	6	6	15	-	3	12	9	11						
Ohio	1	0	4	8	9	4	1	5	14	28	-	0	5	-	6						
Wis.	-	0	4	2	5	-	0	4	-	6	-	0	2	-	1						
W.N. CENTRAL	-	2	7	5	6	1	3	9	15	22	-	0	6	3	1						
Iowa	-	0	3	3	-	-	0	3	1	6	-	0	4	1	-						
Kans.	-	0	2	1	-	-	0	2	-	1	-	0	1	-	-						
Minn.	-	0	4	-	1	-	0	8	-	1	-	0	5	-	-						
Mo.	-	0	3	1	4	1	2	5	12	10	-	0	2	2	1						
Nebr.	-	0	3	-	1	-	0	2	2	3	-	0	1	-	-						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	1	-	0	0	-	-						
S. ATLANTIC	10	8	14	28	52	7	16	32	72	120	2	3	12	8	16						
Del.	1	0	1	1	-	U	0	0	U	U	U	0	0	U	U						
D.C.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Fla.	9	3	9	17	27	3	5	13	33	40	2	1	4	6	1						
Ga.	-	1	3	3	9	1	3	7	21	25	-	0	3	-	4						
Md.	-	0	3	1	7	-	1	4	3	16	-	1	3	2	4						
N.C.	-	0	7	-	5	-	0	19	2	26	-	0	10	-	1						
S.C.	-	1	4	5	1	1	1	4	2	1	-	0	1	-	-						
Va.	-	1	3	1	3	-	1	6	7	9	-	0	2	-	3						
W. Va.	-	0	2	-	-	2	0	19	4	3	-	0	2	-	3						
E.S. CENTRAL	-	1	3	5	5	2	7	13	35	47	-	2	5	9	15						
Ala.	-	0	2	2	1	-	1	5	10	14	-	0	2	1	-						
Ky.	-	0	2	1	-	1	2	6	15	10	-	1	5	7	9						
Miss.	-	0	1	-	3	-	0	2	-	4	-	0	0	-	-						
Tenn.	-	0	2	2	1	1	2	6	10	19	-	0	3	1	6						
W.S. CENTRAL	1	3	13	6	20	1	9	18	11	44	1	1	6	3	3						
Ark.	-	0	1	-	2	-	1	4	-	3	-	0	1	-	-						
La.	-	0	1	-	1	-	0	4	-	7	-	0	1	-	-						
Okla.	-	0	3	-	1	1	2	8	2	7	1	0	4	1	-						
Tex.	1	3	13	6	16	-	6	12	9	27	-	0	4	2	3						
MOUNTAIN	1	3	8	15	17	-	2	6	5	21	-	1	4	1	7						
Ariz.	-	2	5	10	9	-	0	3	1	10	-	0	0	-	-						
Colo.	-	1	5	3	3	-	0	2	-	5	-	0	3	-	5						
Idaho	-	0	1	1	-	-	0	2	-	-	-	0	1	-	-						
Mont.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
Nev.	1	0	2	1	-	-	0	3	4	1	-	0	1	-	-						
N. Mex.	-	0	1	-	1	-	0	1	-	3	-	0	2	-	2						
Utah	-	0	2	-	3	-	0	1	-	2	-	0	2	1	-						
Wyo.	-	0	1	-	-	-	0	2	-	-	-	0	0	-	-						
PACIFIC	6	5	17	26	52	5	5	22	22	31	1	1	5	9	8						
Alaska	-	0	1	-	1	-	0	1	1	-	-	0	2	-	-						
Calif.	6	5	16	23	45	5	4	15	19	25	1	1	4	4	5						
Hawaii	-	0	2	-	1	-	0	1	-	1	-	0	0	-	-						
Oreg.	-	0	2	2	2	-	1	4	2	3	-	0	3	4	2						
Wash.	-	1	3	1	3	-	0	7	-	2	-	0	3	1	1						
Amer. Samoa	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	2	1	4	-	0	5	-	1	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


