
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2012 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	2	9	90	32	25	6	16	59	61	37	-	1	8	5	8						
NEW ENGLAND	-	0	1	2	1	3	3	28	23	23	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	1	-	-	2	0	3	6	1	-	0	0	-	-						
Mass.	-	0	0	-	-	-	1	18	-	4	-	0	0	-	-						
N.H.	-	0	1	-	-	-	0	5	2	1	-	0	1	-	-						
R.I.	-	0	1	2	1	1	0	15	14	17	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	1	1	-	-	0	0	-	-						
MID. ATLANTIC	1	1	5	4	2	3	6	52	27	4	-	0	2	1	1						
N.J.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	1	0	4	3	-	3	3	52	22	3	-	0	2	1	1						
N.Y. City	-	0	2	1	2	-	1	5	5	1	-	0	0	-	-						
Pa.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
E.N. CENTRAL	-	0	5	-	3	-	0	2	3	1	-	0	6	-	4						
Ill.	-	0	4	-	2	-	0	2	3	-	-	0	0	-	2						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	4	-	1						
Mich.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	1						
Ohio	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Wis.	-	0	0	-	-	-	0	1	-	1	-	0	1	-	-						
W.N. CENTRAL	-	1	16	4	2	-	0	6	-	2	-	0	6	-	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Minn.	-	0	0	-	-	-	0	1	-	1	-	0	0	-	-						
