
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 29, 2005 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	34,502	753,433	761,851	3,774	4,864	6,061	3,067													
NEW ENGLAND	778	1,129	25,775	25,080	-	-	291	158													
Maine	11	23	1,845	1,717	N	N	24	18													
N.H.	20	39	1,530	1,442	-	-	30	29													
Vt.	4	14	779	939	-	-	35	23													
Mass.	368	425	11,475	11,036	-	-	118	57													
R.I.	68	114	2,732	2,832	-	-	11	4													
Conn.	307	514	7,414	7,114	N	N	73	27													
MID. ATLANTIC	4,352	7,360	95,943	92,944	-	-	2,627	493													
Upstate N.Y.	800	837	19,012	18,845	N	N	2,251	152													
N.Y. City	2,327	4,039	30,639	28,513	-	-	103	118													
N.J.	574	1,229	15,344	14,695	N	N	48	41													
Pa.	651	1,255	30,948	30,891	N	N	225	182													
E.N. CENTRAL	1,938	2,816	122,268	134,636	8	13	1,321	931													
Ohio	312	540	32,532	32,738	N	N	711	198													
Ind.	236	326	16,371	15,435	N	N	64	69													
Ill.	983	1,274	36,987	39,492	-	-	128	144													
Mich.	322	535	21,007	31,118	8	13	89	133													
Wis.	85	141	15,371	15,853	N	N	329	387													
W.N. CENTRAL	463	710	46,843	47,064	5	6	523	348													
Minn.	123	190	9,157	9,797	3	N	122	118													
Iowa	50	57	5,882	5,771	N	N	101	72													
Mo.	198	296	18,477	17,382	1	3	236	63													
N. Dak.	5	15	995	1,518	N	N	1	10													
S. Dak.	10	8	2,305	2,096	-	-	24	33													
Nebr.	18	44	4,260	4,294	1	3	7	26													
Kans.	59	100	5,767	6,206	N	N	32	26													
S. ATLANTIC	6,473	10,881	144,948	143,941	1	-	575	459													
Del.	100	131	2,824	2,436	N	N	3	-													
Md.	812	1,292	15,288	15,744	1	-	33	19													
D.C.	467	785	3,085	2,953	-	-	10	14													
Va.	307	565	17,354	18,549	-	-	57	53													
W. Va.	36	71	2,226	2,320	N	N	13	6													
N.C.	531	1,014	26,211	24,286	N	N	70	70													
S.C.	386	640	17,428	15,860	-	-	15	21													
Ga.	1,103	1,375	25,246	26,934	-	-	98	161													
Fla.	2,731	5,008	35,286	34,859	N	N	276	115													
E.S. CENTRAL	1,093	1,646	56,749	49,828	-	5	186	124													
Ky.	135	212	7,321	4,728	N	N	129	39													
Tenn.	434	684	19,816	18,498	N	N	36	36													
Ala.	295	381	12,347	11,281	-	-	17	21													
Miss.	229	369	17,265	15,321	-	5	4	28													
W.S. CENTRAL	2,206	4,000	86,520	92,834	1	3	168	115													
Ark.	72	183	7,248	6,651	-	1	4	13													
La.	436	799	12,572	18,586	1	2	73	3													
Okla.	167	169	9,236	9,108	N	N	39	21													
Tex.	1,531	2,849	57,464	58,489	N	N	52	78													
MOUNTAIN	789	1,233	43,334	46,462	2,645	3,038	108	148													
Mont.	4	5	1,709	2,101	N	N	16	34													
Idaho	9	17	1,826	2,277	N	N	11	24													
Wyo.	2	14	953	872	3	2	3	3													
Colo.	163	278	11,322	11,855	N	N	40	50													
N. Mex.	72	164	4,394	7,442	13	20	4	16													
Ariz.	329	454	14,414	13,490	2,592	2,943	10	15													
Utah	33	53	3,609	3,088	5	21	15	4													
Nev.	177	248	5,107	5,337	32	52	9	2													
PACIFIC	2,313	4,727	131,053	129,062	1,114	1,799	262	291													
Wash.	229	348	15,402	14,553	N	N	43	33													
Oreg.	136	249	6,327	6,963	-	-	61	29													
Calif.	1,874	3,981	103,342	99,867	1,114	1,799	154	227													
Alaska	14	43	3,273	3,178	-	-	3	-													
Hawaii	60	106	2,709	4,501	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	614	3,193	2,809	N	N	N	N													
V.I.	10	18	119	290	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


