
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2005 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	3,469	4,889	77	101	9,751	11,295	-	28	-												
NEW ENGLAND	104	146	8	11	371	1,387	-	-	-												
Maine	6	8	-	-	101	44	-	-	-												
N.H.	4	6	-	-	54	-	-	-	-												
Vt.	-	-	-	-	24	332	-	-	-												
Mass.	70	79	6	10	192	26	-	-	-												
R.I.	6	17	-	1	-	-	-	-	-												
Conn.	18	36	2	-	U	985	-	-	-												
MID. ATLANTIC	789	734	22	28	2,306	31	-	1	-												
Upstate N.Y.	96	87	3	2	-	-	-	-	-												
N.Y. City	406	371	5	10	-	-	-	-	-												
N.J.	177	153	7	11	-	-	-	-	-												
Pa.	110	123	7	5	2,306	31	-	1	-												
E.N. CENTRAL	499	427	4	11	3,250	3,520	-	-	-												
Ohio	99	73	-	2	771	893	-	-	-												
Ind.	53	54	-	-	120	N	-	-	-												
Ill.	242	199	1	5	17	1	-	-	-												
Mich.	71	74	1	3	2,108	2,253	-	-	-												
Wis.	34	27	2	1	234	373	-	-	-												
W.N. CENTRAL	180	159	1	2	72	123	-	1	-												
Minn.	73	62	1	1	-	-	-	-	-												
Iowa	17	15	-	-	N	N	-	-	-												
Mo.	47	47	-	1	3	2	-	-	-												
N. Dak.	2	3	-	-	10	68	-	-	-												
S. Dak.	5	4	-	-	59	53	-	1	-												
Nebr.	15	6	-	-	-	-	-	-	-												
Kans.	21	22	-	-	-	-	-	-	N												
S. ATLANTIC	742	1,023	11	9	894	1,283	-	1	-												
Del.	2	9	-	-	6	4	-	-	-												
Md.	93	88	2	2	-	-	-	-	-												
D.C.	27	4	-	-	15	17	-	-	-												
Va.	100	78	2	3	144	316	-	-	-												
W. Va.	8	10	-	-	552	680	-	-	N												
N.C.	74	96	2	2	-	N	-	-	-												
S.C.	80	83	-	-	177	266	-	-	-												
Ga.	66	270	2	-	-	-	-	-	-												
Fla.	292	385	3	2	-	-	-	1	-												
E.S. CENTRAL	201	178	1	4	-	-	-	-	-												
Ky.	40	31	1	2	N	N	-	-	-												
Tenn.	95	48	-	2	-	-	-	-	-												
Ala.	66	66	-	-	-	-	-	-	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	278	861	3	9	1,349	3,509	-	2	-												
Ark.	36	55	-	-	-	-	-	-	-												
La.	-	-	-	-	97	42	-	-	-												
Okla.	54	60	-	-	-	-	-	-	-												
Tex.	188	746	3	9	1,252	3,467	-	2	-												
MOUNTAIN	86	206	3	3	1,509	1,442	-	23	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	42	18	-	-	-												
Colo.	16	52	-	1	1,081	1,080	-	1	-												
N. Mex.	4	14	-	-	78	65	-	-	-												
Ariz.	56	83	1	1	-	-	-	22	-												
Utah	10	18	1	1	308	279	-	-	-												
Nev.	-	38	1	-	-	-	-	-	-												
PACIFIC	590	1,155	24	24	-	-	-	-	-												
Wash.	86	81	1	1	N	N	-	-	-												
Oreg.	38	36	2	-	-	-	-	-	-												
Calif.	406	981	17	17	-	-	-	-	-												
Alaska	13	12	-	-	-	-	-	-	-												
Hawaii	47	45	4	6	-	-	-	-	-												
Guam	-	14	-	-	-	99	-	-	-												
P.R.	-	21	-	-	76	147	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


